TIME, UY_2
1.E-03, -5.808131576E-06
2.E-03, -1.163643753E-05
3.5E-03, -2.041692535E-05
5.75E-03, -3.367380272E-05
9.125E-03, -5.375490487E-05
1.4125E-02, -8.394277336E-05
1.9125E-02, -1.146679093E-04
2.4125E-02, -1.459435213E-04
2.9125E-02, -1.777814501E-04
3.4125E-02, -2.101952267E-04
3.9125E-02, -2.431988521E-04
4.4125E-02, -2.76806737E-04
4.9125E-02, -3.110337318E-04
5.4125E-02, -3.458951441E-04
5.9125E-02, -3.81406756E-04
6.4125E-02, -4.175848413E-04
6.9125E-02, -4.54446184E-04
7.4125E-02, -4.920080975E-04
7.9125E-02, -5.302884447E-04
8.4125E-02, -5.693056592E-04
8.9125E-02, -6.090787665E-04
9.4125E-02, -6.496274076E-04
9.9125E-02, -6.909718625E-04
0.104125, -7.331330752E-04
0.109125, -7.761326799E-04
0.114125, -8.199930282E-04
0.119125, -8.647372177E-04
0.124125, -9.10389122E-04
0.129125, -9.569734219E-04
0.134125, -1.004515638E-03
0.139125, -1.053042165E-03
0.144125, -1.102580308E-03
0.149125, -1.15315832E-03
0.154125, -1.20480544E-03
0.159125, -1.257551939E-03
0.164125, -1.311429156E-03
0.169125, -1.366469549E-03
0.174125, -1.422706743E-03
0.179125, -1.480175577E-03
0.184125, -1.538912157E-03
0.189125, -1.598953915E-03
0.194125, -1.660339662E-03
0.199125, -1.723109654E-03
0.204125, -1.787305651E-03
0.209125, -1.852970991E-03
0.214125, -1.920150655E-03
0.219125, -1.988891343E-03
0.224125, -2.059241557E-03
0.229125, -2.131251679E-03
0.234125, -2.20497406E-03
0.239125, -2.280463112E-03
0.244125, -2.357775406E-03
0.249125, -2.436969773E-03
0.254125, -2.518107412E-03
0.259125, -2.601252004E-03
0.264125, -2.686469833E-03
0.269125, -2.773829911E-03
0.274125, -2.863404113E-03
0.279125, -2.955267322E-03
0.284125, -3.049497573E-03
0.289125, -3.146176214E-03
0.294125, -3.245388074E-03
0.299125, -3.347221641E-03
0.304125, -3.451769247E-03
0.309125, -3.559127271E-03
0.314125, -3.669396343E-03
0.319125, -3.782681575E-03
0.324125, -3.899092792E-03
0.329125, -4.018744785E-03
0.334125, -4.141757579E-03
0.339125, -4.268256712E-03
0.344125, -4.398373537E-03
0.349125, -4.532245543E-03
0.354125, -4.670016689E-03
0.359125, -4.81183777E-03
0.364125, -4.957866793E-03
0.369125, -5.108269391E-03
0.374125, -5.263219252E-03
0.379125, -5.422898582E-03
0.384125, -5.587498597E-03
0.389125, -5.757220043E-03
0.394125, -5.932273759E-03
0.399125, -6.112881266E-03
0.404125, -6.299275402E-03
0.409125, -6.491701E-03
0.414125, -6.690415607E-03
0.419125, -6.895690253E-03
0.424125, -7.107810271E-03
0.429125, -7.327076175E-03
0.434125, -7.553804596E-03
0.439125, -7.788329278E-03
0.444125, -8.031002148E-03
0.449125, -8.282194454E-03
0.454125, -8.542297985E-03
0.459125, -8.811726369E-03
0.464125, -9.090916464E-03
0.469125, -9.380329841E-03
0.474125, -9.680454372E-03
0.479125, -9.991805921E-03
0.484125, -1.031493015E-02
0.489125, -1.065040447E-02
0.494125, -1.099884004E-02
0.499125, -1.136088405E-02
0.504125, -1.1737222E-02
0.509125, -1.21285802E-02
0.514125, -1.253572845E-02
0.519125, -1.295948285E-02
0.524125, -1.34007088E-02
0.529125, -1.386032418E-02
0.534125, -1.433930274E-02
0.539125, -1.483867768E-02
0.544125, -1.535954538E-02
0.549125, -1.590306945E-02
0.554125, -1.647048486E-02
0.559125, -1.706310241E-02
0.564125, -1.768231325E-02
0.569125, -1.83295938E-02
0.574125, -1.900651067E-02
0.579125, -1.971472589E-02
0.584125, -2.045600229E-02
0.589125, -2.123220897E-02
0.594125, -2.204532696E-02
0.599125, -2.289745491E-02
0.604125, -2.379081488E-02
0.609125, -2.472775804E-02
0.614125, -2.571077045E-02
0.619125, -2.674247856E-02
0.624125, -2.782565464E-02
0.629125, -2.896322183E-02
0.634125, -3.015825883E-02
0.639125, -3.141400417E-02
0.644125, -3.273385974E-02
0.649125, -3.412139368E-02
0.654125, -3.558034234E-02
0.659125, -3.711461121E-02
0.664125, -3.872827459E-02
0.669125, -4.042557397E-02
0.674125, -4.221091472E-02
0.679125, -4.408886109E-02
0.684125, -4.606412914E-02
0.689125, -4.814157754E-02
0.694125, -5.032619591E-02
0.699125, -5.262309044E-02
0.704125, -5.503746676E-02
0.709125, -5.757460951E-02
0.714125, -6.023985872E-02
0.719125, -6.30385825E-02
0.724125, -6.5976146E-02
0.729125, -6.905787634E-02
0.734125, -7.22890234E-02
0.739125, -7.567471626E-02
0.744125, -7.921991514E-02
0.749125, -8.292935892E-02
0.754125, -8.68075079E-02
0.759125, -9.085848206E-02
0.764125, -9.508599482E-02
0.769125, -9.949328233E-02
0.774125, -0.104083029
0.779125, -0.108857287
0.784125, -0.113817398
