TIME, FY_3
1.E-03, 0.999999993
2.E-03, 2
3.5E-03, 3.49999999
5.75E-03, 5.75
9.125E-03, 9.125
1.4125E-02, 14.125
1.9125E-02, 19.125
2.4125E-02, 24.125
2.9125E-02, 29.125
3.4125E-02, 34.125
3.9125E-02, 39.125
4.4125E-02, 44.125
4.9125E-02, 49.125
5.4125E-02, 54.125
5.9125E-02, 59.125
6.4125E-02, 64.125
6.9125E-02, 69.125
7.4125E-02, 74.125
7.9125E-02, 79.125
8.4125E-02, 84.125
8.9125E-02, 89.125
9.4125E-02, 94.125
9.9125E-02, 99.125
0.104125, 104.125
0.109125, 109.125
0.114125, 114.125
0.119125, 119.125
0.124125, 124.125
0.129125, 129.125
0.134125, 134.125
0.139125, 139.125
0.144125, 144.125
0.149125, 149.125
0.154125, 154.125
0.159125, 159.125
0.164125, 164.125
0.169125, 169.125
0.174125, 174.125
0.179125, 179.125
0.184125, 184.125
0.189125, 189.125
0.194125, 194.125
0.199125, 199.125
0.204125, 204.125
0.209125, 209.125
0.214125, 214.125
0.219125, 219.125
0.224125, 224.125
0.229125, 229.125
0.234125, 234.125
0.239125, 239.125
0.244125, 244.125
0.249125, 249.125
0.254125, 254.125
0.259125, 259.125
0.264125, 264.125
0.269125, 269.125
0.274125, 274.125
0.279125, 279.125
0.284125, 284.125
0.289125, 289.125
0.294125, 294.125
0.299125, 299.125
0.304125, 304.125
0.309125, 309.125
0.314125, 314.125
0.319125, 319.125
0.324125, 324.125
0.329125, 329.125
0.334125, 334.125
0.339125, 339.125
0.344125, 344.125
0.349125, 349.125
0.354125, 354.125
0.359125, 359.125
0.364125, 364.125
0.369125, 369.125
0.374125, 374.125
0.379125, 379.125
0.384125, 384.125
0.389125, 389.125
0.394125, 394.125
0.399125, 399.125
0.404125, 404.125
0.409125, 409.125
0.414125, 414.125
0.419125, 419.125
0.424125, 424.125
0.429125, 429.125
0.434125, 434.125
0.439125, 439.125
0.444125, 444.125
0.449125, 449.125
0.454125, 454.124999
0.459125, 459.124999
0.464125, 464.124999
0.469125, 469.124999
0.474125, 474.124999
0.479125, 479.124999
0.484125, 484.124999
0.489125, 489.124999
0.494125, 494.124999
0.499125, 499.124999
0.504125, 504.124999
0.509125, 509.124999
0.514125, 514.124999
0.519125, 519.124999
0.524125, 524.124999
0.529125, 529.124999
0.534125, 534.124998
0.539125, 539.124998
0.544125, 544.124998
0.549125, 549.124998
0.554125, 554.124998
0.559125, 559.124998
0.564125, 564.124998
0.569125, 569.124997
0.574125, 574.124997
0.579125, 579.124997
0.584125, 584.124997
0.589125, 589.124996
0.594125, 594.124996
0.599125, 599.124996
0.604125, 604.124996
0.609125, 609.124995
0.614125, 614.124995
0.619125, 619.124994
0.624125, 624.124994
0.629125, 629.124994
0.634125, 634.124993
0.639125, 639.124993
0.644125, 644.124992
0.649125, 649.124992
0.654125, 654.124992
0.659125, 659.124991
0.664125, 664.124991
0.669125, 669.12499
0.674125, 674.12499
0.679125, 679.12499
0.684125, 684.124989
0.689125, 689.124989
0.694125, 694.124989
0.699125, 699.124989
0.704125, 704.124989
0.709125, 709.124989
0.714125, 714.124989
0.719125, 719.12499
0.724125, 724.12499
0.729125, 729.124991
0.734125, 734.124992
0.739125, 739.124993
0.744125, 744.124995
0.749125, 749.124997
0.754125, 754.124999
0.759125, 759.125001
0.764125, 764.125004
0.769125, 769.125006
0.774125, 774.12501
0.779125, 779.125013
0.784125, 784.125016
0.789125, 789.12502
0.794125, 794.125024
0.799125, 799.125028
0.804125, 804.125031
0.809125, 809.125035
0.814125, 814.125038
0.819125, 819.125041
0.824125, 824.125044
0.829125, 829.125046
0.834125, 834.125047
0.839125, 839.125047
0.844125, 844.125046
0.849125, 849.125044
0.854125, 854.125041
0.859125, 859.125036
0.864125, 864.125029
0.869125, 869.125021
0.874125, 874.125011
0.879125, 879.125
0.884125, 884.124987
0.889125, 889.124975
0.894125, 894.124962
0.899125, 899.124951
0.904125, 904.124943
0.909125, 909.124938
0.914125, 914.124939
0.919125, 919.124947
0.924125, 924.12496
0.929125, 929.124977
0.934125, 934.124995
0.939125, 939.12501
0.944125, 944.125019
0.949125, 949.125023
0.954125, 954.125023
0.959125, 959.125023
0.964125, 964.125023
0.969125, 969.125025
0.974125, 974.125028
0.979125, 979.125029
0.984125, 984.125027
0.989125, 989.125021
0.994125, 994.125008
0.9970625, 997.062464
1, 999.999863
