TIME, UX_2, FX_3, FY_4, FY_5,Displacement,Reaction,Looad,,,
2.00E-04,4.37E-05,-1901.88378,-31.8053332,-29.9911346,0.04,1901.88,61.80,,,
4.00E-04,8.56E-05,-3804.20661,-63.583512,-60.0232856,0.09,3804.21,123.61,,,
7.00E-04,1.47E-04,-6657.36156,-111.194063,-105.117833,0.15,6657.36,216.31,,,
1.15E-03,2.40E-04,-10937.094,-182.522628,-172.846916,0.24,10937.09,355.37,,,
1.82E-03,3.78E-04,-17277.4383,-288.062683,-273.318189,0.38,17277.44,561.38,,,
2.48E-03,5.20E-04,-23617.7827,-393.500251,-373.89195,0.52,23617.78,767.39,,,
3.15E-03,6.63E-04,-29958.127,-498.871215,-474.532316,0.66,29958.13,973.40,,,
3.82E-03,8.09E-04,-36298.4714,-604.196611,-575.218249,0.81,36298.47,1179.41,,,
4.48E-03,9.55E-04,-42638.8157,-709.489475,-675.936715,0.95,42638.82,1385.43,,,
5.15E-03,1.10E-03,-48979.1534,-814.758156,-776.679244,1.10,48979.15,1591.44,,,
5.82E-03,1.25E-03,-55319.4968,-920.008567,-877.440149,1.25,55319.50,1797.45,,,
6.48E-03,1.40E-03,-61659.8403,-1025.24454,-978.215491,1.40,61659.84,2003.46,,,
7.15E-03,1.55E-03,-68000.1838,-1130.46891,-1079.00243,1.55,68000.18,2209.47,,,
7.82E-03,1.70E-03,-74340.5272,-1235.68377,-1179.7989,1.70,74340.53,2415.48,,,
8.48E-03,1.85E-03,-80680.8707,-1340.89066,-1280.60332,1.85,80680.87,2621.49,,,
9.15E-03,2.00E-03,-87021.2141,-1446.09079,-1381.41451,2.00,87021.21,2827.51,,,
9.82E-03,2.15E-03,-93361.5576,-1551.28509,-1482.23152,2.15,93361.56,3033.52,,,
1.05E-02,2.30E-03,-99701.9011,-1656.47429,-1583.05363,2.30,99701.90,3239.53,,,
1.12E-02,2.45E-03,-106042.245,-1761.65899,-1683.88024,2.45,106042.25,3445.54,,,
1.18E-02,2.60E-03,-112382.588,-1866.83968,-1784.71087,2.60,112382.59,3651.55,,,
1.25E-02,2.75E-03,-118722.931,-1972.01676,-1885.54511,2.75,118722.93,3857.56,,,
1.32E-02,2.90E-03,-125063.275,-2077.19056,-1986.38262,2.90,125063.28,4063.57,,,
1.38E-02,3.05E-03,-131403.618,-2182.36137,-2087.22313,3.05,131403.62,4269.58,,,
1.45E-02,3.20E-03,-137743.962,-2287.52943,-2188.06638,3.20,137743.96,4475.60,,,
1.52E-02,3.36E-03,-144084.305,-2392.69495,-2288.91217,3.36,144084.31,4681.61,,,
1.58E-02,3.51E-03,-150424.649,-2497.85813,-2389.76031,3.51,150424.65,4887.62,,,
1.65E-02,3.66E-03,-156764.992,-2603.01911,-2490.61064,3.66,156764.99,5093.63,,,
1.72E-02,3.81E-03,-163105.336,-2708.17804,-2591.46302,3.81,163105.34,5299.64,,,
1.78E-02,3.96E-03,-169445.679,-2813.33504,-2692.31733,3.96,169445.68,5505.65,,,
1.85E-02,4.12E-03,-175786.023,-2918.49023,-2793.17345,4.12,175786.02,5711.66,,,
1.92E-02,4.27E-03,-182126.366,-3023.64372,-2894.03129,4.27,182126.37,5917.68,,,
1.98E-02,4.42E-03,-188466.709,-3128.79558,-2994.89074,4.42,188466.71,6123.69,,,
2.05E-02,4.57E-03,-194807.053,-3233.94591,-3095.75172,4.57,194807.05,6329.70,,,
2.12E-02,4.72E-03,-201147.396,-3339.09477,-3196.61417,4.72,201147.40,6535.71,,,
2.18E-02,4.88E-03,-207487.74,-3444.24225,-3297.47801,4.88,207487.74,6741.72,,,
2.25E-02,5.03E-03,-213828.083,-3549.3884,-3398.34317,5.03,213828.08,6947.73,,,
2.32E-02,5.18E-03,-220168.427,-3654.53328,-3499.2096,5.18,220168.43,7153.74,,,
2.38E-02,5.34E-03,-226508.77,-3759.67695,-3600.07725,5.34,226508.77,7359.75,,,
2.45E-02,5.49E-03,-232849.114,-3864.81945,-3700.94606,5.49,232849.11,7565.77,,,
2.52E-02,5.64E-03,-239189.457,-3969.96083,-3801.81599,5.64,239189.46,7771.78,,,
2.58E-02,5.80E-03,-245529.8,-4075.10115,-3902.68699,5.80,245529.80,7977.79,,,
2.65E-02,5.95E-03,-251870.144,-4180.24043,-4003.55902,5.95,251870.14,8183.80,,,
2.72E-02,6.10E-03,-258210.487,-4285.37871,-4104.43205,6.10,258210.49,8389.81,,,
2.78E-02,6.26E-03,-264550.831,-4390.51604,-4205.30604,6.26,264550.83,8595.82,,,
