TIME, UY_3
2.E-04, 3.487413822E-03
4.E-04, 6.632780895E-03
7.E-04, 1.081197643E-02
1.15E-03, 1.610776523E-02
1.825E-03, 2.243367381E-02
2.825E-03, 2.941445512E-02
3.825E-03, 3.454619719E-02
4.825E-03, 3.850322852E-02
5.825E-03, 4.16550446E-02
6.825E-03, 4.422842257E-02
7.825E-03, 4.642757492E-02
8.825E-03, 4.823642058E-02
9.825E-03, 4.978502197E-02
1.0825E-02, 5.114657283E-02
1.1825E-02, 5.235054504E-02
1.2825E-02, 5.342183723E-02
1.3825E-02, 5.438237765E-02
1.4825E-02, 5.524954532E-02
1.5825E-02, 5.603717137E-02
1.6825E-02, 5.675645384E-02
1.7825E-02, 5.741655385E-02
1.8825E-02, 5.802503538E-02
1.9825E-02, 5.858819894E-02
2.0825E-02, 5.911133587E-02
2.1825E-02, 5.959892382E-02
2.2825E-02, 6.005477865E-02
2.3825E-02, 6.048217351E-02
2.4825E-02, 6.0883933E-02
2.5825E-02, 6.126250842E-02
2.6825E-02, 6.16200382E-02
2.7825E-02, 6.195839699E-02
2.8825E-02, 6.227923568E-02
2.9825E-02, 6.258401434E-02
3.0825E-02, 6.28740294E-02
3.1825E-02, 6.315043638E-02
3.2825E-02, 6.341426881E-02
3.3825E-02, 6.366645424E-02
3.4825E-02, 6.390782766E-02
3.5825E-02, 6.413914305E-02
3.6825E-02, 6.43610831E-02
3.7825E-02, 6.457426765E-02
3.8825E-02, 6.477926085E-02
3.9825E-02, 6.497657746E-02
4.0825E-02, 6.516668819E-02
4.1825E-02, 6.535002448E-02
4.2825E-02, 6.552698252E-02
4.3825E-02, 6.569792693E-02
4.4825E-02, 6.586319385E-02
4.5825E-02, 6.602309377E-02
4.6825E-02, 6.617791397E-02
4.7825E-02, 6.632792068E-02
4.8825E-02, 6.647336106E-02
4.9825E-02, 6.661446488E-02
5.0825E-02, 6.675144606E-02
5.1825E-02, 6.688450407E-02
5.2825E-02, 6.701382514E-02
5.3825E-02, 6.713958337E-02
5.4825E-02, 6.726194173E-02
5.5825E-02, 6.738105293E-02
5.6825E-02, 6.74970603E-02
5.7825E-02, 6.761009844E-02
5.8825E-02, 6.772029393E-02
5.9825E-02, 6.782776593E-02
6.0825E-02, 6.793262675E-02
6.1825E-02, 6.80349823E-02
6.2825E-02, 6.813493257E-02
6.3825E-02, 6.823257208E-02
6.4825E-02, 6.832799022E-02
6.5825E-02, 6.84212716E-02
6.6825E-02, 6.851249643E-02
6.7825E-02, 6.860174072E-02
6.8825E-02, 6.868907663E-02
6.9825E-02, 6.877457271E-02
7.0825E-02, 6.885829407E-02
7.1825E-02, 6.894030268E-02
7.2825E-02, 6.90206575E-02
7.3825E-02, 6.90994147E-02
7.4825E-02, 6.917662781E-02
7.5825E-02, 6.925234788E-02
7.6825E-02, 6.932662363E-02
7.7825E-02, 6.939950159E-02
7.8825E-02, 6.947102621E-02
7.9825E-02, 6.954123999E-02
8.0825E-02, 6.961018358E-02
8.1825E-02, 6.967789591E-02
8.2825E-02, 6.974441422E-02
8.3825E-02, 6.980977422E-02
8.4825E-02, 6.987401014E-02
8.5825E-02, 6.99371548E-02
8.6825E-02, 6.999923971E-02
8.7825E-02, 7.00602951E-02
8.8825E-02, 7.012035003E-02
8.9825E-02, 7.01794324E-02
9.0825E-02, 7.023756905E-02
9.1825E-02, 7.029478579E-02
9.2825E-02, 7.035110745E-02
9.3825E-02, 7.040655794E-02
9.4825E-02, 7.046116028E-02
9.5825E-02, 7.051493665E-02
9.6825E-02, 7.056790842E-02
9.7825E-02, 7.062009619E-02
9.8825E-02, 7.067151986E-02
9.9825E-02, 7.072219858E-02
0.100825, 7.077215089E-02
0.101825, 7.082139464E-02
0.102825, 7.08699471E-02
0.103825, 7.091782495E-02
0.104825, 7.096504432E-02
0.105825, 7.101162079E-02
0.106825, 7.105756944E-02
0.107825, 7.110290486E-02
0.108825, 7.114764115E-02
0.109825, 7.119179199E-02
0.110825, 7.123537061E-02
0.111825, 7.127838982E-02
0.112825, 7.132086205E-02
0.113825, 7.136279932E-02
0.114825, 7.140421332E-02
0.115825, 7.144511535E-02
0.116825, 7.148551639E-02
0.117825, 7.152542709E-02
0.118825, 7.156485779E-02
0.119825, 7.160381852E-02
0.120825, 7.164231901E-02
0.121825, 7.168036874E-02
0.122825, 7.171797689E-02
0.123825, 7.175515239E-02
0.124825, 7.179190393E-02
0.125825, 7.182823993E-02
0.126825, 7.186416861E-02
0.127825, 7.189969795E-02
0.128825, 7.19348357E-02
0.129825, 7.196958943E-02
0.130825, 7.200396648E-02
0.131825, 7.2037974E-02
0.132825, 7.207161897E-02
0.133825, 7.210490816E-02
0.134825, 7.213784819E-02
0.135825, 7.217044549E-02
0.136825, 7.220270633E-02
0.137825, 7.223463682E-02
0.138825, 7.226624294E-02
0.139825, 7.229753047E-02
0.140825, 7.232850509E-02
0.141825, 7.235917232E-02
0.142825, 7.238953755E-02
0.143825, 7.241960603E-02
0.144825, 7.244938291E-02
0.145825, 7.247887317E-02
0.146825, 7.250808172E-02
0.147825, 7.253701332E-02
0.148825, 7.256567263E-02
0.149825, 7.25940642E-02
0.150825, 7.262219247E-02
0.151825, 7.26500618E-02
0.152825, 7.267767641E-02
0.153825, 7.270504045E-02
0.154825, 7.273215798E-02
0.155825, 7.275903296E-02
0.156825, 7.278566926E-02
0.157825, 7.281207066E-02
0.158825, 7.283824087E-02
0.159825, 7.28641835E-02
0.160825, 7.288990211E-02
0.161825, 7.291540015E-02
0.162825, 7.294068102E-02
0.163825, 7.296574804E-02
0.164825, 7.299060445E-02
0.165825, 7.301525343E-02
0.166825, 7.30396981E-02
0.167825, 7.306394151E-02
0.168825, 7.308798663E-02
0.169825, 7.311183639E-02
0.170825, 7.313549366E-02
0.171825, 7.315896123E-02
0.172825, 7.318224186E-02
0.173825, 7.320533824E-02
0.174825, 7.3228253E-02
0.175825, 7.325098874E-02
0.176825, 7.327354798E-02
0.177825, 7.329593321E-02
0.178825, 7.331814687E-02
0.179825, 7.334019135E-02
0.180825, 7.336206898E-02
0.181825, 7.338378206E-02
0.182825, 7.340533285E-02
0.183825, 7.342672356E-02
0.184825, 7.344795636E-02
0.185825, 7.346903336E-02
0.186825, 7.348995667E-02
0.187825, 7.351072832E-02
0.188825, 7.353135033E-02
0.189825, 7.355182468E-02
0.190825, 7.357215329E-02
0.191825, 7.359233807E-02
0.192825, 7.36123809E-02
0.193825, 7.363228359E-02
0.194825, 7.365204795E-02
0.195825, 7.367167576E-02
0.196825, 7.369116874E-02
0.197825, 7.37105286E-02
0.198825, 7.372975702E-02
0.199825, 7.374885565E-02
0.200825, 7.37678261E-02
0.201825, 7.378666996E-02
0.202825, 7.38053888E-02
0.203825, 7.382398415E-02
0.204825, 7.384245752E-02
0.205825, 7.386081039E-02
0.206825, 7.387904422E-02
0.207825, 7.389716045E-02
0.208825, 7.391516048E-02
0.209825, 7.393304571E-02
0.210825, 7.395081749E-02
0.211825, 7.396847717E-02
0.212825, 7.398602606E-02
0.213825, 7.400346546E-02
0.214825, 7.402079665E-02
0.215825, 7.403802088E-02
0.216825, 7.405513938E-02
0.217825, 7.407215338E-02
0.218825, 7.408906407E-02
0.219825, 7.410587262E-02
0.220825, 7.412258019E-02
0.221825, 7.413918793E-02
0.222825, 7.415569694E-02
0.223825, 7.417210835E-02
0.224825, 7.418842323E-02
0.225825, 7.420464265E-02
0.226825, 7.422076767E-02
0.227825, 7.423679933E-02
0.228825, 7.425273864E-02
0.229825, 7.426858661E-02
0.230825, 7.428434424E-02
0.231825, 7.43000125E-02
0.232825, 7.431559235E-02
0.233825, 7.433108473E-02
0.234825, 7.434649058E-02
0.235825, 7.436181082E-02
