TIME, UY_3
2.E-04, 1.273893838E-02
4.E-04, 2.163753117E-02
7.E-04, 3.089146946E-02
1.15E-03, 3.981947443E-02
1.825E-03, 4.786602387E-02
2.825E-03, 5.471013435E-02
3.825E-03, 5.881753833E-02
4.825E-03, 6.164326459E-02
5.825E-03, 6.376213635E-02
6.825E-03, 6.535210977E-02
7.825E-03, 6.663743676E-02
8.825E-03, 6.770743175E-02
9.825E-03, 6.861272101E-02
1.0825E-02, 6.93912425E-02
1.1825E-02, 7.007018839E-02
1.2825E-02, 7.066925162E-02
1.3825E-02, 7.120309359E-02
1.4825E-02, 7.1682878E-02
1.5825E-02, 7.211727013E-02
1.6825E-02, 7.251311035E-02
1.7825E-02, 7.287587926E-02
1.8825E-02, 7.321002601E-02
1.9825E-02, 7.351920491E-02
2.0825E-02, 7.380644899E-02
2.1825E-02, 7.407429947E-02
2.2825E-02, 7.432490367E-02
2.3825E-02, 7.456009017E-02
2.4825E-02, 7.47814272E-02
2.5825E-02, 7.499026836E-02
2.6825E-02, 7.518778901E-02
2.7825E-02, 7.537501534E-02
2.8825E-02, 7.555284786E-02
2.9825E-02, 7.572208052E-02
3.0825E-02, 7.588341637E-02
3.1825E-02, 7.603748057E-02
3.2825E-02, 7.61848311E-02
3.3825E-02, 7.632596777E-02
3.4825E-02, 7.646133983E-02
3.5825E-02, 7.659135231E-02
3.6825E-02, 7.67163715E-02
3.7825E-02, 7.683672957E-02
3.8825E-02, 7.695272857E-02
3.9825E-02, 7.706464382E-02
4.0825E-02, 7.717272692E-02
4.1825E-02, 7.727720828E-02
4.2825E-02, 7.737829936E-02
4.3825E-02, 7.747619468E-02
4.4825E-02, 7.757107344E-02
4.5825E-02, 7.766310111E-02
4.6825E-02, 7.775243074E-02
4.7825E-02, 7.783920409E-02
4.8825E-02, 7.792355274E-02
4.9825E-02, 7.800559896E-02
5.0825E-02, 7.808545657E-02
5.1825E-02, 7.816323168E-02
5.2825E-02, 7.823902333E-02
5.3825E-02, 7.831292408E-02
5.4825E-02, 7.838502057E-02
5.5825E-02, 7.845539398E-02
5.6825E-02, 7.852412048E-02
5.7825E-02, 7.859127159E-02
5.8825E-02, 7.865691459E-02
5.9825E-02, 7.872111277E-02
6.0825E-02, 7.87839258E-02
6.1825E-02, 7.884540995E-02
6.2825E-02, 7.890561832E-02
6.3825E-02, 7.896460112E-02
6.4825E-02, 7.902240583E-02
6.5825E-02, 7.907907739E-02
6.6825E-02, 7.913465837E-02
6.7825E-02, 7.918918917E-02
