TIME, UX_2, FX_3, FY_4, FY_5,Displacement,Load,Reaction,,,
2.00E-04,-2.37E-08,0.978147606,-0.106034962,-0.101876728,0.00,0.21,-0.98,,,
4.00E-04,-4.80E-08,1.95629508,-0.212069923,-0.203753456,0.00,0.42,-1.96,,,
7.00E-04,-8.60E-08,3.42351657,-0.371122365,-0.356568546,0.00,0.73,-3.42,,,
1.15E-03,-1.46E-07,5.62434858,-0.609701019,-0.585791175,0.00,1.20,-5.62,,,
1.83E-03,-2.43E-07,8.92559619,-0.967568964,-0.929625079,0.00,1.90,-8.93,,,
2.84E-03,-4.05E-07,13.8774653,-1.50437068,-1.44537573,0.00,2.95,-13.88,,,
4.36E-03,-6.84E-07,21.3052569,-2.30957218,-2.21900065,0.00,4.53,-21.31,,,
6.36E-03,-1.12E-06,31.0866818,-3.36991731,-3.23776346,0.00,6.61,-31.09,,,
8.36E-03,-1.63E-06,40.8681367,-4.43026508,-4.25652883,0.00,8.69,-40.87,,,
1.04E-02,-2.22E-06,50.6496139,-5.49061478,-5.27529605,0.00,10.77,-50.65,,,
1.24E-02,-2.89E-06,60.4310912,-6.55096452,-6.29406324,0.00,12.85,-60.43,,,
1.44E-02,-3.64E-06,70.2125685,-7.6113143,-7.31283038,0.00,14.92,-70.21,,,
1.64E-02,-4.48E-06,79.9940458,-8.67166412,-8.33159748,0.00,17.00,-79.99,,,
1.84E-02,-5.40E-06,89.7755231,-9.732014,-9.35036451,-0.01,19.08,-89.78,,,
2.04E-02,-6.40E-06,99.5570004,-10.7923639,-10.3691315,-0.01,21.16,-99.56,,,
2.24E-02,-7.50E-06,109.338478,-11.852714,-11.3878984,-0.01,23.24,-109.34,,,
2.44E-02,-8.68E-06,119.119955,-12.913064,-12.4066652,-0.01,25.32,-119.12,,,
2.64E-02,-9.95E-06,128.901433,-13.9734142,-13.425432,-0.01,27.40,-128.90,,,
2.84E-02,-1.13E-05,138.68291,-15.0337645,-14.4441986,-0.01,29.48,-138.68,,,
3.04E-02,-1.28E-05,148.464388,-16.0941148,-15.4629652,-0.01,31.56,-148.46,,,
3.24E-02,-1.43E-05,158.245865,-17.1544653,-16.4817316,-0.01,33.64,-158.25,,,
3.44E-02,-1.60E-05,168.027343,-18.2148159,-17.500498,-0.02,35.72,-168.03,,,
3.64E-02,-1.77E-05,177.808821,-19.2751666,-18.5192642,-0.02,37.79,-177.81,,,
3.84E-02,-1.96E-05,187.590298,-20.3355175,-19.5380302,-0.02,39.87,-187.59,,,
4.04E-02,-2.15E-05,197.371776,-21.3958684,-20.5567962,-0.02,41.95,-197.37,,,
4.24E-02,-2.36E-05,207.153254,-22.4562196,-21.5755619,-0.02,44.03,-207.15,,,
4.44E-02,-2.57E-05,216.934732,-23.5165709,-22.5943275,-0.03,46.11,-216.93,,,
4.64E-02,-2.80E-05,226.71621,-24.5769224,-23.613093,-0.03,48.19,-226.72,,,
4.84E-02,-3.04E-05,236.497688,-25.637274,-24.6318582,-0.03,50.27,-236.50,,,
