TIME, UX_2
2.E-04, -2.380848648E-08
4.E-04, -4.762215811E-08
7.E-04, -8.335240532E-08
1.15E-03, -1.369697509E-07
1.825E-03, -2.174454193E-07
2.8375E-03, -3.382713278E-07
4.35625E-03, -5.197654595E-07
6.35625E-03, -7.59243543E-07
8.35625E-03, -9.992685155E-07
1.035625E-02, -1.239849952E-06
1.235625E-02, -1.480997593E-06
1.435625E-02, -1.722721356E-06
1.635625E-02, -1.965031331E-06
1.835625E-02, -2.20793779E-06
2.035625E-02, -2.451451186E-06
2.235625E-02, -2.69558216E-06
2.435625E-02, -2.940341544E-06
2.635625E-02, -3.185740362E-06
2.835625E-02, -3.431789837E-06
3.035625E-02, -3.678501393E-06
3.235625E-02, -3.925886663E-06
3.435625E-02, -4.173957486E-06
3.635625E-02, -4.422725917E-06
3.835625E-02, -4.672204231E-06
4.035625E-02, -4.922404927E-06
4.235625E-02, -5.173340728E-06
4.435625E-02, -5.42502459E-06
4.635625E-02, -5.677469712E-06
4.835625E-02, -5.930689529E-06
5.035625E-02, -6.184697724E-06
5.235625E-02, -6.439508238E-06
5.435625E-02, -6.69513526E-06
5.635625E-02, -6.951593248E-06
5.835625E-02, -7.208896928E-06
6.035625E-02, -7.4670613E-06
6.235625E-02, -7.72610164E-06
6.435625E-02, -7.986033515E-06
6.635625E-02, -8.246872777E-06
6.835625E-02, -8.508635584E-06
7.035625E-02, -8.771338393E-06
7.235625E-02, -9.034997969E-06
7.435625E-02, -9.299631402E-06
7.635625E-02, -9.565256098E-06
7.835625E-02, -9.8318898E-06
8.035625E-02, -1.009955058E-05
8.235625E-02, -1.036825687E-05
8.435625E-02, -1.063802745E-05
8.635625E-02, -1.090888144E-05
8.835625E-02, -1.118083837E-05
9.035625E-02, -1.14539181E-05
9.235625E-02, -1.17281409E-05
9.435625E-02, -1.200352744E-05
9.635625E-02, -1.228009877E-05
9.835625E-02, -1.255787637E-05
0.10035625, -1.283688212E-05
0.10235625, -1.311713835E-05
0.10435625, -1.339866783E-05
0.10635625, -1.368149374E-05
0.10835625, -1.396563976E-05
0.11035625, -1.425113004E-05
0.11235625, -1.453798916E-05
0.11435625, -1.482624225E-05
0.11635625, -1.511591491E-05
0.11835625, -1.540703325E-05
0.12035625, -1.569962392E-05
0.12235625, -1.59937141E-05
0.12435625, -1.628933151E-05
0.12635625, -1.658650444E-05
0.12835625, -1.688526176E-05
0.13035625, -1.718563291E-05
0.13235625, -1.748764796E-05
0.13435625, -1.779133756E-05
0.13635625, -1.809673301E-05
0.13835625, -1.840386626E-05
0.14035625, -1.871276991E-05
0.14235625, -1.902347724E-05
0.14435625, -1.933602221E-05
0.14635625, -1.96504395E-05
0.14835625, -1.996676451E-05
0.15035625, -2.02850334E-05
0.15235625, -2.060528305E-05
0.15435625, -2.092755116E-05
0.15635625, -2.12518762E-05
0.15835625, -2.157829747E-05
0.16035625, -2.190685511E-05
0.16235625, -2.223759009E-05
0.16435625, -2.25705443E-05
0.16635625, -2.29057605E-05
0.16835625, -2.324328237E-05
0.17035625, -2.358315455E-05
0.17235625, -2.392542265E-05
0.17435625, -2.427013325E-05
0.17635625, -2.461733398E-05
0.17835625, -2.496707348E-05
0.18035625, -2.531940147E-05
0.18235625, -2.567436879E-05
0.18435625, -2.603202736E-05
0.18635625, -2.63924303E-05
0.18835625, -2.675563188E-05
0.19035625, -2.712168758E-05
0.19235625, -2.749065416E-05
0.19435625, -2.786258961E-05
0.19635625, -2.823755325E-05
0.19835625, -2.861560576E-05
0.20035625, -2.899680918E-05
0.20235625, -2.938122696E-05
0.20435625, -2.976892401E-05
0.20635625, -3.015996674E-05
0.20835625, -3.055442307E-05
0.21035625, -3.09523625E-05
0.21235625, -3.135385616E-05
0.21435625, -3.17589768E-05
0.21635625, -3.21677989E-05
0.21835625, -3.258039867E-05
0.22035625, -3.299685414E-05
0.22235625, -3.341724515E-05
0.22435625, -3.384165346E-05
0.22635625, -3.427016276E-05
0.22835625, -3.470285874E-05
0.23035625, -3.513982917E-05
0.23235625, -3.558116389E-05
0.23435625, -3.602695495E-05
0.23635625, -3.647729662E-05
0.23835625, -3.693228545E-05
0.24035625, -3.739202037E-05
0.24235625, -3.785660273E-05
0.24435625, -3.832613637E-05
0.24635625, -3.880072772E-05
0.24835625, -3.928048583E-05
0.25035625, -3.976552247E-05
0.25235625, -4.025595222E-05
0.25435625, -4.075189252E-05
0.25635625, -4.12534638E-05
0.25835625, -4.176078952E-05
0.26035625, -4.227399628E-05
0.26235625, -4.279321392E-05
0.26435625, -4.33185756E-05
0.26635625, -4.385021793E-05
0.26835625, -4.438828103E-05
0.27035625, -4.493290866E-05
0.27235625, -4.548424835E-05
0.27435625, -4.604245146E-05
0.27635625, -4.660767336E-05
0.27835625, -4.718007351E-05
0.28035625, -4.77598156E-05
0.28235625, -4.834706768E-05
0.28435625, -4.89420023E-05
0.28635625, -4.954479665E-05
0.28835625, -5.015563269E-05
0.29035625, -5.077469733E-05
0.29235625, -5.140218256E-05
0.29435625, -5.203828563E-05
0.29635625, -5.268320919E-05
0.29835625, -5.333716152E-05
0.30035625, -5.400035666E-05
0.30235625, -5.467301459E-05
0.30435625, -5.535536148E-05
0.30635625, -5.604762986E-05
0.30835625, -5.675005881E-05
0.31035625, -5.746289421E-05
0.31235625, -5.818638895E-05
0.31435625, -5.892080318E-05
0.31635625, -5.966640452E-05
0.31835625, -6.042346835E-05
0.32035625, -6.119227806E-05
0.32235625, -6.197312531E-05
