TIME, UX_3
2.E-04, 3.76471736E-06
4.E-04, 5.840164412E-06
7.E-04, 6.083136119E-06
1.15E-03, 7.882040315E-07
1.816666667E-03, -1.721011314E-05
2.483333333E-03, -4.463496161E-05
3.15E-03, -7.903186883E-05
3.816666667E-03, -1.185187981E-04
4.483333333E-03, -1.616364318E-04
5.15E-03, -2.073413793E-04
5.816666667E-03, -2.545532515E-04
6.483333333E-03, -3.026806687E-04
7.15E-03, -3.511945382E-04
7.816666667E-03, -3.996727992E-04
8.483333333E-03, -4.477891194E-04
9.15E-03, -4.952917916E-04
9.816666667E-03, -5.419879891E-04
1.048333333E-02, -5.877317299E-04
1.115E-02, -6.324143572E-04
1.181666667E-02, -6.759569847E-04
1.248333333E-02, -7.183044801E-04
1.315E-02, -7.594206601E-04
1.381666667E-02, -7.99284439E-04
1.448333333E-02, -8.378867342E-04
1.515E-02, -8.752279735E-04
1.581666667E-02, -9.113160831E-04
1.648333333E-02, -9.461648615E-04
1.715E-02, -9.797926625E-04
1.781666667E-02, -1.012221329E-03
1.848333333E-02, -1.043475329E-03
1.915E-02, -1.073581056E-03
1.981666667E-02, -1.102566261E-03
2.048333333E-02, -1.130459595E-03
2.115E-02, -1.157290239E-03
2.181666667E-02, -1.18308761E-03
2.248333333E-02, -1.207881119E-03
2.315E-02, -1.231699983E-03
2.381666667E-02, -1.254573075E-03
2.448333333E-02, -1.276528811E-03
2.515E-02, -1.297595053E-03
2.581666667E-02, -1.317799046E-03
2.648333333E-02, -1.337167366E-03
2.715E-02, -1.355725883E-03
2.781666667E-02, -1.373499738E-03
2.848333333E-02, -1.390513328E-03
2.915E-02, -1.406790301E-03
2.981666667E-02, -1.422353556E-03
3.048333333E-02, -1.437225244E-03
3.115E-02, -1.451426785E-03
3.181666667E-02, -1.464978871E-03
3.248333333E-02, -1.477901488E-03
3.315E-02, -1.490213929E-03
3.381666667E-02, -1.501934812E-03
3.448333333E-02, -1.513082101E-03
3.515E-02, -1.523673124E-03
3.581666667E-02, -1.533724592E-03
3.648333333E-02, -1.543252622E-03
3.715E-02, -1.552272755E-03
3.781666667E-02, -1.560799978E-03
3.848333333E-02, -1.568848741E-03
3.915E-02, -1.576432978E-03
3.981666667E-02, -1.583566129E-03
4.048333333E-02, -1.590261152E-03
4.115E-02, -1.596530547E-03
4.181666667E-02, -1.602386373E-03
4.248333333E-02, -1.60784026E-03
4.315E-02, -1.612903432E-03
4.381666667E-02, -1.617586718E-03
4.448333333E-02, -1.62190057E-03
4.515E-02, -1.625855078E-03
4.581666667E-02, -1.629459982E-03
4.648333333E-02, -1.632724687E-03
4.715E-02, -1.635658277E-03
4.781666667E-02, -1.638269527E-03
4.848333333E-02, -1.640566912E-03
4.915E-02, -1.642558625E-03
4.981666667E-02, -1.644252584E-03
5.048333333E-02, -1.645656441E-03
5.115E-02, -1.646777597E-03
5.181666667E-02, -1.647623208E-03
5.248333333E-02, -1.648200197E-03
5.315E-02, -1.648515261E-03
5.381666667E-02, -1.64857488E-03
5.448333333E-02, -1.648385328E-03
5.515E-02, -1.647952676E-03
5.581666667E-02, -1.647282805E-03
5.648333333E-02, -1.646381407E-03
5.715E-02, -1.645253999E-03
5.781666667E-02, -1.643905924E-03
5.848333333E-02, -1.642342361E-03
5.915E-02, -1.64056833E-03
5.981666667E-02, -1.638588695E-03
6.048333333E-02, -1.636408175E-03
6.115E-02, -1.634031346E-03
6.181666667E-02, -1.631462646E-03
6.248333333E-02, -1.628706381E-03
6.315E-02, -1.625766731E-03
6.381666667E-02, -1.622647751E-03
6.448333333E-02, -1.61935338E-03
6.515E-02, -1.615887439E-03
6.581666667E-02, -1.612253641E-03
6.648333333E-02, -1.608455594E-03
6.715E-02, -1.6044968E-03
6.781666667E-02, -1.600380665E-03
6.848333333E-02, -1.596110496E-03
6.915E-02, -1.591689509E-03
6.981666667E-02, -1.587120833E-03
7.048333333E-02, -1.582407506E-03
7.115E-02, -1.577552487E-03
7.181666667E-02, -1.572558651E-03
7.248333333E-02, -1.567428797E-03
7.315E-02, -1.562165649E-03
7.381666667E-02, -1.556771856E-03
7.448333333E-02, -1.551249999E-03
7.515E-02, -1.545602589E-03
7.581666667E-02, -1.539832072E-03
7.648333333E-02, -1.53394083E-03
7.715E-02, -1.527931182E-03
7.781666667E-02, -1.52180539E-03
7.848333333E-02, -1.515565655E-03
7.915E-02, -1.509214124E-03
7.981666667E-02, -1.502752888E-03
8.048333333E-02, -1.496183986E-03
8.115E-02, -1.489509407E-03
8.181666667E-02, -1.48273109E-03
8.248333333E-02, -1.475850924E-03
8.315E-02, -1.468870755E-03
8.381666667E-02, -1.461792381E-03
8.448333333E-02, -1.454617558E-03
8.515E-02, -1.447347999E-03
8.581666667E-02, -1.439985376E-03
8.648333333E-02, -1.432531321E-03
8.715E-02, -1.424987427E-03
8.781666667E-02, -1.41735525E-03
8.848333333E-02, -1.409636309E-03
8.915E-02, -1.401832088E-03
8.981666667E-02, -1.393944037E-03
9.048333333E-02, -1.38597357E-03
9.115E-02, -1.377922071E-03
9.181666667E-02, -1.369790893E-03
9.248333333E-02, -1.361581356E-03
9.315E-02, -1.353294752E-03
9.381666667E-02, -1.344932343E-03
9.448333333E-02, -1.336495364E-03
9.515E-02, -1.32798502E-03
9.581666667E-02, -1.319402494E-03
9.648333333E-02, -1.310748938E-03
9.715E-02, -1.302025482E-03
9.781666667E-02, -1.293233231E-03
9.848333333E-02, -1.284373265E-03
9.915E-02, -1.275446642E-03
9.981666667E-02, -1.266454398E-03
0.100483333, -1.257397544E-03
0.10115, -1.248277073E-03
0.101816667, -1.239093955E-03
0.102483333, -1.229849141E-03
0.10315, -1.220543562E-03
0.103816667, -1.211178128E-03
0.104483333, -1.201753733E-03
0.10515, -1.192271251E-03
0.105816667, -1.182731539E-03
0.106483333, -1.173135435E-03
0.10715, -1.163483762E-03
0.107816667, -1.153777327E-03
0.108483333, -1.144016917E-03
0.10915, -1.134203308E-03
0.109816667, -1.124337259E-03
0.110483333, -1.114419512E-03
0.11115, -1.104450798E-03
0.111816667, -1.094431832E-03
0.112483333, -1.084363314E-03
0.11315, -1.074245932E-03
0.113816667, -1.064080361E-03
0.114483333, -1.053867263E-03
0.11515, -1.043607286E-03
0.115816667, -1.033301067E-03
0.116483333, -1.022949232E-03
0.11715, -1.012552393E-03
0.117816667, -1.002111152E-03
0.118483333, -9.916260997E-04
0.11915, -9.810978157E-04
0.119816667, -9.70526869E-04
0.120483333, -9.599138182E-04
0.12115, -9.492592117E-04
0.121816667, -9.385635882E-04
0.122483333, -9.278274764E-04
0.12315, -9.170513957E-04
0.123816667, -9.062358561E-04
0.124483333, -8.953813587E-04
0.12515, -8.844883955E-04
0.125816667, -8.735574502E-04
0.126483333, -8.625889977E-04
0.12715, -8.515835046E-04
0.127816667, -8.405414297E-04
0.128483333, -8.294632236E-04
0.12915, -8.183493292E-04
0.129816667, -8.072001819E-04
0.130483333, -7.960162096E-04
0.13115, -7.847978328E-04
0.131816667, -7.735454653E-04
0.132483333, -7.622595135E-04
0.13315, -7.509403772E-04
0.133816667, -7.395884494E-04
0.134483333, -7.282041168E-04
0.13515, -7.167877595E-04
0.135816667, -7.053397515E-04
0.136483333, -6.938604604E-04
0.13715, -6.823502481E-04
0.137816667, -6.708094704E-04
0.138483333, -6.592384775E-04
0.13915, -6.476376139E-04
0.139816667, -6.360072185E-04
0.140483333, -6.243476249E-04
0.14115, -6.126591613E-04
0.141816667, -6.009421507E-04
0.142483333, -5.891969111E-04
0.14315, -5.774237554E-04
0.143816667, -5.656229917E-04
0.144483333, -5.537949231E-04
0.14515, -5.419398483E-04
0.145816667, -5.300580611E-04
0.146483333, -5.18149851E-04
0.14715, -5.062155028E-04
0.147816667, -4.942552973E-04
