TIME, UX_2, FX_3, FY_4, FY_5,Displacement,Load,Reaction,,,
2.00E-04,-2.27E-08,0.866025403,-0.254999998,-0.244999998,0.00,0.50,-0.87,,,
4.00E-04,-4.97E-08,1.73205079,-0.509999994,-0.489999993,0.00,1.00,-1.73,,,
7.00E-04,-9.82E-08,3.03108884,-0.892499977,-0.857499976,0.00,1.75,-3.03,,,
1.15E-03,-1.89E-07,4.97964559,-1.46624987,-1.40874986,0.00,2.87,-4.98,,,
1.83E-03,-3.66E-07,7.90247885,-2.32687424,-2.23562422,0.00,4.56,-7.90,,,
2.84E-03,-7.23E-07,12.2867184,-3.61780834,-3.47593329,0.00,7.09,-12.29,,,
4.36E-03,-1.47E-06,18.8630225,-5.55419652,-5.33638399,0.00,10.89,-18.86,,,
6.36E-03,-2.84E-06,27.5230435,-8.10414215,-7.78632973,0.00,15.89,-27.52,,,
8.36E-03,-4.65E-06,36.1831995,-10.6541196,-10.2363063,0.00,20.89,-36.18,,,
1.04E-02,-6.91E-06,44.8434619,-13.2041213,-12.6863059,-0.01,25.89,-44.84,,,
1.24E-02,-9.64E-06,53.5037258,-15.7541236,-15.1363053,-0.01,30.89,-53.50,,,
1.44E-02,-1.28E-05,62.1639881,-18.3041263,-17.5863038,-0.01,35.89,-62.16,,,
1.64E-02,-1.65E-05,70.8242506,-20.8541297,-20.0363018,-0.02,40.89,-70.82,,,
1.84E-02,-2.06E-05,79.4845133,-23.4041338,-22.486299,-0.02,45.89,-79.48,,,
2.04E-02,-2.53E-05,88.1447761,-25.9541387,-24.9362954,-0.03,50.89,-88.14,,,
2.24E-02,-3.04E-05,96.8050392,-28.5041446,-27.3862908,-0.03,55.89,-96.81,,,
2.44E-02,-3.60E-05,105.465303,-31.0541516,-29.8362852,-0.04,60.89,-105.47,,,
2.64E-02,-4.22E-05,114.125566,-33.6041597,-32.2862784,-0.04,65.89,-114.13,,,
2.84E-02,-4.88E-05,122.78583,-36.1541691,-34.7362703,-0.05,70.89,-122.79,,,
3.04E-02,-5.60E-05,131.446094,-38.7041799,-37.1862609,-0.06,75.89,-131.45,,,
3.24E-02,-6.37E-05,140.106358,-41.2541922,-39.63625,-0.06,80.89,-140.11,,,
3.44E-02,-7.20E-05,148.766622,-43.8042061,-42.0862375,-0.07,85.89,-148.77,,,
3.64E-02,-8.08E-05,157.426887,-46.3542217,-44.5362233,-0.08,90.89,-157.43,,,
3.84E-02,-9.02E-05,166.087152,-48.9042392,-46.9862073,-0.09,95.89,-166.09,,,
4.04E-02,-1.00E-04,174.747417,-51.4542586,-49.4361893,-0.10,100.89,-174.75,,,
4.24E-02,-1.11E-04,183.407682,-54.0042801,-51.8861693,-0.11,105.89,-183.41,,,
4.44E-02,-1.22E-04,192.067947,-56.5543038,-54.3361471,-0.12,110.89,-192.07,,,
4.64E-02,-1.33E-04,200.728213,-59.1043298,-56.7861225,-0.13,115.89,-200.73,,,
4.84E-02,-1.46E-04,209.388479,-61.6543583,-59.2360956,-0.15,120.89,-209.39,,,
5.04E-02,-1.59E-04,218.048746,-64.2043893,-61.686066,-0.16,125.89,-218.05,,,
5.24E-02,-1.72E-04,226.709012,-66.7544231,-64.1360337,-0.17,130.89,-226.71,,,
5.44E-02,-1.86E-04,235.369279,-69.3044597,-66.5859986,-0.19,135.89,-235.37,,,
5.64E-02,-2.01E-04,244.029546,-71.8544994,-69.0359604,-0.20,140.89,-244.03,,,
5.84E-02,-2.16E-04,252.689813,-74.4045421,-71.4859193,-0.22,145.89,-252.69,,,
6.04E-02,-2.32E-04,261.350081,-76.9545882,-73.9358748,-0.23,150.89,-261.35,,,
6.24E-02,-2.49E-04,270.010349,-79.5046376,-76.3858268,-0.25,155.89,-270.01,,,
6.44E-02,-2.67E-04,278.670617,-82.0546906,-78.8357754,-0.27,160.89,-278.67,,,
6.64E-02,-2.85E-04,287.330886,-84.6047474,-81.2857202,-0.28,165.89,-287.33,,,
6.84E-02,-3.04E-04,295.991155,-87.154808,-83.7356612,-0.30,170.89,-295.99,,,
7.04E-02,-3.23E-04,304.651424,-89.7048726,-86.185598,-0.32,175.89,-304.65,,,
7.24E-02,-3.43E-04,313.311693,-92.2549414,-88.6355308,-0.34,180.89,-313.31,,,
7.44E-02,-3.64E-04,321.971963,-94.8050146,-91.0854593,-0.36,185.89,-321.97,,,
7.64E-02,-3.86E-04,330.632233,-97.3550923,-93.5353832,-0.39,190.89,-330.63,,,
7.84E-02,-4.09E-04,339.292504,-99.9051747,-95.9853024,-0.41,195.89,-339.29,,,
8.04E-02,-4.32E-04,347.952774,-102.455262,-98.4352167,-0.43,200.89,-347.95,,,
8.24E-02,-4.56E-04,356.613046,-105.005354,-100.885126,-0.46,205.89,-356.61,,,
8.44E-02,-4.81E-04,365.273317,-107.555452,-103.33503,-0.48,210.89,-365.27,,,
8.64E-02,-5.06E-04,373.933589,-110.105554,-105.784929,-0.51,215.89,-373.93,,,
8.84E-02,-5.33E-04,382.593861,-112.655663,-108.234822,-0.53,220.89,-382.59,,,
9.04E-02,-5.60E-04,391.254134,-115.205777,-110.68471,-0.56,225.89,-391.25,,,
9.24E-02,-5.88E-04,399.914406,-117.755897,-113.134591,-0.59,230.89,-399.91,,,
9.44E-02,-6.17E-04,408.57468,-120.306023,-115.584466,-0.62,235.89,-408.57,,,
9.64E-02,-6.46E-04,417.234953,-122.856156,-118.034335,-0.65,240.89,-417.23,,,
9.84E-02,-6.77E-04,425.895228,-125.406295,-120.484198,-0.68,245.89,-425.90,,,
0.10035625,-7.09E-04,434.555502,-127.956441,-122.934053,-0.71,250.89,-434.56,,,
0.10235625,-7.41E-04,443.215777,-130.506594,-125.383902,-0.74,255.89,-443.22,,,
0.10435625,-7.74E-04,451.876052,-133.056754,-127.833744,-0.77,260.89,-451.88,,,
0.10635625,-8.09E-04,460.536328,-135.606921,-130.283578,-0.81,265.89,-460.54,,,
0.10835625,-8.44E-04,469.196604,-138.157096,-132.733404,-0.84,270.89,-469.20,,,
0.11035625,-8.80E-04,477.856881,-140.707279,-135.183223,-0.88,275.89,-477.86,,,
0.11235625,-9.17E-04,486.517158,-143.257469,-137.633034,-0.92,280.89,-486.52,,,
0.11435625,-9.55E-04,495.177435,-145.807668,-140.082836,-0.96,285.89,-495.18,,,
0.11635625,-9.94E-04,503.837713,-148.357876,-142.53263,-0.99,290.89,-503.84,,,
0.11835625,-1.03E-03,512.497992,-150.908092,-144.982415,-1.03,295.89,-512.50,,,
0.12035625,-1.08E-03,521.158271,-153.458318,-147.432191,-1.08,300.89,-521.16,,,
0.12235625,-1.12E-03,529.81855,-156.008552,-149.881958,-1.12,305.89,-529.82,,,
0.12435625,-1.16E-03,538.47883,-158.558796,-152.331715,-1.16,310.89,-538.48,,,
0.12635625,-1.21E-03,547.139111,-161.10905,-154.781462,-1.21,315.89,-547.14,,,
0.12835625,-1.25E-03,555.799392,-163.659314,-157.2312,-1.25,320.89,-555.80,,,
0.13035625,-1.30E-03,564.459673,-166.209588,-159.680927,-1.30,325.89,-564.46,,,
0.13235625,-1.35E-03,573.119955,-168.759873,-162.130643,-1.35,330.89,-573.12,,,
0.13435625,-1.39E-03,581.780238,-171.310169,-164.580349,-1.39,335.89,-581.78,,,
0.13635625,-1.44E-03,590.440521,-173.860475,-167.030043,-1.44,340.89,-590.44,,,
0.13835625,-1.50E-03,599.100805,-176.410794,-169.479726,-1.50,345.89,-599.10,,,
0.14035625,-1.55E-03,607.761089,-178.961123,-171.929397,-1.55,350.89,-607.76,,,
0.14235625,-1.60E-03,616.421374,-181.511465,-174.379056,-1.60,355.89,-616.42,,,
0.14435625,-1.66E-03,625.081659,-184.06182,-176.828703,-1.66,360.89,-625.08,,,
0.14635625,-1.71E-03,633.741945,-186.612186,-179.278337,-1.71,365.89,-633.74,,,
0.14835625,-1.77E-03,642.402232,-189.162566,-181.727958,-1.77,370.89,-642.40,,,
0.15035625,-1.83E-03,651.062519,-191.712959,-184.177566,-1.83,375.89,-651.06,,,
0.15235625,-1.89E-03,659.722807,-194.263366,-186.62716,-1.89,380.89,-659.72,,,
0.15435625,-1.95E-03,668.383096,-196.813786,-189.07674,-1.95,385.89,-668.38,,,
0.15635625,-2.01E-03,677.043385,-199.364221,-191.526306,-2.01,390.89,-677.04,,,
0.15835625,-2.08E-03,685.703675,-201.91467,-193.975857,-2.08,395.89,-685.70,,,
0.16035625,-2.14E-03,694.363966,-204.465135,-196.425393,-2.14,400.89,-694.36,,,
0.16235625,-2.21E-03,703.024257,-207.015615,-198.874914,-2.21,405.89,-703.02,,,
0.16435625,-2.28E-03,711.684549,-209.56611,-201.324419,-2.28,410.89,-711.68,,,
0.16635625,-2.35E-03,720.344842,-212.116621,-203.773908,-2.35,415.89,-720.34,,,
0.16835625,-2.42E-03,729.005136,-214.667149,-206.22338,-2.42,420.89,-729.01,,,
0.17035625,-2.49E-03,737.66543,-217.217694,-208.672835,-2.49,425.89,-737.67,,,
0.17235625,-2.56E-03,746.325725,-219.768256,-211.122274,-2.56,430.89,-746.33,,,
0.17435625,-2.64E-03,754.986021,-222.318835,-213.571694,-2.64,435.89,-754.99,,,
0.17635625,-2.72E-03,763.646318,-224.869433,-216.021096,-2.72,440.89,-763.65,,,
0.17835625,-2.80E-03,772.306615,-227.420049,-218.47048,-2.80,445.89,-772.31,,,
0.18035625,-2.88E-03,780.966914,-229.970684,-220.919845,-2.88,450.89,-780.97,,,
0.18235625,-2.96E-03,789.627213,-232.521338,-223.36919,-2.96,455.89,-789.63,,,
0.18435625,-3.04E-03,798.287513,-235.072011,-225.818516,-3.04,460.89,-798.29,,,
0.18635625,-3.13E-03,806.947814,-237.622705,-228.267821,-3.13,465.89,-806.95,,,
0.18835625,-3.21E-03,815.608116,-240.17342,-230.717105,-3.21,470.89,-815.61,,,
0.19035625,-3.30E-03,824.268418,-242.724156,-233.166368,-3.30,475.89,-824.27,,,
0.19235625,-3.39E-03,832.928722,-245.274913,-235.61561,-3.39,480.89,-832.93,,,
0.19435625,-3.49E-03,841.589027,-247.825692,-238.064829,-3.49,485.89,-841.59,,,
0.19635625,-3.58E-03,850.249332,-250.376494,-240.514026,-3.58,490.89,-850.25,,,
0.19835625,-3.68E-03,858.909639,-252.927319,-242.963199,-3.68,495.89,-858.91,,,
0.20035625,-3.78E-03,867.569946,-255.478168,-245.412349,-3.78,500.89,-867.57,,,
0.20235625,-3.88E-03,876.230255,-258.02904,-247.861475,-3.88,505.89,-876.23,,,
0.20435625,-3.98E-03,884.890564,-260.579937,-250.310576,-3.98,510.89,-884.89,,,
0.20635625,-4.08E-03,893.550875,-263.130859,-252.759651,-4.08,515.89,-893.55,,,
0.20835625,-4.19E-03,902.211187,-265.681807,-255.208701,-4.19,520.89,-902.21,,,
0.21035625,-4.29E-03,910.871499,-268.232781,-257.657725,-4.29,525.89,-910.87,,,
0.21235625,-4.40E-03,919.531813,-270.783782,-260.106721,-4.40,530.89,-919.53,,,
0.21435625,-4.52E-03,928.192128,-273.33481,-262.55569,-4.52,535.89,-928.19,,,
0.21635625,-4.63E-03,936.852445,-275.885866,-265.00463,-4.63,540.89,-936.85,,,
0.21835625,-4.75E-03,945.512762,-278.436951,-267.453542,-4.75,545.89,-945.51,,,
0.22035625,-4.87E-03,954.17308,-280.988065,-269.902425,-4.87,550.89,-954.17,,,
0.22235625,-4.99E-03,962.8334,-283.539208,-272.351277,-4.99,555.89,-962.83,,,
0.22435625,-5.11E-03,971.493721,-286.090383,-274.800099,-5.11,560.89,-971.49,,,
0.22635625,-5.24E-03,980.154044,-288.641588,-277.248889,-5.24,565.89,-980.15,,,
0.22835625,-5.36E-03,988.814367,-291.192824,-279.697648,-5.36,570.89,-988.81,,,
0.23035625,-5.49E-03,997.474692,-293.744094,-282.146374,-5.49,575.89,-997.47,,,
0.23235625,-5.63E-03,1006.13502,-296.295396,-284.595067,-5.63,580.89,-1006.14,,,
0.23435625,-5.76E-03,1014.79535,-298.846732,-287.043725,-5.76,585.89,-1014.80,,,
0.23635625,-5.90E-03,1023.45567,-301.398102,-289.492349,-5.90,590.89,-1023.46,,,
0.23835625,-6.04E-03,1032.11601,-303.949508,-291.940938,-6.04,595.89,-1032.12,,,
0.24035625,-6.18E-03,1040.77634,-306.500949,-294.38949,-6.18,600.89,-1040.78,,,
0.24235625,-6.32E-03,1049.43667,-309.052428,-296.838005,-6.32,605.89,-1049.44,,,
0.24435625,-6.47E-03,1058.09701,-311.603943,-299.286482,-6.47,610.89,-1058.10,,,
0.24635625,-6.62E-03,1066.75734,-314.155497,-301.734921,-6.62,615.89,-1066.76,,,
0.24835625,-6.78E-03,1075.41768,-316.70709,-304.183321,-6.78,620.89,-1075.42,,,
0.25035625,-6.93E-03,1084.07802,-319.258722,-306.63168,-6.93,625.89,-1084.08,,,
0.25235625,-7.09E-03,1092.73836,-321.810396,-309.079998,-7.09,630.89,-1092.74,,,
0.25435625,-7.25E-03,1101.3987,-324.36211,-311.528275,-7.25,635.89,-1101.40,,,
0.25635625,-7.42E-03,1110.05905,-326.913867,-313.976509,-7.42,640.89,-1110.06,,,
0.25835625,-7.58E-03,1118.71939,-329.465667,-316.4247,-7.58,645.89,-1118.72,,,
0.26035625,-7.75E-03,1127.37971,-332.017517,-318.872851,-7.75,650.89,-1127.38,,,
0.26235625,-7.93E-03,1136.04002,-334.569413,-321.320959,-7.93,655.89,-1136.04,,,
0.26435625,-8.10E-03,1144.70033,-337.121355,-323.76902,-8.10,660.89,-1144.70,,,
0.26635625,-8.28E-03,1153.36064,-339.673344,-326.217035,-8.28,665.89,-1153.36,,,
0.26835625,-8.46E-03,1162.02096,-342.225381,-328.665001,-8.46,670.89,-1162.02,,,
0.27035625,-8.65E-03,1170.68127,-344.777467,-331.112919,-8.65,675.89,-1170.68,,,
0.27235625,-8.84E-03,1179.34159,-347.329603,-333.560788,-8.84,680.89,-1179.34,,,
0.27435625,-9.03E-03,1188.0019,-349.88179,-336.008605,-9.03,685.89,-1188.00,,,
0.27635625,-9.23E-03,1196.66222,-352.43403,-338.45637,-9.23,690.89,-1196.66,,,
0.27835625,-9.42E-03,1205.32254,-354.986323,-340.904083,-9.42,695.89,-1205.32,,,
0.28035625,-9.63E-03,1213.98286,-357.538669,-343.351742,-9.63,700.89,-1213.98,,,
0.28235625,-9.83E-03,1222.64318,-360.091072,-345.799346,-9.83,705.89,-1222.64,,,
0.28435625,-1.00E-02,1231.30349,-362.64353,-348.246894,-10.04,710.89,-1231.30,,-1229.595589,709.9043718
0.28635625,-1.03E-02,1239.96382,-365.196047,-350.694385,-10.25,715.89,-1239.96,,,
0.28835625,-1.05E-02,1248.62414,-367.748622,-353.141818,-10.47,720.89,-1248.62,,,
0.29035625,-1.07E-02,1257.28446,-370.301257,-355.589191,-10.69,725.89,-1257.28,,,
0.29235625,-1.09E-02,1265.94478,-372.853953,-358.036504,-10.92,730.89,-1265.94,,,
0.29435625,-1.11E-02,1274.6051,-375.406712,-360.483755,-11.14,735.89,-1274.61,,,
0.29635625,-1.14E-02,1283.26543,-377.959534,-362.930943,-11.37,740.89,-1283.27,,,
0.29835625,-1.16E-02,1291.92575,-380.512421,-365.378067,-11.61,745.89,-1291.93,,,
0.30035625,-1.19E-02,1300.58607,-383.065374,-367.825125,-11.85,750.89,-1300.59,,,
0.30235625,-1.21E-02,1309.2464,-385.618395,-370.272117,-12.09,755.89,-1309.25,,,
0.30435625,-1.23E-02,1317.90673,-388.171485,-372.71904,-12.34,760.89,-1317.91,,,
0.30635625,-1.26E-02,1326.56705,-390.724645,-375.165895,-12.59,765.89,-1326.57,,,
0.30835625,-1.28E-02,1335.22738,-393.277877,-377.612678,-12.85,770.89,-1335.23,,,
