TIME, UX_2, FX_3, FY_5, FY_4,Displacement,Reaction,Load,,,
2.00E-04,-2.38E-08,0.999847692,-8.55E-03,-8.90E-03,0.00,-1.00,0.02,,,
4.00E-04,-4.76E-08,1.99969539,-1.71E-02,-1.78E-02,0.00,-2.00,0.03,,,
7.00E-04,-8.34E-08,3.49946692,-2.99E-02,-3.12E-02,0.00,-3.50,0.06,,,
1.15E-03,-1.37E-07,5.74912424,-4.92E-02,-5.12E-02,0.00,-5.75,0.10,,,
1.83E-03,-2.17E-07,9.12361019,-7.80E-02,-8.12E-02,0.00,-9.12,0.16,,,
2.84E-03,-3.38E-07,14.1853392,-0.121326948,-0.126279068,0.00,-14.19,0.25,,,
4.36E-03,-5.20E-07,21.7779325,-0.186266261,-0.193868965,0.00,-21.78,0.38,,,
6.36E-03,-7.59E-07,31.7764091,-0.271783049,-0.282876235,0.00,-31.78,0.55,,,
8.36E-03,-9.99E-07,41.7748859,-0.35729984,-0.371883507,0.00,-41.77,0.73,,,
1.04E-02,-1.24E-06,51.7733628,-0.442816631,-0.46089078,0.00,-51.77,0.90,,,
1.24E-02,-1.48E-06,61.7718398,-0.528333423,-0.549898053,0.00,-61.77,1.08,,,
1.44E-02,-1.72E-06,71.7703168,-0.613850214,-0.638905326,0.00,-71.77,1.25,,,
1.64E-02,-1.97E-06,81.7687937,-0.699367006,-0.727912599,0.00,-81.77,1.43,,,
1.84E-02,-2.21E-06,91.7672707,-0.784883797,-0.816919872,0.00,-91.77,1.60,,,
2.04E-02,-2.45E-06,101.765748,-0.870400588,-0.905927145,0.00,-101.77,1.78,,,
2.24E-02,-2.70E-06,111.764225,-0.955917379,-0.994934418,0.00,-111.76,1.95,,,
2.44E-02,-2.94E-06,121.762702,-1.04143417,-1.08394169,0.00,-121.76,2.13,,,
2.64E-02,-3.19E-06,131.761179,-1.12695096,-1.17294896,0.00,-131.76,2.30,,,
2.84E-02,-3.43E-06,141.759656,-1.21246775,-1.26195624,0.00,-141.76,2.47,,,
3.04E-02,-3.68E-06,151.758133,-1.29798455,-1.35096351,0.00,-151.76,2.65,,,
3.24E-02,-3.93E-06,161.756609,-1.38350134,-1.43997078,0.00,-161.76,2.82,,,
3.44E-02,-4.17E-06,171.755086,-1.46901813,-1.52897806,0.00,-171.76,3.00,,,
3.64E-02,-4.42E-06,181.753563,-1.55453492,-1.61798533,0.00,-181.75,3.17,,,
3.84E-02,-4.67E-06,191.75204,-1.64005171,-1.7069926,0.00,-191.75,3.35,,,
4.04E-02,-4.92E-06,201.750517,-1.7255685,-1.79599988,0.00,-201.75,3.52,,,
4.24E-02,-5.17E-06,211.748994,-1.81108529,-1.88500715,-0.01,-211.75,3.70,,,
4.44E-02,-5.43E-06,221.747471,-1.89660208,-1.97401443,-0.01,-221.75,3.87,,,
4.64E-02,-5.68E-06,231.745948,-1.98211887,-2.0630217,-0.01,-231.75,4.05,,,
4.84E-02,-5.93E-06,241.744425,-2.06763566,-2.15202897,-0.01,-241.74,4.22,,,
5.04E-02,-6.18E-06,251.742902,-2.15315245,-2.24103625,-0.01,-251.74,4.39,,,
5.24E-02,-6.44E-06,261.741379,-2.23866924,-2.33004352,-0.01,-261.74,4.57,,,
5.44E-02,-6.70E-06,271.739856,-2.32418603,-2.4190508,-0.01,-271.74,4.74,,,
5.64E-02,-6.95E-06,281.738333,-2.40970282,-2.50805807,-0.01,-281.74,4.92,,,
5.84E-02,-7.21E-06,291.73681,-2.49521961,-2.59706535,-0.01,-291.74,5.09,,,
6.04E-02,-7.47E-06,301.735287,-2.5807364,-2.68607262,-0.01,-301.74,5.27,,,
6.24E-02,-7.73E-06,311.733764,-2.66625319,-2.7750799,-0.01,-311.73,5.44,,,
6.44E-02,-7.99E-06,321.732241,-2.75176998,-2.86408717,-0.01,-321.73,5.62,,,
6.64E-02,-8.25E-06,331.730718,-2.83728677,-2.95309445,-0.01,-331.73,5.79,,,
6.84E-02,-8.51E-06,341.729195,-2.92280356,-3.04210172,-0.01,-341.73,5.96,,,
7.04E-02,-8.77E-06,351.727672,-3.00832034,-3.131109,-0.01,-351.73,6.14,,,
7.24E-02,-9.03E-06,361.726149,-3.09383713,-3.22011627,-0.01,-361.73,6.31,,,
7.44E-02,-9.30E-06,371.724626,-3.17935392,-3.30912355,-0.01,-371.72,6.49,,,
7.64E-02,-9.57E-06,381.723103,-3.26487071,-3.39813082,-0.01,-381.72,6.66,,,
7.84E-02,-9.83E-06,391.72158,-3.3503875,-3.4871381,-0.01,-391.72,6.84,,,
8.04E-02,-1.01E-05,401.720057,-3.43590429,-3.57614538,-0.01,-401.72,7.01,,,
8.24E-02,-1.04E-05,411.718534,-3.52142107,-3.66515265,-0.01,-411.72,7.19,,,
8.44E-02,-1.06E-05,421.717011,-3.60693786,-3.75415993,-0.01,-421.72,7.36,,,
