TIME, UX_2, FX_3, FY_4, FY_5,Displacement,Reaction,Load,,,,
2.00E-04,-2.46E-05,-190.212356,-31.5197463,-30.2836297,-0.02,190.21,61.8,,,,
4.00E-04,-9.63E-05,-380.422725,-63.0396567,-60.5671664,-0.1,380.42,123.61,,,,
7.00E-04,-2.64E-04,-665.740339,-110.320001,-105.992095,-0.26,665.74,216.31,,,,
1.15E-03,-5.93E-04,-1093.73488,-181.244444,-174.13082,-0.59,1093.73,355.38,,,,
1.83E-03,-1.15E-03,-1736.13442,-287.687011,-276.386923,-1.15,1736.13,564.07,,,,
2.66E-03,-1.85E-03,-2528.84221,-419.066277,-402.587541,-1.85,2528.84,821.65,,,,
3.49E-03,-2.49E-03,-3320.81169,-550.33113,-528.66744,-2.49,3320.81,1079,,,,
4.33E-03,-3.05E-03,-4113.32743,-681.680493,-654.820392,-3.05,4113.33,1336.5,,,,
5.16E-03,-3.56E-03,-4914.21722,-814.018419,-781.883422,-3.56,4914.22,1595.9,,,,
5.99E-03,-4.00E-03,-5700.50811,-944.662259,-907.365623,-4,5700.51,1852.03,,,,
6.83E-03,-4.40E-03,-6511.20897,-1079.47209,-1036.74219,-4.4,6511.21,2116.21,,,,
7.66E-03,-4.75E-03,-7307.82339,-1211.25772,-1163.22925,-4.75,7307.82,2374.49,,,,
8.49E-03,-5.05E-03,-8087.15276,-1340.4066,-1287.30891,-5.05,8087.15,2627.72,,,,
9.33E-03,-5.33E-03,-8874.19522,-1470.83931,-1412.58733,-5.33,8874.2,2883.43,,,,
1.02E-02,-5.57E-03,-9665.14747,-1601.93156,-1538.46826,-5.57,9665.15,3140.4,,,,
1.10E-02,-5.80E-03,-10456.5728,-1733.11088,-1664.42824,-5.8,10456.57,3397.54,,,,
1.18E-02,-6.00E-03,-11248.2525,-1864.33761,-1790.43106,-6,11248.25,3654.77,,,,
1.27E-02,-6.18E-03,-12040.2143,-1995.61435,-1916.4781,-6.18,12040.21,3912.09,,,,
1.35E-02,-6.35E-03,-12832.3652,-2126.92462,-2042.55406,-6.35,12832.37,4169.48,,,,
1.43E-02,-6.51E-03,-13624.6372,-2258.25651,-2168.6481,-6.51,13624.64,4426.9,,,,
1.52E-02,-6.65E-03,-14416.9902,-2389.60299,-2294.7539,-6.65,14416.99,4684.36,,,,
1.60E-02,-6.78E-03,-15209.3984,-2520.95957,-2420.86746,-6.78,15209.4,4941.83,,,,
1.68E-02,-6.90E-03,-16001.8448,-2652.32327,-2546.98617,-6.9,16001.84,5199.31,,,,
1.77E-02,-7.01E-03,-16794.3179,-2783.69208,-2673.10831,-7.01,16794.32,5456.8,,,,
1.85E-02,-7.11E-03,-17586.81,-2915.06463,-2799.23275,-7.11,17586.81,5714.3,,,,
1.93E-02,-7.20E-03,-18379.3158,-3046.44,-2925.35872,-7.2,18379.32,5971.8,,,,
2.02E-02,-7.29E-03,-19171.8316,-3177.81749,-3051.48569,-7.29,19171.83,6229.3,,,,
2.10E-02,-7.38E-03,-19964.3547,-3309.19665,-3177.6133,-7.38,19964.35,6486.81,,,,
2.18E-02,-7.45E-03,-20756.8832,-3440.57711,-3303.7413,-7.45,20756.88,6744.32,,,,
2.27E-02,-7.52E-03,-21549.4159,-3571.95864,-3429.86952,-7.52,21549.42,7001.83,,,,
2.35E-02,-7.59E-03,-22341.9516,-3703.34102,-3555.99784,-7.59,22341.95,7259.34,,,,
2.43E-02,-7.65E-03,-23134.4898,-3834.72413,-3682.12616,-7.65,23134.49,7516.85,,,,
2.52E-02,-7.71E-03,-23927.0297,-3966.10785,-3808.25444,-7.71,23927.03,7774.36,,,,
2.60E-02,-7.77E-03,-24719.5711,-4097.4921,-3934.38263,-7.77,24719.57,8031.87,,,,
2.68E-02,-7.82E-03,-25512.1135,-4228.8768,-4060.51071,-7.82,25512.11,8289.39,,,,
2.77E-02,-7.87E-03,-26304.6569,-4360.2619,-4186.63865,-7.87,26304.66,8546.9,,,,
2.85E-02,-7.92E-03,-27097.2009,-4491.64735,-4312.76644,-7.92,27097.2,8804.41,,,,
2.93E-02,-7.96E-03,-27889.7455,-4623.03313,-4438.89408,-7.96,27889.75,9061.93,,,,
3.02E-02,-8.00E-03,-28682.2906,-4754.4192,-4565.02156,-8,28682.29,9319.44,,,,
3.10E-02,-8.04E-03,-29474.836,-4885.80553,-4691.14888,-8.04,29474.84,9576.95,,,,
3.18E-02,-8.07E-03,-30267.3816,-5017.19211,-4817.27605,-8.07,30267.38,9834.47,,,,
3.27E-02,-8.11E-03,-31059.9276,-5148.57892,-4943.40305,-8.11,31059.93,10091.98,,,,
3.35E-02,-8.14E-03,-31852.4737,-5279.96594,-5069.5299,-8.14,31852.47,10349.5,,,,
3.43E-02,-8.17E-03,-32645.0199,-5411.35315,-5195.65661,-8.17,32645.02,10607.01,,,,
3.52E-02,-8.20E-03,-33437.5663,-5542.74055,-5321.78316,-8.2,33437.57,10864.52,,,,
3.60E-02,-8.23E-03,-34230.1128,-5674.12813,-5447.90957,-8.23,34230.11,11122.04,,,,
3.68E-02,-8.25E-03,-35022.6594,-5805.51588,-5574.03584,-8.25,35022.66,11379.55,,,,
3.77E-02,-8.28E-03,-35815.2061,-5936.90378,-5700.16197,-8.28,35815.21,11637.07,,,,
3.85E-02,-8.30E-03,-36607.7528,-6068.29183,-5826.28797,-8.3,36607.75,11894.58,,,,
