TIME, UX_2, UY_3, FY_5, FY_6, FX_4,Displacement,Deflection,Load,Reaction,,,
2.00E-04,-3.70E-04,1.27E-02,-132.992622,-127.775786,-760.976539,-0.37,12.74,260.77,760.98,,,
4.00E-04,-1.08E-03,2.16E-02,-266.061051,-255.61673,-1518.19793,-1.08,21.64,521.68,1518.20,,,
7.00E-04,-2.19E-03,3.09E-02,-465.347807,-447.041334,-2651.54642,-2.19,30.89,912.39,2651.55,,,
1.15E-03,-3.62E-03,3.98E-02,-764.723089,-734.557695,-4356.20629,-3.62,39.82,1499.28,4356.21,,,
1.83E-03,-5.15E-03,4.79E-02,-1212.7897,-1164.80957,-6905.68429,-5.15,47.87,2377.60,6905.68,,,
2.83E-03,-6.61E-03,5.47E-02,-1880.22201,-1805.48838,-10700.1694,-6.61,54.71,3685.71,10700.17,,,
3.83E-03,-7.50E-03,5.88E-02,-2541.1414,-2440.1334,-14466.6533,-7.50,58.82,4981.27,14466.65,,,
4.83E-03,-8.11E-03,6.16E-02,-3206.19593,-3078.47262,-18252.2109,-8.11,61.64,6284.67,18252.21,,,
5.83E-03,-8.55E-03,6.38E-02,-3880.74919,-3724.82682,-22088.6416,-8.55,63.76,7605.58,22088.64,,,
6.83E-03,-8.87E-03,6.54E-02,-4539.33062,-4357.54546,-25839.2955,-8.87,65.35,8896.88,25839.30,,,
7.83E-03,-9.10E-03,6.66E-02,-5200.12945,-4992.34309,-29601.5686,-9.10,66.64,10192.47,29601.57,,,
8.83E-03,-9.28E-03,6.77E-02,-5863.86728,-5629.5544,-33379.5678,-9.28,67.71,11493.42,33379.57,,,
9.83E-03,-9.42E-03,6.86E-02,-6528.08971,-6267.15159,-37160.2102,-9.42,68.61,12795.24,37160.21,,,
1.08E-02,-9.53E-03,6.94E-02,-7192.44505,-6904.84987,-40941.5867,-9.53,69.39,14097.29,40941.59,,,
1.18E-02,-9.61E-03,7.01E-02,-7856.87028,-7542.59768,-44723.3399,-9.61,70.07,15399.47,44723.34,,,
1.28E-02,-9.67E-03,7.07E-02,-8521.32811,-8180.36591,-48505.2623,-9.67,70.67,16701.69,48505.26,,,
1.38E-02,-9.72E-03,7.12E-02,-9185.80174,-8818.14203,-52287.2612,-9.72,71.20,18003.94,52287.26,,,
1.48E-02,-9.75E-03,7.17E-02,-9850.28381,-9455.92087,-56069.2966,-9.75,71.68,19306.20,56069.30,,,
1.58E-02,-9.77E-03,7.21E-02,-10514.7709,-10093.7002,-59851.35,-9.77,72.12,20608.47,59851.35,,,
1.68E-02,-9.78E-03,7.25E-02,-11179.2612,-10731.4791,-63633.4128,-9.78,72.51,21910.74,63633.41,,,
1.78E-02,-9.78E-03,7.29E-02,-11843.7539,-11369.2571,-67415.4805,-9.78,72.88,23213.01,67415.48,,,
1.88E-02,-9.77E-03,7.32E-02,-12508.2484,-12007.0341,-71197.5509,-9.77,73.21,24515.28,71197.55,,,
1.98E-02,-9.76E-03,7.35E-02,-13172.7443,-12644.81,-74979.6228,-9.76,73.52,25817.55,74979.62,,,
2.08E-02,-9.74E-03,7.38E-02,-13837.2416,-13282.585,-78761.6956,-9.74,73.81,27119.83,78761.70,,,
2.18E-02,-9.72E-03,7.41E-02,-14501.74,-13920.3589,-82543.7689,-9.72,74.07,28422.10,82543.77,,,
2.28E-02,-9.69E-03,7.43E-02,-15166.2394,-14558.1319,-86325.8425,-9.69,74.32,29724.37,86325.84,,,
2.38E-02,-9.66E-03,7.46E-02,-15830.7398,-15195.904,-90107.9163,-9.66,74.56,31026.64,90107.92,,,
2.48E-02,-9.62E-03,7.48E-02,-16495.241,-15833.6752,-93889.9902,-9.62,74.78,32328.92,93889.99,,,
2.58E-02,-9.58E-03,7.50E-02,-17159.743,-16471.4457,-97672.0641,-9.58,74.99,33631.19,97672.06,,,
2.68E-02,-9.54E-03,7.52E-02,-17824.2458,-17109.2155,-101454.138,-9.54,75.19,34933.46,101454.14,,,
2.78E-02,-9.49E-03,7.54E-02,-18488.7493,-17746.9846,-105236.212,-9.49,75.38,36235.73,105236.21,,,
2.88E-02,-9.45E-03,7.56E-02,-19153.2534,-18384.753,-109018.286,-9.45,75.55,37538.01,109018.29,,,
2.98E-02,-9.40E-03,7.57E-02,-19817.7581,-19022.5208,-112800.36,-9.40,75.72,38840.28,112800.36,,,
3.08E-02,-9.35E-03,7.59E-02,-20482.2635,-19660.288,-116582.434,-9.35,75.88,40142.55,116582.43,,,
3.18E-02,-9.29E-03,7.60E-02,-21146.7693,-20298.0547,-120364.509,-9.29,76.04,41444.82,120364.51,,,
3.28E-02,-9.24E-03,7.62E-02,-21811.2757,-20935.8209,-124146.583,-9.24,76.18,42747.10,124146.58,,,
3.38E-02,-9.18E-03,7.63E-02,-22475.7826,-21573.5865,-127928.657,-9.18,76.33,44049.37,127928.66,,,
3.48E-02,-9.12E-03,7.65E-02,-23140.29,-22211.3517,-131710.731,-9.12,76.46,45351.64,131710.73,,,
3.58E-02,-9.06E-03,7.66E-02,-23804.7978,-22849.1165,-135492.805,-9.06,76.59,46653.91,135492.81,,,
3.68E-02,-9.00E-03,7.67E-02,-24469.306,-23486.8808,-139274.879,-9.00,76.72,47956.19,139274.88,,,
3.78E-02,-8.94E-03,7.68E-02,-25133.8146,-24124.6447,-143056.953,-8.94,76.84,49258.46,143056.95,,,
3.88E-02,-8.88E-03,7.70E-02,-25798.3237,-24762.4082,-146839.027,-8.88,76.95,50560.73,146839.03,,,
3.98E-02,-8.81E-03,7.71E-02,-26462.8331,-25400.1714,-150621.101,-8.81,77.06,51863.00,150621.10,,,
4.08E-02,-8.75E-03,7.72E-02,-27127.3428,-26037.9342,-154403.175,-8.75,77.17,53165.28,154403.18,,,
4.18E-02,-8.68E-03,7.73E-02,-27791.8529,-26675.6967,-158185.25,-8.68,77.28,54467.55,158185.25,,,
4.28E-02,-8.61E-03,7.74E-02,-28456.3633,-27313.4588,-161967.324,-8.61,77.38,55769.82,161967.32,,,
4.38E-02,-8.55E-03,7.75E-02,-29120.874,-27951.2207,-165749.398,-8.55,77.48,57072.09,165749.40,,,
4.48E-02,-8.48E-03,7.76E-02,-29785.385,-28588.9822,-169531.472,-8.48,77.57,58374.37,169531.47,,,
4.58E-02,-8.41E-03,7.77E-02,-30449.8963,-29226.7435,-173313.546,-8.41,77.66,59676.64,173313.55,,,
4.68E-02,-8.34E-03,7.78E-02,-31114.4079,-29864.5044,-177095.62,-8.34,77.75,60978.91,177095.62,,,
4.78E-02,-8.27E-03,7.78E-02,-31778.9197,-30502.2652,-180877.694,-8.27,77.84,62281.18,180877.69,,,
4.88E-02,-8.19E-03,7.79E-02,-32443.4318,-31140.0256,-184659.768,-8.19,77.92,63583.46,184659.77,,,
4.98E-02,-8.12E-03,7.80E-02,-33107.9441,-31777.7859,-188441.842,-8.12,78.01,64885.73,188441.84,,,
5.08E-02,-8.05E-03,7.81E-02,-33772.4567,-32415.5459,-192223.916,-8.05,78.09,66188.00,192223.92,,,
5.18E-02,-7.98E-03,7.82E-02,-34436.9694,-33053.3056,-196005.991,-7.98,78.16,67490.28,196005.99,,,
5.28E-02,-7.90E-03,7.82E-02,-35101.4824,-33691.0652,-199788.065,-7.90,78.24,68792.55,199788.07,,,
5.38E-02,-7.83E-03,7.83E-02,-35765.9956,-34328.8246,-203570.139,-7.83,78.31,70094.82,203570.14,,,
5.48E-02,-7.75E-03,7.84E-02,-36430.509,-34966.5837,-207352.213,-7.75,78.39,71397.09,207352.21,,,
5.58E-02,-7.68E-03,7.85E-02,-37095.0226,-35604.3427,-211134.287,-7.68,78.46,72699.37,211134.29,,,
5.68E-02,-7.60E-03,7.85E-02,-37759.5364,-36242.1014,-214916.361,-7.60,78.52,74001.64,214916.36,,,
5.78E-02,-7.53E-03,7.86E-02,-38424.0504,-36879.86,-218698.435,-7.53,78.59,75303.91,218698.44,,,
5.88E-02,-7.45E-03,7.87E-02,-39088.5645,-37517.6185,-222480.509,-7.45,78.66,76606.18,222480.51,,,
5.98E-02,-7.37E-03,7.87E-02,-39753.0788,-38155.3767,-226262.583,-7.37,78.72,77908.46,226262.58,,,
6.08E-02,-7.29E-03,7.88E-02,-40417.5932,-38793.1348,-230044.657,-7.29,78.78,79210.73,230044.66,,,
6.18E-02,-7.22E-03,7.88E-02,-41082.1078,-39430.8928,-233826.732,-7.22,78.85,80513.00,233826.73,,,
6.28E-02,-7.14E-03,7.89E-02,-41746.6226,-40068.6506,-237608.806,-7.14,78.91,81815.27,237608.81,,,
6.38E-02,-7.06E-03,7.90E-02,-42411.1375,-40706.4082,-241390.88,-7.06,78.96,83117.55,241390.88,,,
6.48E-02,-6.98E-03,7.90E-02,-43075.6525,-41344.1657,-245172.954,-6.98,79.02,84419.82,245172.95,,,
6.58E-02,-6.90E-03,7.91E-02,-43740.1677,-41981.9231,-248955.028,-6.90,79.08,85722.09,248955.03,,,
6.68E-02,-6.82E-03,7.91E-02,-44404.683,-42619.6804,-252737.102,-6.82,79.13,87024.36,252737.10,,,
6.78E-02,-6.74E-03,7.92E-02,-45069.1984,-43257.4375,-256519.176,-6.74,79.19,88326.64,256519.18,,,
6.88E-02,-6.66E-03,7.92E-02,-45733.7139,-43895.1945,-260301.25,-6.66,79.24,89628.91,260301.25,,,
6.98E-02,-6.58E-03,7.93E-02,-46398.2296,-44532.9514,-264083.324,-6.58,79.30,90931.18,264083.32,,,
7.08E-02,-6.50E-03,7.93E-02,-47062.7454,-45170.7082,-267865.398,-6.50,79.35,92233.45,267865.40,,,
7.18E-02,-6.42E-03,7.94E-02,-47727.2612,-45808.4649,-271647.473,-6.42,79.40,93535.73,271647.47,,,
7.28E-02,-6.34E-03,7.94E-02,-48391.7772,-46446.2214,-275429.547,-6.34,79.45,94838.00,275429.55,,,
7.38E-02,-6.26E-03,7.95E-02,-49056.2933,-47083.9779,-279211.621,-6.26,79.50,96140.27,279211.62,,,
7.48E-02,-6.18E-03,7.95E-02,-49720.8095,-47721.7343,-282993.695,-6.18,79.54,97442.54,282993.70,,,
7.58E-02,-6.09E-03,7.96E-02,-50385.3258,-48359.4906,-286775.769,-6.09,79.59,98744.82,286775.77,,,
7.68E-02,-6.01E-03,7.96E-02,-51049.8421,-48997.2467,-290557.843,-6.01,79.64,100047.09,290557.84,,,
7.78E-02,-5.93E-03,7.97E-02,-51714.3586,-49635.0028,-294339.917,-5.93,79.68,101349.36,294339.92,,,
7.88E-02,-5.85E-03,7.97E-02,-52378.8751,-50272.7589,-298121.991,-5.85,79.73,102651.63,298121.99,,,
7.98E-02,-5.76E-03,7.98E-02,-53043.3917,-50910.5148,-301904.065,-5.76,79.77,103953.91,301904.07,,,
8.08E-02,-5.68E-03,7.98E-02,-53707.9084,-51548.2707,-305686.139,-5.68,79.82,105256.18,305686.14,,,
8.18E-02,-5.60E-03,7.99E-02,-54372.4252,-52186.0264,-309468.214,-5.60,79.86,106558.45,309468.21,,,
8.28E-02,-5.52E-03,7.99E-02,-55036.942,-52823.7821,-313250.288,-5.52,79.90,107860.72,313250.29,,,
8.38E-02,-5.43E-03,7.99E-02,-55701.4589,-53461.5378,-317032.362,-5.43,79.95,109163.00,317032.36,,,
8.48E-02,-5.35E-03,8.00E-02,-56365.9759,-54099.2934,-320814.436,-5.35,79.99,110465.27,320814.44,,,
8.58E-02,-5.26E-03,8.00E-02,-57030.493,-54737.0489,-324596.51,-5.26,80.03,111767.54,324596.51,,,
8.68E-02,-5.18E-03,8.01E-02,-57695.0101,-55374.8043,-328378.584,-5.18,80.07,113069.81,328378.58,,,
8.78E-02,-5.10E-03,8.01E-02,-58359.5272,-56012.5597,-332160.658,-5.10,80.11,114372.09,332160.66,,,
8.88E-02,-5.01E-03,8.01E-02,-59024.0445,-56650.315,-335942.732,-5.01,80.15,115674.36,335942.73,,,
8.98E-02,-4.93E-03,8.02E-02,-59688.5617,-57288.0703,-339724.806,-4.93,80.18,116976.63,339724.81,,,
9.08E-02,-4.84E-03,8.02E-02,-60353.0791,-57925.8255,-343506.88,-4.84,80.22,118278.90,343506.88,,,
9.18E-02,-4.76E-03,8.03E-02,-61017.5965,-58563.5807,-347288.955,-4.76,80.26,119581.18,347288.96,,,
9.28E-02,-4.67E-03,8.03E-02,-61682.1139,-59201.3358,-351071.029,-4.67,80.30,120883.45,351071.03,,,
9.38E-02,-4.59E-03,8.03E-02,-62346.6314,-59839.0908,-354853.103,-4.59,80.33,122185.72,354853.10,,,
9.48E-02,-4.50E-03,8.04E-02,-63011.1489,-60476.8459,-358635.177,-4.50,80.37,123487.99,358635.18,,,
9.58E-02,-4.42E-03,8.04E-02,-63675.6665,-61114.6008,-362417.251,-4.42,80.41,124790.27,362417.25,,,
9.68E-02,-4.33E-03,8.04E-02,-64340.1841,-61752.3558,-366199.325,-4.33,80.44,126092.54,366199.33,,,
9.78E-02,-4.25E-03,8.05E-02,-65004.7017,-62390.1107,-369981.399,-4.25,80.48,127394.81,369981.40,,,
9.88E-02,-4.16E-03,8.05E-02,-65669.2194,-63027.8655,-373763.473,-4.16,80.51,128697.08,373763.47,,,
9.98E-02,-4.07E-03,8.05E-02,-66333.7372,-63665.6204,-377545.547,-4.07,80.54,129999.36,377545.55,,,
0.100825,-3.99E-03,8.06E-02,-66998.2549,-64303.3751,-381327.621,-3.99,80.58,131301.63,381327.62,,,
0.101825,-3.90E-03,8.06E-02,-67662.7727,-64941.1299,-385109.695,-3.90,80.61,132603.90,385109.70,,,
0.102825,-3.82E-03,8.06E-02,-68327.2905,-65578.8846,-388891.77,-3.82,80.64,133906.18,388891.77,,,
0.103825,-3.73E-03,8.07E-02,-68991.8084,-66216.6393,-392673.844,-3.73,80.68,135208.45,392673.84,,,
0.104825,-3.64E-03,8.07E-02,-69656.3263,-66854.394,-396455.918,-3.64,80.71,136510.72,396455.92,,,
0.105825,-3.56E-03,8.07E-02,-70320.8442,-67492.1486,-400237.992,-3.56,80.74,137812.99,400237.99,,,
0.106825,-3.47E-03,8.08E-02,-70985.3621,-68129.9032,-404020.066,-3.47,80.77,139115.27,404020.07,,,
0.107825,-3.38E-03,8.08E-02,-71649.8801,-68767.6578,-407802.14,-3.38,80.80,140417.54,407802.14,,,
0.108825,-3.30E-03,8.08E-02,-72314.3981,-69405.4124,-411584.214,-3.30,80.84,141719.81,411584.21,,,
0.109825,-3.21E-03,8.09E-02,-72978.9161,-70043.1669,-415366.288,-3.21,80.87,143022.08,415366.29,,,
0.110825,-3.12E-03,8.09E-02,-73643.4341,-70680.9214,-419148.362,-3.12,80.90,144324.36,419148.36,,,
0.111825,-3.04E-03,8.09E-02,-74307.9522,-71318.6759,-422930.436,-3.04,80.93,145626.63,422930.44,,,
0.112825,-2.95E-03,8.10E-02,-74972.4702,-71956.4304,-426712.511,-2.95,80.96,146928.90,426712.51,,,
0.113825,-2.86E-03,8.10E-02,-75636.9883,-72594.1849,-430494.585,-2.86,80.99,148231.17,430494.59,,,
0.114825,-2.77E-03,8.10E-02,-76301.5064,-73231.9394,-434276.659,-2.77,81.01,149533.45,434276.66,,,
0.115825,-2.69E-03,8.10E-02,-76966.0245,-73869.6938,-438058.733,-2.69,81.04,150835.72,438058.73,,,
0.116825,-2.60E-03,8.11E-02,-77630.5426,-74507.4482,-441840.807,-2.60,81.07,152137.99,441840.81,,,
0.117825,-2.51E-03,8.11E-02,-78295.0608,-75145.2026,-445622.881,-2.51,81.10,153440.26,445622.88,,,
0.118825,-2.42E-03,8.11E-02,-78959.5789,-75782.957,-449404.955,-2.42,81.13,154742.54,449404.96,,,
0.119825,-2.33E-03,8.12E-02,-79624.097,-76420.7114,-453187.029,-2.33,81.16,156044.81,453187.03,,,
0.120825,-2.25E-03,8.12E-02,-80288.6152,-77058.4658,-456969.103,-2.25,81.18,157347.08,456969.10,,,
0.121825,-2.16E-03,8.12E-02,-80953.1334,-77696.2202,-460751.177,-2.16,81.21,158649.35,460751.18,,,
0.122825,-2.07E-03,8.12E-02,-81617.6515,-78333.9746,-464533.251,-2.07,81.24,159951.63,464533.25,,,
0.123825,-1.98E-03,8.13E-02,-82282.1697,-78971.729,-468315.326,-1.98,81.27,161253.90,468315.33,,,
0.124825,-1.89E-03,8.13E-02,-82946.6879,-79609.4833,-472097.4,-1.89,81.29,162556.17,472097.40,,,
0.125825,-1.80E-03,8.13E-02,-83611.2061,-80247.2377,-475879.474,-1.80,81.32,163858.44,475879.47,,,
0.126825,-1.72E-03,8.13E-02,-84275.7243,-80884.9921,-479661.548,-1.72,81.35,165160.72,479661.55,,,
0.127825,-1.63E-03,8.14E-02,-84940.2425,-81522.7464,-483443.622,-1.63,81.37,166462.99,483443.62,,,
0.128825,-1.54E-03,8.14E-02,-85604.7607,-82160.5008,-487225.696,-1.54,81.40,167765.26,487225.70,,,
0.129825,-1.45E-03,8.14E-02,-86269.2788,-82798.2551,-491007.77,-1.45,81.42,169067.53,491007.77,,,
0.130825,-1.36E-03,8.14E-02,-86933.797,-83436.0095,-494789.844,-1.36,81.45,170369.81,494789.84,,,
0.131825,-1.27E-03,8.15E-02,-87598.3152,-84073.7639,-498571.918,-1.27,81.47,171672.08,498571.92,,,
0.132825,-1.18E-03,8.15E-02,-88262.8334,-84711.5182,-502353.992,-1.18,81.50,172974.35,502353.99,,,
0.133825,-1.09E-03,8.15E-02,-88927.3516,-85349.2726,-506136.066,-1.09,81.52,174276.62,506136.07,,,
0.134825,-1.00E-03,8.15E-02,-89591.8697,-85987.027,-509918.141,-1.00,81.55,175578.90,509918.14,,,
0.135825,-9.15E-04,8.16E-02,-90256.3879,-86624.7814,-513700.215,-0.91,81.57,176881.17,513700.22,,,
0.136825,-8.25E-04,8.16E-02,-90920.9061,-87262.5357,-517482.289,-0.83,81.60,178183.44,517482.29,,,
0.137825,-7.36E-04,8.16E-02,-91585.4242,-87900.2901,-521264.363,-0.74,81.62,179485.71,521264.36,,,
