TIME, UX_2, FY_4, FY_5, FX_3,Displacement,Load,Reaction,,,,
2.00E-04,3.79E-08,-0.414871366,-0.3986019,-1.82709101,0.00,0.81,1.83,,,,
4.00E-04,6.46E-08,-0.829742865,-0.79720393,-3.65418252,0.00,1.63,3.65,,,,
7.00E-04,8.36E-08,-1.45205021,-1.39510707,-6.39482059,0.00,2.85,6.39,,,,
1.15E-03,6.53E-08,-2.38551232,-2.29196283,-10.5057841,0.00,4.68,10.51,,,,
1.83E-03,-6.68E-08,-3.7857106,-3.63725144,-16.6722585,0.00,7.42,16.67,,,,
2.84E-03,-4.98E-07,-5.88603305,-5.65520877,-25.9221114,0.00,11.54,25.92,,,,
4.36E-03,-1.66E-06,-9.03663937,-8.68226463,-39.7975707,0.00,17.72,39.80,,,,
6.36E-03,-4.11E-06,-13.185856,-12.6687747,-58.0712553,0.00,25.85,58.07,,,,
8.36E-03,-7.58E-06,-17.3347776,-16.6549926,-76.3433619,-0.01,33.99,76.34,,,,
1.04E-02,-1.20E-05,-21.483476,-20.6409887,-94.6141711,-0.01,42.12,94.61,,,,
1.24E-02,-1.74E-05,-25.6321741,-24.626981,-112.884955,-0.02,50.26,112.88,,,,
1.44E-02,-2.38E-05,-29.7808791,-28.6129761,-131.155786,-0.02,58.39,131.16,,,,
1.64E-02,-3.10E-05,-33.9295871,-32.5989696,-149.426621,-0.03,66.53,149.43,,,,
1.84E-02,-3.91E-05,-38.0782981,-36.584961,-167.697456,-0.04,74.66,167.70,,,,
2.04E-02,-4.80E-05,-42.2270124,-40.57095,-185.968294,-0.05,82.80,185.97,,,,
2.24E-02,-5.78E-05,-46.3757302,-44.5569364,-204.239134,-0.06,90.93,204.24,,,,
2.44E-02,-6.83E-05,-50.5244517,-48.54292,-222.509975,-0.07,99.07,222.51,,,,
2.64E-02,-7.96E-05,-54.6731772,-52.5289004,-240.780819,-0.08,107.20,240.78,,,,
2.84E-02,-9.17E-05,-58.8219069,-56.5148775,-259.051664,-0.09,115.34,259.05,,,,
3.04E-02,-1.04E-04,-62.970641,-60.500851,-277.32251,-0.10,123.47,277.32,,,,
3.24E-02,-1.18E-04,-67.1193797,-64.4868206,-295.593358,-0.12,131.61,295.59,,,,
3.44E-02,-1.32E-04,-71.2681231,-68.4727862,-313.864208,-0.13,139.74,313.86,,,,
3.64E-02,-1.47E-04,-75.4168714,-72.4587476,-332.135059,-0.15,147.88,332.14,,,,
3.84E-02,-1.62E-04,-79.5656248,-76.4447046,-350.405911,-0.16,156.01,350.41,,,,
4.04E-02,-1.78E-04,-83.7143835,-80.430657,-368.676764,-0.18,164.15,368.68,,,,
4.24E-02,-1.95E-04,-87.8631475,-84.4166045,-386.947619,-0.19,172.28,386.95,,,,
4.44E-02,-2.12E-04,-92.0119172,-88.4025471,-405.218476,-0.21,180.41,405.22,,,,
4.64E-02,-2.30E-04,-96.1606925,-92.3884846,-423.489333,-0.23,188.55,423.49,,,,
4.84E-02,-2.48E-04,-100.309474,-96.3744167,-441.760192,-0.25,196.68,441.76,,,,
5.04E-02,-2.67E-04,-104.458261,-100.360343,-460.031051,-0.27,204.82,460.03,,,,
5.24E-02,-2.86E-04,-108.607054,-104.346265,-478.301912,-0.29,212.95,478.30,,,,
5.44E-02,-3.06E-04,-112.755854,-108.33218,-496.572774,-0.31,221.09,496.57,,,,
5.64E-02,-3.26E-04,-116.90466,-112.318089,-514.843637,-0.33,229.22,514.84,,,,
