TIME, UX_2, FY_4, FY_5, FX_3,Displacement,Load,Reaction,,,
2.00E-04,-5.92E-09,-0.507206162,-0.487315724,-0.104528498,0.00,0.99,0.10,,,
4.00E-04,-2.86E-08,-1.01441238,-0.974631498,-0.20905696,0.00,1.99,0.21,,,
7.00E-04,-9.42E-08,-1.77522173,-1.70560518,-0.365849745,0.00,3.48,0.37,,,
1.15E-03,-2.64E-07,-2.91643605,-2.80206596,-0.601039259,0.00,5.72,0.60,,,
1.83E-03,-6.77E-07,-4.62825867,-4.44675814,-0.953824963,0.00,9.08,0.95,,,
2.84E-03,-1.66E-06,-7.19599731,-6.91380069,-1.48301054,0.00,14.11,1.48,,,
4.36E-03,-3.93E-06,-11.0476257,-10.6143833,-2.27682288,0.00,21.66,2.28,,,
6.36E-03,-8.39E-06,-16.1197734,-15.487619,-3.32224905,-0.01,31.61,3.32,,,
8.36E-03,-1.45E-05,-21.1918882,-20.3608184,-4.36759811,-0.01,41.55,4.37,,,
1.04E-02,-2.23E-05,-26.2639745,-25.2339846,-5.41288938,-0.02,51.50,5.41,,,
1.24E-02,-3.18E-05,-31.3360634,-30.1071466,-6.45818031,-0.03,61.44,6.46,,,
1.44E-02,-4.29E-05,-36.4081573,-34.9803052,-7.5034717,-0.04,71.39,7.50,,,
1.64E-02,-5.57E-05,-41.4802559,-39.8534591,-8.54876314,-0.06,81.33,8.55,,,
1.84E-02,-7.02E-05,-46.5523598,-44.7266075,-9.5940546,-0.07,91.28,9.59,,,
2.04E-02,-8.63E-05,-51.6244698,-49.5997498,-10.6393461,-0.09,101.22,10.64,,,
2.24E-02,-1.04E-04,-56.6965865,-54.4728854,-11.6846376,-0.10,111.17,11.68,,,
2.44E-02,-1.23E-04,-61.7687105,-59.3460135,-12.7299292,-0.12,121.11,12.73,,,
2.64E-02,-1.44E-04,-66.8408425,-64.2191335,-13.7752208,-0.14,131.06,13.78,,,
2.84E-02,-1.67E-04,-71.9129831,-69.0922449,-14.8205124,-0.17,141.01,14.82,,,
