TIME, FY_4
2.E-04, -13.9189819
4.E-04, -27.836743
7.E-04, -48.7111504
1.15E-03, -80.0177958
1.816666667E-03, -126.387317
2.483333333E-03, -172.745795
3.15E-03, -219.09187
3.816666667E-03, -265.427637
4.483333333E-03, -311.75308
5.15E-03, -358.06859
5.816666667E-03, -404.374613
6.483333333E-03, -450.67156
7.15E-03, -496.959816
7.816666667E-03, -543.239747
8.483333333E-03, -589.511694
9.15E-03, -635.775984
9.816666667E-03, -682.032925
1.048333333E-02, -728.282808
1.115E-02, -774.525909
1.181666667E-02, -820.762492
1.248333333E-02, -866.992806
1.315E-02, -913.217088
1.381666667E-02, -959.435562
1.448333333E-02, -1005.64844
1.515E-02, -1051.85594
1.581666667E-02, -1098.05824
1.648333333E-02, -1144.25553
1.715E-02, -1190.44799
1.781666667E-02, -1236.63579
1.848333333E-02, -1282.81908
1.915E-02, -1328.99803
1.981666667E-02, -1375.17278
2.048333333E-02, -1421.34347
2.115E-02, -1467.51024
2.181666667E-02, -1513.67321
2.248333333E-02, -1559.83251
2.315E-02, -1605.98826
2.381666667E-02, -1652.14056
2.448333333E-02, -1698.28954
2.515E-02, -1744.43529
2.581666667E-02, -1790.57791
2.648333333E-02, -1836.7175
2.715E-02, -1882.85416
2.781666667E-02, -1928.98797
2.848333333E-02, -1975.11901
2.915E-02, -2021.24737
2.981666667E-02, -2067.37312
3.048333333E-02, -2113.49635
3.115E-02, -2159.61712
3.181666667E-02, -2205.73551
3.248333333E-02, -2251.85159
3.315E-02, -2297.96541
3.381666667E-02, -2344.07704
3.448333333E-02, -2390.18654
3.515E-02, -2436.29398
3.581666667E-02, -2482.3994
3.648333333E-02, -2528.50286
3.715E-02, -2574.60441
3.781666667E-02, -2620.70411
3.848333333E-02, -2666.802
3.915E-02, -2712.89813
3.981666667E-02, -2758.99254
4.048333333E-02, -2805.08528
4.115E-02, -2851.17639
4.181666667E-02, -2897.26592
4.248333333E-02, -2943.3539
4.315E-02, -2989.44036
4.381666667E-02, -3035.52536
4.448333333E-02, -3081.60892
4.515E-02, -3127.69108
4.581666667E-02, -3173.77187
4.648333333E-02, -3219.85132
4.715E-02, -3265.92947
4.781666667E-02, -3312.00635
4.848333333E-02, -3358.08198
4.915E-02, -3404.1564
4.981666667E-02, -3450.22964
5.048333333E-02, -3496.30171
5.115E-02, -3542.37265
5.181666667E-02, -3588.44248
5.248333333E-02, -3634.51123
5.315E-02, -3680.57892
5.381666667E-02, -3726.64557
5.448333333E-02, -3772.71121
5.515E-02, -3818.77585
5.581666667E-02, -3864.83953
5.648333333E-02, -3910.90225
5.715E-02, -3956.96405
5.781666667E-02, -4003.02493
5.848333333E-02, -4049.08493
5.915E-02, -4095.14405
5.981666667E-02, -4141.20231
6.048333333E-02, -4187.25974
6.115E-02, -4233.31635
6.181666667E-02, -4279.37215
6.248333333E-02, -4325.42716
6.315E-02, -4371.4814
6.381666667E-02, -4417.53488
6.448333333E-02, -4463.58762
6.515E-02, -4509.63963
6.581666667E-02, -4555.69093
6.648333333E-02, -4601.74152
6.715E-02, -4647.79143
6.781666667E-02, -4693.84066
6.848333333E-02, -4739.88923
6.915E-02, -4785.93715
6.981666667E-02, -4831.98443
7.048333333E-02, -4878.03108
7.115E-02, -4924.07712
7.181666667E-02, -4970.12255
7.248333333E-02, -5016.16739
7.315E-02, -5062.21165
