TIME, FY_6
2.E-04, -30.2836297
4.E-04, -60.5671664
7.E-04, -105.992095
1.15E-03, -174.13082
1.825E-03, -276.386923
2.825E-03, -428.206225
3.825E-03, -579.170091
4.825E-03, -730.515366
5.825E-03, -883.38733
6.825E-03, -1033.60869
7.825E-03, -1188.97396
8.825E-03, -1340.51899
9.825E-03, -1489.2921
1.0825E-02, -1639.68127
1.1825E-02, -1790.7605
1.2825E-02, -1941.92574
1.3825E-02, -2093.14561
1.4825E-02, -2244.41576
1.5825E-02, -2395.71707
1.6825E-02, -2547.03733
1.7825E-02, -2698.36954
1.8825E-02, -2849.70938
1.9825E-02, -3001.05414
2.0825E-02, -3152.40207
2.1825E-02, -3303.75204
2.2825E-02, -3455.1033
2.3825E-02, -3606.45537
2.4825E-02, -3757.80792
2.5825E-02, -3909.16071
2.6825E-02, -4060.51361
2.7825E-02, -4211.86651
2.8825E-02, -4363.21933
2.9825E-02, -4514.57203
3.0825E-02, -4665.92459
3.1825E-02, -4817.27698
3.2825E-02, -4968.62919
3.3825E-02, -5119.98122
3.4825E-02, -5271.33306
3.5825E-02, -5422.68471
3.6825E-02, -5574.03618
3.7825E-02, -5725.38746
3.8825E-02, -5876.73857
3.9825E-02, -6028.0895
4.0825E-02, -6179.44027
4.1825E-02, -6330.79087
4.2825E-02, -6482.14131
4.3825E-02, -6633.49159
4.4825E-02, -6784.84173
4.5825E-02, -6936.19172
4.6825E-02, -7087.54157
4.7825E-02, -7238.89128
4.8825E-02, -7390.24087
4.9825E-02, -7541.59032
5.0825E-02, -7692.93965
5.1825E-02, -7844.28886
5.2825E-02, -7995.63796
5.3825E-02, -8146.98694
5.4825E-02, -8298.33581
5.5825E-02, -8449.68457
5.6825E-02, -8601.03323
5.7825E-02, -8752.38179
5.8825E-02, -8903.73025
5.9825E-02, -9055.07862
6.0825E-02, -9206.42689
6.1825E-02, -9357.77507
6.2825E-02, -9509.12317
6.3825E-02, -9660.47117
6.4825E-02, -9811.8191
6.5825E-02, -9963.16694
6.6825E-02, -10114.5147
6.7825E-02, -10265.8624
6.8825E-02, -10417.21
6.9825E-02, -10568.5575
7.0825E-02, -10719.905
7.1825E-02, -10871.2524
7.2825E-02, -11022.5997
7.3825E-02, -11173.9469
7.4825E-02, -11325.2941
7.5825E-02, -11476.6412
7.6825E-02, -11627.9883
7.7825E-02, -11779.3353
7.8825E-02, -11930.6822
7.9825E-02, -12082.0291
8.0825E-02, -12233.3759
8.1825E-02, -12384.7227
8.2825E-02, -12536.0693
8.3825E-02, -12687.416
8.4825E-02, -12838.7626
8.5825E-02, -12990.1091
8.6825E-02, -13141.4556
8.7825E-02, -13292.802
8.8825E-02, -13444.1484
8.9825E-02, -13595.4947
9.0825E-02, -13746.841
9.1825E-02, -13898.1873
9.2825E-02, -14049.5334
9.3825E-02, -14200.8796
9.4825E-02, -14352.2257
9.5825E-02, -14503.5717
9.6825E-02, -14654.9177
9.7825E-02, -14806.2637
9.8825E-02, -14957.6096
9.9825E-02, -15108.9555
0.100825, -15260.3013
0.101825, -15411.6471
0.102825, -15562.9929
0.103825, -15714.3386
0.104825, -15865.6843
0.105825, -16017.03
0.106825, -16168.3756
0.107825, -16319.7211
0.108825, -16471.0667
0.109825, -16622.4122
0.110825, -16773.7576
0.111825, -16925.1031
0.112825, -17076.4485
0.113825, -17227.7938
0.114825, -17379.1391
0.115825, -17530.4844
0.116825, -17681.8297
0.117825, -17833.1749
0.118825, -17984.5201
0.119825, -18135.8653
0.120825, -18287.2105
0.121825, -18438.5556
0.122825, -18589.9006
0.123825, -18741.2457
0.124825, -18892.5907
0.125825, -19043.9357
0.126825, -19195.2807
0.127825, -19346.6256
0.128825, -19497.9705
0.129825, -19649.3154
0.130825, -19800.6603
0.131825, -19952.0051
0.132825, -20103.3499
0.133825, -20254.6947
0.134825, -20406.0395
0.135825, -20557.3842
0.136825, -20708.7289
0.137825, -20860.0736
0.138825, -21011.4182
0.139825, -21162.7629
0.140825, -21314.1075
0.141825, -21465.4521
0.142825, -21616.7967
0.143825, -21768.1412
0.144825, -21919.4857
0.145825, -22070.8302
0.146825, -22222.1747
0.147825, -22373.5192
0.148825, -22524.8636
0.149825, -22676.208
0.150825, -22827.5524
0.151825, -22978.8968
0.152825, -23130.2411
0.153825, -23281.5855
0.154825, -23432.9298
0.155825, -23584.2741
0.156825, -23735.6183
0.157825, -23886.9626
0.158825, -24038.3068
0.159825, -24189.6511
0.160825, -24340.9953
0.161825, -24492.3394
0.162825, -24643.6836
0.163825, -24795.0278
0.164825, -24946.3719
0.165825, -25097.716
0.166825, -25249.0601
0.167825, -25400.4042
0.168825, -25551.7482
0.169825, -25703.0923
0.170825, -25854.4363
0.171825, -26005.7803
0.172825, -26157.1243
0.173825, -26308.4683
0.174825, -26459.8123
0.175825, -26611.1562
0.176825, -26762.5001
0.177825, -26913.844
0.178825, -27065.188
0.179825, -27216.5318
0.180825, -27367.8757
0.181825, -27519.2196
0.182825, -27670.5634
0.183825, -27821.9072
0.184825, -27973.2511
0.185825, -28124.5949
0.186825, -28275.9386
0.187825, -28427.2824
0.188825, -28578.6262
0.189825, -28729.9699
0.190825, -28881.3136
0.191825, -29032.6574
0.192825, -29184.0011
0.193825, -29335.3448
0.194825, -29486.6884
0.195825, -29638.0321
0.196825, -29789.3758
0.197825, -29940.7194
0.198825, -30092.063
0.199825, -30243.4067
0.200825, -30394.7503
0.201825, -30546.0938
0.202825, -30697.4374
0.203825, -30848.781
0.204825, -31000.1246
0.205825, -31151.4681
0.206825, -31302.8116
0.207825, -31454.1552
0.208825, -31605.4987
0.209825, -31756.8422
0.210825, -31908.1857
0.211825, -32059.5291
0.212825, -32210.8726
0.213825, -32362.2161
0.214825, -32513.5595
0.215825, -32664.903
0.216825, -32816.2464
0.217825, -32967.5898
0.218825, -33118.9332
0.219825, -33270.2766
0.220825, -33421.62
0.221825, -33572.9634
0.222825, -33724.3067
0.223825, -33875.6501
0.224825, -34026.9934
0.225825, -34178.3368
0.226825, -34329.6801
0.227825, -34481.0234
0.228825, -34632.3667
0.229825, -34783.71
0.230825, -34935.0533
0.231825, -35086.3966
0.232825, -35237.7399
0.233825, -35389.0831
0.234825, -35540.4264
0.235825, -35691.7696
0.236825, -35843.1129
0.237825, -35994.4561
0.238825, -36145.7993
0.239825, -36297.1425
0.240825, -36448.4857
0.241825, -36599.8289
0.242825, -36751.1721
0.243825, -36902.5153
0.244825, -37053.8585
0.245825, -37205.2016
0.246825, -37356.5448
0.247825, -37507.8879
0.248825, -37659.2311
0.249825, -37810.5742
0.250825, -37961.9173
0.251825, -38113.2604
0.252825, -38264.6035
0.253825, -38415.9466
0.254825, -38567.2897
0.255825, -38718.6328
0.256825, -38869.9759
0.257825, -39021.319
0.258825, -39172.662
0.259825, -39324.0051
0.260825, -39475.3482
0.261825, -39626.6912
0.262825, -39778.0342
0.263825, -39929.3773
0.264825, -40080.7203
0.265825, -40232.0633
0.266825, -40383.4063
0.267825, -40534.7493
0.268825, -40686.0923
0.269825, -40837.4353
0.270825, -40988.7783
0.271825, -41140.1213
0.272825, -41291.4643
0.273825, -41442.8072
0.274825, -41594.1502
0.275825, -41745.4931
0.276825, -41896.8361
