TIME, FX_4
2.E-04, -190.212356
4.E-04, -380.422725
7.E-04, -665.740339
1.15E-03, -1093.73488
1.825E-03, -1736.13442
2.825E-03, -2690.34766
3.825E-03, -3638.04643
4.825E-03, -4588.86538
5.825E-03, -5553.06703
6.825E-03, -6493.77129
7.825E-03, -7467.46336
8.825E-03, -8421.80774
9.825E-03, -9356.28421
1.0825E-02, -10301.1086
1.1825E-02, -11250.3851
1.2825E-02, -12200.1771
1.3825E-02, -13150.3029
1.4825E-02, -14100.7541
1.5825E-02, -15051.4121
1.6825E-02, -16002.1993
1.7825E-02, -16953.0706
1.8825E-02, -17903.9977
1.9825E-02, -18854.9624
2.0825E-02, -19805.9529
2.1825E-02, -20756.9614
2.2825E-02, -21707.9825
2.3825E-02, -22659.0126
2.4825E-02, -23610.0492
2.5825E-02, -24561.0907
2.6825E-02, -25512.1356
2.7825E-02, -26463.1832
2.8825E-02, -27414.2327
2.9825E-02, -28365.2837
3.0825E-02, -29316.3359
3.1825E-02, -30267.389
3.2825E-02, -31218.4428
3.3825E-02, -32169.4971
3.4825E-02, -33120.5518
3.5825E-02, -34071.6069
3.6825E-02, -35022.6622
3.7825E-02, -35973.7177
3.8825E-02, -36924.7735
3.9825E-02, -37875.8293
4.0825E-02, -38826.8853
4.1825E-02, -39777.9413
4.2825E-02, -40728.9974
4.3825E-02, -41680.0536
4.4825E-02, -42631.1099
4.5825E-02, -43582.1661
4.6825E-02, -44533.2225
4.7825E-02, -45484.2788
4.8825E-02, -46435.3352
4.9825E-02, -47386.3916
5.0825E-02, -48337.448
5.1825E-02, -49288.5044
5.2825E-02, -50239.5608
5.3825E-02, -51190.6173
5.4825E-02, -52141.6737
5.5825E-02, -53092.7302
5.6825E-02, -54043.7867
5.7825E-02, -54994.8431
5.8825E-02, -55945.8996
5.9825E-02, -56896.9561
6.0825E-02, -57848.0126
6.1825E-02, -58799.0691
6.2825E-02, -59750.1256
6.3825E-02, -60701.1821
6.4825E-02, -61652.2386
6.5825E-02, -62603.2951
6.6825E-02, -63554.3516
6.7825E-02, -64505.4081
6.8825E-02, -65456.4646
6.9825E-02, -66407.5211
7.0825E-02, -67358.5776
7.1825E-02, -68309.6341
7.2825E-02, -69260.6906
7.3825E-02, -70211.7471
7.4825E-02, -71162.8036
7.5825E-02, -72113.8601
7.6825E-02, -73064.9166
7.7825E-02, -74015.9732
7.8825E-02, -74967.0297
7.9825E-02, -75918.0862
8.0825E-02, -76869.1427
8.1825E-02, -77820.1992
8.2825E-02, -78771.2557
8.3825E-02, -79722.3122
8.4825E-02, -80673.3687
8.5825E-02, -81624.4252
8.6825E-02, -82575.4818
8.7825E-02, -83526.5383
8.8825E-02, -84477.5948
8.9825E-02, -85428.6513
9.0825E-02, -86379.7078
9.1825E-02, -87330.7643
9.2825E-02, -88281.8208
9.3825E-02, -89232.8773
9.4825E-02, -90183.9338
9.5825E-02, -91134.9904
9.6825E-02, -92086.0469
9.7825E-02, -93037.1034
9.8825E-02, -93988.1599
9.9825E-02, -94939.2164
0.100825, -95890.2729
0.101825, -96841.3294
0.102825, -97792.3859
0.103825, -98743.4425
0.104825, -99694.499
0.105825, -100645.555
0.106825, -101596.612
0.107825, -102547.669
0.108825, -103498.725
0.109825, -104449.782
0.110825, -105400.838
0.111825, -106351.895
0.112825, -107302.951
0.113825, -108254.008
0.114825, -109205.064
0.115825, -110156.121
0.116825, -111107.177
0.117825, -112058.234
0.118825, -113009.29
0.119825, -113960.347
0.120825, -114911.403
0.121825, -115862.46
0.122825, -116813.516
0.123825, -117764.573
0.124825, -118715.629
0.125825, -119666.686
0.126825, -120617.742
0.127825, -121568.799
0.128825, -122519.855
0.129825, -123470.912
0.130825, -124421.968
0.131825, -125373.025
0.132825, -126324.081
0.133825, -127275.138
0.134825, -128226.194
0.135825, -129177.251
0.136825, -130128.307
0.137825, -131079.364
0.138825, -132030.42
0.139825, -132981.477
0.140825, -133932.533
0.141825, -134883.59
0.142825, -135834.646
0.143825, -136785.703
0.144825, -137736.759
0.145825, -138687.816
0.146825, -139638.873
0.147825, -140589.929
0.148825, -141540.986
0.149825, -142492.042
0.150825, -143443.099
0.151825, -144394.155
0.152825, -145345.212
0.153825, -146296.268
0.154825, -147247.325
0.155825, -148198.381
0.156825, -149149.438
0.157825, -150100.494
0.158825, -151051.551
0.159825, -152002.607
0.160825, -152953.664
0.161825, -153904.72
0.162825, -154855.777
0.163825, -155806.833
0.164825, -156757.89
0.165825, -157708.946
0.166825, -158660.003
0.167825, -159611.059
0.168825, -160562.116
0.169825, -161513.172
0.170825, -162464.229
0.171825, -163415.285
0.172825, -164366.342
