TIME, UX_2, FX_3,,,,
2.00E-04,2.38E-06,-100,100,0,,
4.00E-04,4.76E-06,-200,200,0,,
7.00E-04,8.33E-06,-350,350,0.01,,
1.15E-03,1.37E-05,-575,575,0.01,,
1.83E-03,2.17E-05,-912.5,912.5,0.02,,
2.84E-03,3.38E-05,-1418.75,1418.75,0.03,,
4.36E-03,5.19E-05,-2178.125,2178.13,0.05,,
6.36E-03,7.57E-05,-3178.12499,3178.12,0.08,,
8.36E-03,9.95E-05,-4178.12499,4178.12,0.1,,
1.04E-02,1.23E-04,-5178.12498,5178.12,0.12,,
1.24E-02,1.47E-04,-6178.12498,6178.12,0.15,,
1.44E-02,1.71E-04,-7178.12498,7178.12,0.17,,
1.64E-02,1.95E-04,-8178.12497,8178.12,0.19,,
1.84E-02,2.19E-04,-9178.12497,9178.12,0.22,,
2.04E-02,2.42E-04,-10178.125,10178.13,0.24,,
2.24E-02,2.66E-04,-11178.125,11178.13,0.27,,
2.44E-02,2.90E-04,-12178.125,12178.13,0.29,,
2.64E-02,3.14E-04,-13178.125,13178.13,0.31,,
2.84E-02,3.38E-04,-14178.125,14178.13,0.34,,
3.04E-02,3.62E-04,-15178.1249,15178.12,0.36,,
3.24E-02,3.85E-04,-16178.1249,16178.12,0.39,,
3.44E-02,4.09E-04,-17178.1249,17178.12,0.41,,
3.64E-02,4.33E-04,-18178.1249,18178.12,0.43,,
3.84E-02,4.57E-04,-19178.1249,19178.12,0.46,,
4.04E-02,4.81E-04,-20178.1249,20178.12,0.48,,
4.24E-02,5.05E-04,-21178.1249,21178.12,0.5,,
4.44E-02,5.28E-04,-22178.1249,22178.12,0.53,,
4.64E-02,5.52E-04,-23178.1249,23178.12,0.55,,
4.84E-02,5.76E-04,-24178.1249,24178.12,0.58,,
5.04E-02,6.00E-04,-25178.1249,25178.12,0.6,,
5.24E-02,6.24E-04,-26178.1249,26178.12,0.62,,
5.44E-02,6.48E-04,-27178.1249,27178.12,0.65,,
5.64E-02,6.72E-04,-28178.1249,28178.12,0.67,,
5.84E-02,6.95E-04,-29178.1249,29178.12,0.7,,
6.04E-02,7.19E-04,-30178.1249,30178.12,0.72,,
6.24E-02,7.43E-04,-31178.1249,31178.12,0.74,,
6.44E-02,7.67E-04,-32178.1249,32178.12,0.77,,
6.64E-02,7.91E-04,-33178.1249,33178.12,0.79,,
6.84E-02,8.15E-04,-34178.1249,34178.12,0.81,,
7.04E-02,8.39E-04,-35178.1249,35178.12,0.84,,
7.24E-02,8.62E-04,-36178.1249,36178.12,0.86,,
7.44E-02,8.86E-04,-37178.1249,37178.12,0.89,,
7.64E-02,9.10E-04,-38178.1249,38178.12,0.91,,
7.84E-02,9.34E-04,-39178.1249,39178.12,0.93,,
8.04E-02,9.58E-04,-40178.1249,40178.12,0.96,,
8.24E-02,9.82E-04,-41178.1249,41178.12,0.98,,
8.44E-02,1.01E-03,-42178.1249,42178.12,1.01,,
8.64E-02,1.03E-03,-43178.1249,43178.12,1.03,,
8.84E-02,1.05E-03,-44178.1248,44178.12,1.05,,
9.04E-02,1.08E-03,-45178.1248,45178.12,1.08,,
