TIME, UY_5, FX_2,Reaction, FY_3, FY_4,Load,Deflection
2.00E-04,6.22E-06,-0.994521881,0.994521881,-5.33E-02,-5.12E-02,0.10,0.01
4.00E-04,1.24E-05,-1.9890438,1.9890438,-0.106619033,-0.102437894,0.21,0.01
7.00E-04,2.17E-05,-3.48082665,3.48082665,-0.186583307,-0.179266315,0.37,0.02
1.15E-03,3.57E-05,-5.71850096,5.71850096,-0.306529721,-0.294508947,0.60,0.04
1.83E-03,5.66E-05,-9.0750126,9.0750126,-0.486449347,-0.467372902,0.95,0.06
2.84E-03,8.79E-05,-14.1097808,14.1097808,-0.756328817,-0.726668864,1.48,0.09
4.36E-03,1.35E-04,-21.6619366,21.6619366,-1.16114817,-1.11561295,2.28,0.13
6.36E-03,1.96E-04,-31.6071701,31.6071701,-1.69424395,-1.62780302,3.32,0.20
8.36E-03,2.57E-04,-41.5523952,41.5523952,-2.22733937,-2.13999273,4.37,0.26
1.04E-02,3.17E-04,-51.4976144,51.4976144,-2.76043454,-2.65218219,5.41,0.32
1.24E-02,3.78E-04,-61.4428336,61.4428336,-3.29352972,-3.16437165,6.46,0.38
1.44E-02,4.37E-04,-71.3880527,71.3880527,-3.8266249,-3.6765611,7.50,0.44
1.64E-02,4.97E-04,-81.3332719,81.3332719,-4.35972008,-4.18875055,8.55,0.50
1.84E-02,5.56E-04,-91.278491,91.278491,-4.89281527,-4.70093999,9.59,0.56
2.04E-02,6.15E-04,-101.22371,101.22371,-5.42591047,-5.21312943,10.64,0.62
2.24E-02,6.74E-04,-111.168929,111.168929,-5.95900567,-5.72531886,11.68,0.67
2.44E-02,7.32E-04,-121.114148,121.114148,-6.49210089,-6.23750827,12.73,0.73
2.64E-02,7.90E-04,-131.059368,131.059368,-7.02519611,-6.74969769,13.77,0.79
2.84E-02,8.48E-04,-141.004587,141.004587,-7.55829134,-7.26188709,14.82,0.85
3.04E-02,9.05E-04,-150.949806,150.949806,-8.09138657,-7.77407649,15.87,0.90
3.24E-02,9.62E-04,-160.895025,160.895025,-8.62448182,-8.28626587,16.91,0.96
3.44E-02,1.02E-03,-170.840244,170.840244,-9.15757708,-8.79845524,17.96,1.02
3.64E-02,1.07E-03,-180.785463,180.785463,-9.69067235,-9.31064461,19.00,1.07
3.84E-02,1.13E-03,-190.730682,190.730682,-10.2237676,-9.82283396,20.05,1.13
4.04E-02,1.19E-03,-200.675901,200.675901,-10.7568629,-10.3350233,21.09,1.19
4.24E-02,1.24E-03,-210.62112,210.62112,-11.2899582,-10.8472126,22.14,1.24
4.44E-02,1.30E-03,-220.56634,220.56634,-11.8230536,-11.3594019,23.18,1.30
4.64E-02,1.35E-03,-230.511559,230.511559,-12.3561489,-11.8715912,24.23,1.35
4.84E-02,1.41E-03,-240.456778,240.456778,-12.8892442,-12.3837805,25.27,1.41
5.04E-02,1.46E-03,-250.401997,250.401997,-13.4223396,-12.8959698,26.32,1.46
5.24E-02,1.52E-03,-260.347216,260.347216,-13.955435,-13.408159,27.36,1.52
5.44E-02,1.57E-03,-270.292435,270.292435,-14.4885304,-13.9203483,28.41,1.57
5.64E-02,1.62E-03,-280.237654,280.237654,-15.0216258,-14.4325375,29.45,1.62
5.84E-02,1.68E-03,-290.182873,290.182873,-15.5547212,-14.9447267,30.50,1.68
6.04E-02,1.73E-03,-300.128092,300.128092,-16.0878167,-15.4569159,31.54,1.73
6.24E-02,1.78E-03,-310.073311,310.073311,-16.6209121,-15.9691051,32.59,1.78
6.44E-02,1.83E-03,-320.01853,320.01853,-17.1540076,-16.4812942,33.64,1.83
6.64E-02,1.89E-03,-329.963749,329.963749,-17.6871031,-16.9934834,34.68,1.89
6.84E-02,1.94E-03,-339.908968,339.908968,-18.2201986,-17.5056725,35.73,1.94
7.04E-02,1.99E-03,-349.854187,349.854187,-18.7532941,-18.0178616,36.77,1.99
7.24E-02,2.04E-03,-359.799406,359.799406,-19.2863897,-18.5300507,37.82,2.04
7.44E-02,2.09E-03,-369.744625,369.744625,-19.8194853,-19.0422397,38.86,2.09
7.64E-02,2.14E-03,-379.689844,379.689844,-20.3525809,-19.5544287,39.91,2.14
7.84E-02,2.19E-03,-389.635063,389.635063,-20.8856765,-20.0666178,40.95,2.19
8.04E-02,2.24E-03,-399.580282,399.580282,-21.4187721,-20.5788068,42.00,2.24
8.24E-02,2.29E-03,-409.525501,409.525501,-21.9518678,-21.0909958,43.04,2.29
8.44E-02,2.34E-03,-419.47072,419.47072,-22.4849634,-21.6031847,44.09,2.34
8.64E-02,2.39E-03,-429.415939,429.415939,-23.0180591,-22.1153736,45.13,2.39
8.84E-02,2.44E-03,-439.361158,439.361158,-23.5511549,-22.6275626,46.18,2.44
9.04E-02,2.49E-03,-449.306377,449.306377,-24.0842506,-23.1397514,47.22,2.49
9.24E-02,2.54E-03,-459.251596,459.251596,-24.6173464,-23.6519403,48.27,2.54
9.44E-02,2.59E-03,-469.196815,469.196815,-25.1504421,-24.1641292,49.31,2.59
9.64E-02,2.64E-03,-479.142034,479.142034,-25.683538,-24.676318,50.36,2.64
9.84E-02,2.68E-03,-489.087253,489.087253,-26.2166338,-25.1885068,51.41,2.68
0.10035625,2.73E-03,-499.032472,499.032472,-26.7497296,-25.7006956,52.45,2.73
0.10235625,2.78E-03,-508.977691,508.977691,-27.2828255,-26.2128843,53.50,2.78
0.10435625,2.83E-03,-518.92291,518.92291,-27.8159214,-26.725073,54.54,2.83
0.10635625,2.87E-03,-528.868129,528.868129,-28.3490174,-27.2372617,55.59,2.87
0.10835625,2.92E-03,-538.813348,538.813348,-28.8821133,-27.7494504,56.63,2.92
0.11035625,2.97E-03,-548.758567,548.758567,-29.4152093,-28.2616391,57.68,2.97
0.11235625,3.01E-03,-558.703786,558.703786,-29.9483053,-28.7738277,58.72,3.01
0.11435625,3.06E-03,-568.649005,568.649005,-30.4814013,-29.2860163,59.77,3.06
0.11635625,3.11E-03,-578.594224,578.594224,-31.0144974,-29.7982049,60.81,3.11
0.11835625,3.15E-03,-588.539443,588.539443,-31.5475935,-30.3103934,61.86,3.15
0.12035625,3.20E-03,-598.484662,598.484662,-32.0806896,-30.8225819,62.90,3.20
0.12235625,3.24E-03,-608.429881,608.429881,-32.6137857,-31.3347704,63.95,3.24
0.12435625,3.29E-03,-618.3751,618.3751,-33.1468819,-31.8469589,64.99,3.29
0.12635625,3.33E-03,-628.320319,628.320319,-33.679978,-32.3591474,66.04,3.33
0.12835625,3.38E-03,-638.265538,638.265538,-34.2130743,-32.8713358,67.08,3.38
0.13035625,3.42E-03,-648.210757,648.210757,-34.7461705,-33.3835242,68.13,3.42
0.13235625,3.47E-03,-658.155976,658.155976,-35.2792668,-33.8957125,69.17,3.47
0.13435625,3.51E-03,-668.101195,668.101195,-35.8123631,-34.4079008,70.22,3.51
0.13635625,3.55E-03,-678.046414,678.046414,-36.3454594,-34.9200892,71.27,3.55
0.13835625,3.60E-03,-687.991632,687.991632,-36.8785557,-35.4322775,72.31,3.60
0.14035625,3.64E-03,-697.936851,697.936851,-37.4116521,-35.9444657,73.36,3.64
0.14235625,3.68E-03,-707.88207,707.88207,-37.9447485,-36.4566539,74.40,3.68
0.14435625,3.73E-03,-717.827289,717.827289,-38.4778449,-36.9688421,75.45,3.73
0.14635625,3.77E-03,-727.772508,727.772508,-39.0109414,-37.4810303,76.49,3.77
0.14835625,3.81E-03,-737.717727,737.717727,-39.5440379,-37.9932184,77.54,3.81
0.15035625,3.85E-03,-747.662946,747.662946,-40.0771344,-38.5054066,78.58,3.85
0.15235625,3.90E-03,-757.608165,757.608165,-40.610231,-39.0175946,79.63,3.90
0.15435625,3.94E-03,-767.553384,767.553384,-41.1433275,-39.5297827,80.67,3.94
0.15635625,3.98E-03,-777.498603,777.498603,-41.6764241,-40.0419707,81.72,3.98
0.15835625,4.02E-03,-787.443822,787.443822,-42.2095208,-40.5541587,82.76,4.02
0.16035625,4.06E-03,-797.389041,797.389041,-42.7426174,-41.0663467,83.81,4.06
0.16235625,4.10E-03,-807.33426,807.33426,-43.2757141,-41.5785346,84.85,4.10
0.16435625,4.15E-03,-817.279479,817.279479,-43.8088108,-42.0907225,85.90,4.15
0.16635625,4.19E-03,-827.224697,827.224697,-44.3419076,-42.6029104,86.94,4.19
0.16835625,4.23E-03,-837.169916,837.169916,-44.8750044,-43.1150982,87.99,4.23
0.17035625,4.27E-03,-847.115135,847.115135,-45.4081012,-43.6272861,89.04,4.27
0.17235625,4.31E-03,-857.060354,857.060354,-45.941198,-44.1394738,90.08,4.31
0.17435625,4.35E-03,-867.005573,867.005573,-46.4742949,-44.6516616,91.13,4.35
0.17635625,4.39E-03,-876.950792,876.950792,-47.0073918,-45.1638493,92.17,4.39
0.17835625,4.43E-03,-886.896011,886.896011,-47.5404887,-45.6760371,93.22,4.43
0.18035625,4.47E-03,-896.84123,896.84123,-48.0735857,-46.1882247,94.26,4.47
0.18235625,4.51E-03,-906.786449,906.786449,-48.6066827,-46.7004123,95.31,4.51
0.18435625,4.55E-03,-916.731668,916.731668,-49.1397797,-47.2125999,96.35,4.55
0.18635625,4.58E-03,-926.676887,926.676887,-49.6728768,-47.7247875,97.40,4.58
0.18835625,4.62E-03,-936.622106,936.622106,-50.2059739,-48.2369751,98.44,4.62
0.19035625,4.66E-03,-946.567324,946.567324,-50.739071,-48.7491626,99.49,4.66
0.19235625,4.70E-03,-956.512543,956.512543,-51.2721681,-49.2613501,100.53,4.70
0.19435625,4.74E-03,-966.457762,966.457762,-51.8052653,-49.7735375,101.58,4.74
