TIME, UY_5, FY_3, FY_4, FX_2,Load ,Reaction,Deflection,,,
2.00E-04,5.15E-05,-0.441672952,-0.424352444,-0.500000014,0.87,0.50,0.05,,,
4.00E-04,1.03E-04,-0.883345966,-0.848704946,-1.00000011,1.73,1.00,0.10,,,
7.00E-04,1.80E-04,-1.54585553,-1.48523374,-1.75000036,3.03,1.75,0.18,,,
1.15E-03,2.96E-04,-2.53962033,-2.44002736,-2.8750016,4.98,2.88,0.30,,,
1.83E-03,4.70E-04,-4.03026953,-3.87221968,-4.56250719,7.90,4.56,0.47,,,
2.84E-03,7.30E-04,-6.26625279,-6.02051721,-7.09378298,12.29,7.09,0.73,,,
4.36E-03,1.12E-03,-9.62027289,-9.24300712,-10.8907789,18.86,10.89,1.12,,,
6.36E-03,1.63E-03,-14.0371905,-13.4867125,-15.8911199,27.52,15.89,1.63,,,
8.36E-03,2.14E-03,-18.4540109,-17.7303196,-20.8912871,36.18,20.89,2.14,,,
1.04E-02,2.65E-03,-22.8707534,-21.9738468,-25.8913049,44.84,25.89,2.65,,,
1.24E-02,3.16E-03,-27.2874966,-26.2173704,-30.8913188,53.50,30.89,3.16,,,
1.44E-02,3.66E-03,-31.7042442,-30.4608929,-35.8913373,62.17,35.89,3.66,,,
1.64E-02,4.16E-03,-36.1209948,-34.7044124,-40.8913558,70.83,40.89,4.16,,,
1.84E-02,4.67E-03,-40.5377487,-38.9479283,-45.891374,79.49,45.89,4.67,,,
2.04E-02,5.17E-03,-44.9545065,-43.1914404,-50.891392,88.15,50.89,5.17,,,
2.24E-02,5.67E-03,-49.3712684,-47.434948,-55.8914098,96.81,55.89,5.67,,,
2.44E-02,6.17E-03,-53.7880348,-51.6784509,-60.8914273,105.47,60.89,6.17,,,
2.64E-02,6.66E-03,-58.2048063,-55.9219488,-65.8914447,114.13,65.89,6.66,,,
2.84E-02,7.16E-03,-62.6215831,-60.1654411,-70.8914618,122.79,70.89,7.16,,,
3.04E-02,7.65E-03,-67.0383656,-64.4089275,-75.8914787,131.45,75.89,7.65,,,
3.24E-02,8.15E-03,-71.4551542,-68.6524076,-80.8914954,140.11,80.89,8.15,,,
3.44E-02,8.64E-03,-75.8719493,-72.8958811,-85.8915119,148.77,85.89,8.64,,,
3.64E-02,9.13E-03,-80.2887512,-77.1393477,-90.8915282,157.43,90.89,9.13,,,
3.84E-02,9.61E-03,-84.7055604,-81.3828068,-95.8915443,166.09,95.89,9.61,,172.9482285,99.85209296
4.04E-02,1.01E-02,-89.1223772,-85.6262583,-100.89156,174.75,100.89,10.10,,,
4.24E-02,1.06E-02,-93.5392019,-89.8697016,-105.891576,183.41,105.89,10.59,,,
4.44E-02,1.11E-02,-97.9560348,-94.1131365,-110.891591,192.07,110.89,11.07,,,
4.64E-02,1.16E-02,-102.372876,-98.3565626,-115.891607,200.73,115.89,11.55,,,
4.84E-02,1.20E-02,-106.789727,-102.59998,-120.891622,209.39,120.89,12.03,,,
5.04E-02,1.25E-02,-111.206587,-106.843387,-125.891637,218.05,125.89,12.51,,,
5.24E-02,1.30E-02,-115.623457,-111.086785,-130.891651,226.71,130.89,12.99,,,
5.44E-02,1.35E-02,-120.040336,-115.330172,-135.891666,235.37,135.89,13.47,,,
5.64E-02,1.39E-02,-124.457226,-119.573549,-140.89168,244.03,140.89,13.95,,,
5.84E-02,1.44E-02,-128.874127,-123.816916,-145.891694,252.69,145.89,14.42,,,
6.04E-02,1.49E-02,-133.291038,-128.060271,-150.891708,261.35,150.89,14.89,,,
6.24E-02,1.54E-02,-137.707961,-132.303614,-155.891722,270.01,155.89,15.36,,,
6.44E-02,1.58E-02,-142.124896,-136.546946,-160.891736,278.67,160.89,15.84,,,
6.64E-02,1.63E-02,-146.541842,-140.790266,-165.891749,287.33,165.89,16.30,,,
6.84E-02,1.68E-02,-150.958801,-145.033574,-170.891762,295.99,170.89,16.77,,,
7.04E-02,1.72E-02,-155.375772,-149.276869,-175.891775,304.65,175.89,17.24,,,
7.24E-02,1.77E-02,-159.792756,-153.52015,-180.891788,313.31,180.89,17.70,,,
