TIME, UY_5, FX_2, FY_3, FY_4,Load,Reaction ,Deflection,,,
2.00E-04,5.43E-05,-0.406736667,-0.465908179,-0.44763727,0.91,0.41,0.05,,,
4.00E-04,1.09E-04,-0.813473374,-0.931816423,-0.895274601,1.83,0.81,0.11,,,
7.00E-04,1.90E-04,-1.42357856,-1.63067883,-1.56673064,3.20,1.42,0.19,,,
1.15E-03,3.12E-04,-2.33873709,-2.67897291,-2.57391512,5.25,2.34,0.31,,,
1.83E-03,4.95E-04,-3.71147809,-4.25141603,-4.08469374,8.34,3.71,0.50,,,
2.84E-03,7.70E-04,-5.7706045,-6.61009005,-6.35087056,12.96,5.77,0.77,,,
4.36E-03,1.18E-03,-8.85936444,-10.1481454,-9.75017839,19.90,8.86,1.18,,,
6.36E-03,1.72E-03,-12.927023,-14.8074119,-14.226728,29.03,12.93,1.72,,,
8.36E-03,2.26E-03,-16.9945338,-19.4665858,-18.7031834,38.17,16.99,2.26,,,
1.04E-02,2.80E-03,-21.0619179,-24.125684,-23.1795605,47.31,21.06,2.80,,,
1.24E-02,3.33E-03,-25.1292987,-28.7847833,-27.6559334,56.44,25.13,3.33,,,
1.44E-02,3.87E-03,-29.1966832,-33.4438874,-32.132305,65.58,29.20,3.87,,,
1.64E-02,4.40E-03,-33.2640679,-38.1029952,-36.608673,74.71,33.26,4.40,,,
1.84E-02,4.94E-03,-37.3314523,-42.762107,-41.0850368,83.85,37.33,4.94,,,
2.04E-02,5.47E-03,-41.3988365,-47.4212232,-45.5613958,92.98,41.40,5.47,,,
2.24E-02,6.00E-03,-45.4662206,-52.0803444,-50.0377498,102.12,45.47,6.00,,,
2.44E-02,6.53E-03,-49.5336045,-56.739471,-54.5140982,111.25,49.53,6.53,,,
2.64E-02,7.05E-03,-53.6009883,-61.3986036,-58.9904405,120.39,53.60,7.05,,,
2.84E-02,7.58E-03,-57.6683719,-66.0577425,-63.4667763,129.52,57.67,7.58,,,
3.04E-02,8.10E-03,-61.7357553,-70.7168882,-67.943105,138.66,61.74,8.10,,,
3.24E-02,8.63E-03,-65.8031386,-75.3760412,-72.4194263,147.80,65.80,8.63,,,
3.44E-02,9.15E-03,-69.8705217,-80.0352019,-76.8957397,156.93,69.87,9.15,,,
3.64E-02,9.67E-03,-73.9379047,-84.6943708,-81.3720448,166.07,73.94,9.67,,76.50314705,171.8280333
3.84E-02,1.02E-02,-78.0052875,-89.3535484,-85.8483411,175.20,78.01,10.19,,,
4.04E-02,1.07E-02,-82.0726701,-94.012735,-90.3246281,184.34,82.07,10.71,,,
4.24E-02,1.12E-02,-86.1400526,-98.6719311,-94.8009055,193.47,86.14,11.23,,,
4.44E-02,1.17E-02,-90.2074349,-103.331137,-99.2771728,202.61,90.21,11.74,,,
4.64E-02,1.23E-02,-94.2748171,-107.990354,-103.753429,211.74,94.27,12.26,,,
4.84E-02,1.28E-02,-98.3421991,-112.649581,-108.229675,220.88,98.34,12.77,,,
5.04E-02,1.33E-02,-102.409581,-117.308819,-112.70591,230.01,102.41,13.29,,,
5.24E-02,1.38E-02,-106.476963,-121.968069,-117.182132,239.15,106.48,13.80,,,
5.44E-02,1.43E-02,-110.544344,-126.627331,-121.658343,248.29,110.54,14.31,,,
5.64E-02,1.48E-02,-114.611726,-131.286606,-126.134541,257.42,114.61,14.82,,,
5.84E-02,1.53E-02,-118.679107,-135.945893,-130.610725,266.56,118.68,15.32,,,
6.04E-02,1.58E-02,-122.746488,-140.605194,-135.086897,275.69,122.75,15.83,,,
6.24E-02,1.63E-02,-126.813869,-145.264508,-139.563054,284.83,126.81,16.34,,,
6.44E-02,1.68E-02,-130.88125,-149.923836,-144.039198,293.96,130.88,16.84,,,
6.64E-02,1.73E-02,-134.94863,-154.583179,-148.515326,303.10,134.95,17.34,,,
6.84E-02,1.78E-02,-139.016011,-159.242537,-152.99144,312.23,139.02,17.84,,,
7.04E-02,1.83E-02,-143.083391,-163.90191,-157.467539,321.37,143.08,18.34,,,
7.24E-02,1.88E-02,-147.150771,-168.561298,-161.943621,330.50,147.15,18.84,,,
7.44E-02,1.93E-02,-151.218152,-173.220702,-166.419688,339.64,151.22,19.34,,,
7.64E-02,1.98E-02,-155.285531,-177.880123,-170.895738,348.78,155.29,19.84,,,
7.84E-02,2.03E-02,-159.352911,-182.539561,-175.371771,357.91,159.35,20.33,,,
8.04E-02,2.08E-02,-163.420291,-187.199015,-179.847787,367.05,163.42,20.83,,,
8.24E-02,2.13E-02,-167.48767,-191.858487,-184.323786,376.18,167.49,21.32,,,
8.44E-02,2.18E-02,-171.55505,-196.517977,-188.799766,385.32,171.56,21.81,,,
8.64E-02,2.23E-02,-175.622429,-201.177485,-193.275728,394.45,175.62,22.30,,,
8.84E-02,2.28E-02,-179.689808,-205.837011,-197.751672,403.59,179.69,22.79,,,
9.04E-02,2.33E-02,-183.757187,-210.496556,-202.227596,412.72,183.76,23.28,,,
9.24E-02,2.38E-02,-187.824566,-215.156121,-206.703501,421.86,187.82,23.77,,,
9.44E-02,2.43E-02,-191.891944,-219.815705,-211.179387,431.00,191.89,24.25,,,
9.64E-02,2.47E-02,-195.959323,-224.475309,-215.655252,440.13,195.96,24.74,,,
9.84E-02,2.52E-02,-200.026701,-229.134933,-220.131097,449.27,200.03,25.22,,,
0.10035625,2.57E-02,-204.09408,-233.794578,-224.606922,458.40,204.09,25.70,,,
0.10235625,2.62E-02,-208.161458,-238.454243,-229.082725,467.54,208.16,26.18,,,
0.10435625,2.67E-02,-212.228836,-243.11393,-233.558507,476.67,212.23,26.66,,,
0.10635625,2.71E-02,-216.296213,-247.773638,-238.034267,485.81,216.30,27.14,,,
0.10835625,2.76E-02,-220.363591,-252.433368,-242.510006,494.94,220.36,27.62,,,
0.11035625,2.81E-02,-224.430969,-257.093121,-246.985722,504.08,224.43,28.09,,,
0.11235625,2.86E-02,-228.498346,-261.752895,-251.461415,513.21,228.50,28.57,,,
0.11435625,2.90E-02,-232.565723,-266.412693,-255.937086,522.35,232.57,29.04,,,
0.11635625,2.95E-02,-236.633101,-271.072514,-260.412733,531.49,236.63,29.52,,,
0.11835625,3.00E-02,-240.700478,-275.732358,-264.888356,540.62,240.70,29.99,,,
0.12035625,3.05E-02,-244.767855,-280.392225,-269.363956,549.76,244.77,30.46,,,
0.12235625,3.09E-02,-248.835231,-285.052117,-273.839532,558.89,248.84,30.93,,,
0.12435625,3.14E-02,-252.902608,-289.712033,-278.315084,568.03,252.90,31.39,,,
0.12635625,3.19E-02,-256.969985,-294.371974,-282.79061,577.16,256.97,31.86,,,
0.12835625,3.23E-02,-261.037361,-299.03194,-287.266112,586.30,261.04,32.33,,,
0.13035625,3.28E-02,-265.104737,-303.69193,-291.741588,595.43,265.10,32.79,,,
0.13235625,3.33E-02,-269.172113,-308.351947,-296.217038,604.57,269.17,33.25,,,
0.13435625,3.37E-02,-273.23949,-313.011988,-300.692463,613.70,273.24,33.72,,,
0.13635625,3.42E-02,-277.306865,-317.672056,-305.167862,622.84,277.31,34.18,,,
0.13835625,3.46E-02,-281.374241,-322.332151,-309.643234,631.98,281.37,34.64,,,
0.14035625,3.51E-02,-285.441617,-326.992271,-314.11858,641.11,285.44,35.10,,,
0.14235625,3.56E-02,-289.508993,-331.652419,-318.593898,650.25,289.51,35.55,,,
0.14435625,3.60E-02,-293.576368,-336.312594,-323.06919,659.38,293.58,36.01,,,
0.14635625,3.65E-02,-297.643743,-340.972796,-327.544454,668.52,297.64,36.46,,,
0.14835625,3.69E-02,-301.711119,-345.633026,-332.01969,677.65,301.71,36.92,,,
0.15035625,3.74E-02,-305.778494,-350.293283,-336.494898,686.79,305.78,37.37,,,
0.15235625,3.78E-02,-309.845869,-354.953569,-340.970078,695.92,309.85,37.82,,,
0.15435625,3.83E-02,-313.913243,-359.613883,-345.445229,705.06,313.91,38.27,,,
0.15635625,3.87E-02,-317.980618,-364.274226,-349.920352,714.19,317.98,38.72,,,
0.15835625,3.92E-02,-322.047993,-368.934598,-354.395445,723.33,322.05,39.17,,,
0.16035625,3.96E-02,-326.115367,-373.594999,-358.87051,732.47,326.12,39.62,,,
0.16235625,4.01E-02,-330.182742,-378.255429,-363.345544,741.60,330.18,40.06,,,
0.16435625,4.05E-02,-334.250116,-382.915889,-367.820549,750.74,334.25,40.51,,,
0.16635625,4.10E-02,-338.31749,-387.576379,-372.295524,759.87,338.32,40.95,,,
0.16835625,4.14E-02,-342.384864,-392.236898,-376.770469,769.01,342.38,41.39,,,
0.17035625,4.18E-02,-346.452238,-396.897449,-381.245384,778.14,346.45,41.84,,,
0.17235625,4.23E-02,-350.519612,-401.558029,-385.720268,787.28,350.52,42.28,,,
0.17435625,4.27E-02,-354.586986,-406.218641,-390.19512,796.41,354.59,42.72,,,
0.17635625,4.32E-02,-358.65436,-410.879284,-394.669942,805.55,358.65,43.15,,,
0.17835625,4.36E-02,-362.721733,-415.539957,-399.144732,814.68,362.72,43.59,,,
0.18035625,4.40E-02,-366.789107,-420.200663,-403.619491,823.82,366.79,44.03,,,
0.18235625,4.45E-02,-370.85648,-424.8614,-408.094218,832.96,370.86,44.46,,,
0.18435625,4.49E-02,-374.923853,-429.522169,-412.568913,842.09,374.92,44.89,,,
0.18635625,4.53E-02,-378.991226,-434.18297,-417.043575,851.23,378.99,45.33,,,
0.18835625,4.58E-02,-383.058599,-438.843803,-421.518205,860.36,383.06,45.76,,,
0.19035625,4.62E-02,-387.125972,-443.504669,-425.992803,869.50,387.13,46.19,,,
0.19235625,4.66E-02,-391.193345,-448.165568,-430.467368,878.63,391.19,46.62,,,
0.19435625,4.70E-02,-395.260718,-452.826499,-434.941899,887.77,395.26,47.05,,,
0.19635625,4.75E-02,-399.328091,-457.487464,-439.416398,896.90,399.33,47.47,,,
0.19835625,4.79E-02,-403.395463,-462.148462,-443.890863,906.04,403.40,47.90,,,
0.20035625,4.83E-02,-407.462836,-466.809494,-448.365294,915.17,407.46,48.32,,,
0.20235625,4.87E-02,-411.530208,-471.470559,-452.839691,924.31,411.53,48.75,,,
0.20435625,4.92E-02,-415.59758,-476.131659,-457.314055,933.45,415.60,49.17,,,
0.20635625,4.96E-02,-419.664952,-480.792792,-461.788383,942.58,419.66,49.59,,,
0.20835625,5.00E-02,-423.732324,-485.45396,-466.262678,951.72,423.73,50.01,,,
0.21035625,5.04E-02,-427.799696,-490.115163,-470.736938,960.85,427.80,50.43,,,
0.21235625,5.09E-02,-431.867068,-494.7764,-475.211164,969.99,431.87,50.85,,,
0.21435625,5.13E-02,-435.93444,-499.437672,-479.685353,979.12,435.93,51.27,,,
0.21635625,5.17E-02,-440.001812,-504.098979,-484.159509,988.26,440.00,51.69,,,
0.21835625,5.21E-02,-444.069183,-508.760321,-488.633628,997.39,444.07,52.10,,,
0.22035625,5.25E-02,-448.136555,-513.421699,-493.107712,1006.53,448.14,52.52,,,
0.22235625,5.29E-02,-452.203926,-518.083113,-497.581761,1015.66,452.20,52.93,,,
0.22435625,5.33E-02,-456.271298,-522.744562,-502.055773,1024.80,456.27,53.34,,,
0.22635625,5.38E-02,-460.338669,-527.406047,-506.52975,1033.94,460.34,53.75,,,
0.22835625,5.42E-02,-464.40604,-532.067568,-511.00369,1043.07,464.41,54.16,,,
0.23035625,5.46E-02,-468.473411,-536.729126,-515.477594,1052.21,468.47,54.57,,,
0.23235625,5.50E-02,-472.540782,-541.39072,-519.951461,1061.34,472.54,54.98,,,
0.23435625,5.54E-02,-476.608153,-546.052351,-524.425291,1070.48,476.61,55.39,,,
0.23635625,5.58E-02,-480.675524,-550.714018,-528.899085,1079.61,480.68,55.79,,,
0.23835625,5.62E-02,-484.742895,-555.375723,-533.372842,1088.75,484.74,56.20,,,
0.24035625,5.66E-02,-488.810265,-560.037464,-537.846561,1097.88,488.81,56.60,,,
0.24235625,5.70E-02,-492.877636,-564.699243,-542.320244,1107.02,492.88,57.00,,,
0.24435625,5.74E-02,-496.945006,-569.361059,-546.793888,1116.15,496.95,57.40,,,
0.24635625,5.78E-02,-501.012377,-574.022913,-551.267495,1125.29,501.01,57.81,,,
0.24835625,5.82E-02,-505.079747,-578.684805,-555.741064,1134.43,505.08,58.21,,,
0.25035625,5.86E-02,-509.147117,-583.346734,-560.214595,1143.56,509.15,58.60,,,
0.25235625,5.90E-02,-513.214488,-588.008702,-564.688088,1152.70,513.21,59.00,,,
0.25435625,5.94E-02,-517.281858,-592.670707,-569.161543,1161.83,517.28,59.40,,,
0.25635625,5.98E-02,-521.349228,-597.332751,-573.634959,1170.97,521.35,59.79,,,
0.25835625,6.02E-02,-525.416598,-601.994834,-578.108337,1180.10,525.42,60.19,,,
0.26035625,6.06E-02,-529.483968,-606.656955,-582.581676,1189.24,529.48,60.58,,,
0.26235625,6.10E-02,-533.551337,-611.319115,-587.054976,1198.37,533.55,60.97,,,
0.26435625,6.14E-02,-537.618707,-615.981313,-591.528238,1207.51,537.62,61.37,,,
0.26635625,6.18E-02,-541.686077,-620.643551,-596.00146,1216.65,541.69,61.76,,,
0.26835625,6.21E-02,-545.753446,-625.305828,-600.474643,1225.78,545.75,62.15,,,
0.27035625,6.25E-02,-549.820816,-629.968144,-604.947787,1234.92,549.82,62.54,,,
