TIME, UY_5, FY_3, FY_4,Load, FX_2,Reaction,Deflection
2.00E-04,0.00,-0.106034962,-0.101876728,0.21,-0.978147615,0.98,0.012366161
4.00E-04,0.00,-0.212069925,-0.203753457,0.42,-1.95629523,1.96,0.024725416
7.00E-04,0.00,-0.371122371,-0.356568552,0.73,-3.42351665,3.42,0.04325136
1.15E-03,0.00,-0.60970105,-0.585791205,1.20,-5.62434894,5.62,0.071011207
1.83E-03,0.00,-0.967569117,-0.929625231,1.90,-8.92559798,8.93,0.112585702
2.84E-03,0.00,-1.50437145,-1.4453765,2.95,-13.8774743,13.88,0.174801029
4.36E-03,0.00,-2.30957611,-2.21900452,4.53,-21.3053025,21.31,0.267796115
6.36E-03,0.00,-3.3699305,-3.23777643,6.61,-31.0868344,31.09,0.389662343
8.36E-03,0.00,-4.43028213,-4.2565456,8.69,-40.8683342,40.87,0.510855186
1.04E-02,0.00,-5.49063182,-5.27531282,10.77,-50.6498111,50.65,0.631380316
1.24E-02,0.00,-6.55098155,-6.29408001,12.85,-60.431288,60.43,0.751243455
1.44E-02,0.00,-7.61133131,-7.31284716,14.92,-70.2127649,70.21,0.870450068
1.64E-02,0.00,-8.67168111,-8.33161428,17.00,-79.9942417,79.99,0.989005561
1.84E-02,0.00,-9.73203096,-9.35038135,19.08,-89.7757185,89.78,1.106915279
2.04E-02,0.00,-10.7923809,-10.3691484,21.16,-99.5571953,99.56,1.224184513
2.24E-02,0.00,-11.8527308,-11.3879153,23.24,-109.338672,109.34,1.340818493
2.44E-02,0.00,-12.9130808,-12.4066822,25.32,-119.120149,119.12,1.456822394
2.64E-02,0.00,-13.9734309,-13.4254491,27.40,-128.901626,128.90,1.572201338
2.84E-02,0.00,-15.0337811,-14.4442158,29.48,-138.683102,138.68,1.686960388
3.04E-02,0.00,-16.0941313,-15.4629825,31.56,-148.464579,148.46,1.801104555
3.24E-02,0.00,-17.1544816,-16.4817491,33.64,-158.246056,158.25,1.914638797
3.44E-02,0.00,-18.214832,-17.5005157,35.72,-168.027532,168.03,2.027568018
3.64E-02,0.00,-19.2751825,-18.5192821,37.79,-177.809009,177.81,2.139897071
3.84E-02,0.00,-20.335533,-19.5380484,39.87,-187.590485,187.59,2.251630756
