TIME, UY_5, FX_2, FY_3, FY_4,Load,Reacrion,Deflection,,,
2.00E-04,4.81E-05,0.587785231,-0.412598664,-0.396418324,0.81,-0.59,0.05,,,
4.00E-04,9.63E-05,1.17557048,-0.825197322,-0.79283664,1.62,-1.18,0.10,,,
7.00E-04,1.69E-04,2.05724833,-1.44409529,-1.38746409,2.83,-2.06,0.17,,,
1.15E-03,2.77E-04,3.37976466,-2.37244202,-2.27940504,4.65,-3.38,0.28,,,
1.83E-03,4.40E-04,5.36353687,-3.76496091,-3.61731522,7.38,-5.36,0.44,,,
2.84E-03,6.85E-04,8.33918184,-5.8537326,-5.62417375,11.48,-8.34,0.68,,,
4.36E-03,1.05E-03,12.802577,-8.98685464,-8.63442593,17.62,-12.80,1.05,,,
6.36E-03,1.54E-03,18.6801265,-13.1126931,-12.5984601,25.71,-18.68,1.54,,,
8.36E-03,2.03E-03,24.5578503,-17.2386199,-16.562579,33.80,-24.56,2.03,,,
1.04E-02,2.51E-03,30.4357241,-21.3646177,-20.5267647,41.89,-30.44,2.51,,,
1.24E-02,3.00E-03,36.3136023,-25.4906185,-24.4909496,49.98,-36.31,3.00,,,
1.44E-02,3.50E-03,42.1914757,-29.6166203,-28.4551309,58.07,-42.19,3.50,,,
1.64E-02,3.99E-03,48.069349,-33.7426248,-32.4193095,66.16,-48.07,3.99,,,
1.84E-02,4.49E-03,53.9472227,-37.8686325,-36.383485,74.25,-53.95,4.49,,,
2.04E-02,4.98E-03,59.8250968,-41.9946438,-40.3476572,82.34,-59.83,4.98,,,
2.24E-02,5.48E-03,65.7029711,-46.120659,-44.3118255,90.43,-65.70,5.48,,,
2.44E-02,5.98E-03,71.5808457,-50.2466787,-48.2759896,98.52,-71.58,5.98,,,
2.64E-02,6.49E-03,77.4587206,-54.3727031,-52.240149,106.61,-77.46,6.49,,,
2.84E-02,6.99E-03,83.3365959,-58.4987328,-56.2043033,114.70,-83.34,6.99,,,
3.04E-02,7.49E-03,89.2144714,-62.6247682,-60.1684521,122.79,-89.21,7.49,,,
3.24E-02,8.00E-03,95.0923473,-66.7508096,-64.1325951,130.88,-95.09,8.00,,-118.0478552,162.4788786
3.44E-02,8.51E-03,100.970223,-70.8768576,-68.0967316,138.97,-100.97,8.51,,,
3.64E-02,9.02E-03,106.8481,-75.0029125,-72.0608613,147.06,-106.85,9.02,,,
3.84E-02,9.53E-03,112.725977,-79.1289748,-76.0249838,155.15,-112.73,9.53,,,
4.04E-02,1.00E-02,118.603854,-83.255045,-79.9890985,163.24,-118.60,10.05,,,
4.24E-02,1.06E-02,124.481731,-87.3811236,-83.9532051,171.33,-124.48,10.56,,,
4.44E-02,1.11E-02,130.359609,-91.5072109,-87.9173031,179.42,-130.36,11.08,,,
4.64E-02,1.16E-02,136.237487,-95.6333074,-91.881392,187.51,-136.24,11.60,,,
4.84E-02,1.21E-02,142.115366,-99.7594137,-95.8454713,195.60,-142.12,12.12,,,
5.04E-02,1.26E-02,147.993244,-103.88553,-99.8095406,203.70,-147.99,12.65,,,
5.24E-02,1.32E-02,153.871124,-108.011657,-103.773599,211.79,-153.87,13.17,,,
5.44E-02,1.37E-02,159.749003,-112.137796,-107.737647,219.88,-159.75,13.70,,,
5.64E-02,1.42E-02,165.626883,-116.263946,-111.701683,227.97,-165.63,14.22,,,
5.84E-02,1.48E-02,171.504763,-120.390108,-115.665707,236.06,-171.50,14.75,,,
6.04E-02,1.53E-02,177.382644,-124.516283,-119.629719,244.15,-177.38,15.29,,,
6.24E-02,1.58E-02,183.260524,-128.642471,-123.593718,252.24,-183.26,15.82,,,
6.44E-02,1.64E-02,189.138406,-132.768673,-127.557702,260.33,-189.14,16.35,,,
6.64E-02,1.69E-02,195.016287,-136.89489,-131.521673,268.42,-195.02,16.89,,,
6.84E-02,1.74E-02,200.894169,-141.021121,-135.48563,276.51,-200.89,17.43,,,
7.04E-02,1.80E-02,206.772052,-145.147367,-139.449571,284.60,-206.77,17.97,,,
7.24E-02,1.85E-02,212.649934,-149.273629,-143.413496,292.69,-212.65,18.51,,,
7.44E-02,1.91E-02,218.527817,-153.399908,-147.377405,300.78,-218.53,19.06,,,
7.64E-02,1.96E-02,224.405701,-157.526204,-151.341298,308.87,-224.41,19.60,,,
7.84E-02,2.02E-02,230.283585,-161.652517,-155.305173,316.96,-230.28,20.15,,,
8.04E-02,2.07E-02,236.161469,-165.778848,-159.26903,325.05,-236.16,20.70,,,
8.24E-02,2.13E-02,242.039354,-169.905199,-163.232868,333.14,-242.04,21.25,,,
8.44E-02,2.18E-02,247.917239,-174.031568,-167.196687,341.23,-247.92,21.81,,,
8.64E-02,2.24E-02,253.795124,-178.157957,-171.160487,349.32,-253.80,22.36,,,
8.84E-02,2.29E-02,259.67301,-182.284367,-175.124266,357.41,-259.67,22.92,,,
9.04E-02,2.35E-02,265.550896,-186.410798,-179.088024,365.50,-265.55,23.48,,,
9.24E-02,2.40E-02,271.428783,-190.537251,-183.051761,373.59,-271.43,24.04,,,
9.44E-02,2.46E-02,277.30667,-194.663726,-187.015476,381.68,-277.31,24.60,,,
9.64E-02,2.52E-02,283.184557,-198.790224,-190.979168,389.77,-283.18,25.16,,,
9.84E-02,2.57E-02,289.062445,-202.916746,-194.942836,397.86,-289.06,25.73,,,
0.10035625,2.63E-02,294.940333,-207.043292,-198.90648,405.95,-294.94,26.30,,,
0.10235625,2.69E-02,300.818222,-211.169863,-202.8701,414.04,-300.82,26.87,,,
0.10435625,2.74E-02,306.696111,-215.296459,-206.833694,422.13,-306.70,27.44,,,
0.10635625,2.80E-02,312.574,-219.423082,-210.797263,430.22,-312.57,28.01,,,
