TIME, UY_5, FX_2, FY_3, FY_4,Load,Reaction,Deflection,,,,,
2.00E-04,4.42E-05,0.66913059,-0.379003858,-0.364140961,0.74,-0.67,0.04,,,,,
4.00E-04,8.85E-05,1.33826119,-0.75800771,-0.728281915,1.49,-1.34,0.09,,,,,
7.00E-04,1.55E-04,2.34195705,-1.32651347,-1.27449332,2.60,-2.34,0.15,,,,,
1.15E-03,2.55E-04,3.8475004,-2.1792719,-2.09381023,4.27,-3.85,0.25,,,,,
1.83E-03,4.04E-04,6.10581292,-3.45840845,-3.32278445,6.78,-6.11,0.40,,,,,
2.84E-03,6.29E-04,9.49326764,-5.37710727,-5.16623973,10.54,-9.49,0.63,,,,,
4.36E-03,9.67E-04,14.5743736,-8.25512362,-7.93139076,16.19,-14.57,0.97,,,,,
6.36E-03,1.41E-03,21.2653603,-12.045029,-11.5726667,23.62,-21.27,1.41,,,,,
8.36E-03,1.86E-03,27.95653,-15.8350131,-15.2140185,31.05,-27.96,1.86,,,,,
1.04E-02,2.31E-03,34.6478551,-19.6250595,-18.8554293,38.48,-34.65,2.31,,,,,
1.24E-02,2.76E-03,41.3391843,-23.4151084,-22.4968394,45.91,-41.34,2.76,,,,,
1.44E-02,3.22E-03,48.030509,-27.205158,-26.1382468,53.34,-48.03,3.22,,,,,
1.64E-02,3.67E-03,54.7218337,-30.9952097,-29.779652,60.77,-54.72,3.67,,,,,
1.84E-02,4.13E-03,61.4131588,-34.785264,-33.4210549,68.21,-61.41,4.13,,,,,
2.04E-02,4.59E-03,68.1044843,-38.575321,-37.0624551,75.64,-68.10,4.59,,,,,
2.24E-02,5.05E-03,74.7958101,-42.3653811,-40.7038523,83.07,-74.80,5.05,,,,,
2.44E-02,5.51E-03,81.4871361,-46.1554447,-44.3452462,90.50,-81.49,5.51,,,,,
2.64E-02,5.98E-03,88.1784626,-49.945512,-47.9866365,97.93,-88.18,5.98,,,,,
2.84E-02,6.44E-03,94.8697893,-53.7355835,-51.6280227,105.36,-94.87,6.44,,,,,
3.04E-02,6.91E-03,101.561116,-57.5256593,-55.2694047,112.80,-101.56,6.91,,,,-145.1224709,161.1747528
3.24E-02,7.38E-03,108.252444,-61.31574,-58.9107819,120.23,-108.25,7.38,,,,,
3.44E-02,7.85E-03,114.943772,-65.1058257,-62.5521542,127.66,-114.94,7.85,,,,,
3.64E-02,8.32E-03,121.6351,-68.895917,-66.193521,135.09,-121.64,8.32,,,,,
3.84E-02,8.80E-03,128.326428,-72.6860141,-69.8348822,142.52,-128.33,8.80,,,,,
4.04E-02,9.28E-03,135.017757,-76.4761174,-73.4762372,149.95,-135.02,9.28,,,,,
4.24E-02,9.75E-03,141.709086,-80.2662272,-77.1175859,157.38,-141.71,9.75,,,,,
4.44E-02,1.02E-02,148.400416,-84.056344,-80.7589277,164.82,-148.40,10.24,,,,,
4.64E-02,1.07E-02,155.091745,-87.8464681,-84.4002623,172.25,-155.09,10.72,,,,,
4.84E-02,1.12E-02,161.783076,-91.6365999,-88.0415893,179.68,-161.78,11.20,,,,,
5.04E-02,1.17E-02,168.474406,-95.4267398,-91.6829083,187.11,-168.47,11.69,,,,,
5.24E-02,1.22E-02,175.165737,-99.2168882,-95.3242191,194.54,-175.17,12.18,,,,,
5.44E-02,1.27E-02,181.857069,-103.007045,-98.965521,201.97,-181.86,12.67,,,,,
5.64E-02,1.32E-02,188.5484,-106.797212,-102.606814,209.40,-188.55,13.16,,,,,
5.84E-02,1.37E-02,195.239733,-110.587388,-106.248097,216.84,-195.24,13.65,,,,,
6.04E-02,1.41E-02,201.931065,-114.377575,-109.88937,224.27,-201.93,14.15,,,,,
6.24E-02,1.46E-02,208.622398,-118.167771,-113.530633,231.70,-208.62,14.65,,,,,
6.44E-02,1.51E-02,215.313732,-121.957979,-117.171885,239.13,-215.31,15.15,,,,,
6.64E-02,1.56E-02,222.005065,-125.748198,-120.813126,246.56,-222.01,15.65,,,,,
6.84E-02,1.62E-02,228.6964,-129.538429,-124.454355,253.99,-228.70,16.15,,,,,
7.04E-02,1.67E-02,235.387734,-133.328673,-128.095572,261.42,-235.39,16.66,,,,,
7.24E-02,1.72E-02,242.079069,-137.118929,-131.736776,268.86,-242.08,17.16,,,,,
7.44E-02,1.77E-02,248.770405,-140.909198,-135.377967,276.29,-248.77,17.67,,,,,
7.64E-02,1.82E-02,255.461741,-144.699481,-139.019145,283.72,-255.46,18.18,,,,,
7.84E-02,1.87E-02,262.153077,-148.489778,-142.660309,291.15,-262.15,18.70,,,,,
8.04E-02,1.92E-02,268.844414,-152.28009,-146.301458,298.58,-268.84,19.21,,,,,
8.24E-02,1.97E-02,275.535751,-156.070416,-149.942592,306.01,-275.54,19.73,,,,,
8.44E-02,2.03E-02,282.227089,-159.860758,-153.583711,313.44,-282.23,20.25,,,,,
8.64E-02,2.08E-02,288.918427,-163.651117,-157.224814,320.88,-288.92,20.77,,,,,
8.84E-02,2.13E-02,295.609766,-167.441491,-160.865901,328.31,-295.61,21.29,,,,,
9.04E-02,2.18E-02,302.301105,-171.231883,-164.50697,335.74,-302.30,21.82,,,,,
9.24E-02,2.23E-02,308.992445,-175.022293,-168.148022,343.17,-308.99,22.35,,,,,
9.44E-02,2.29E-02,315.683785,-178.81272,-171.789057,350.60,-315.68,22.88,,,,,
9.64E-02,2.34E-02,322.375125,-182.603167,-175.430072,358.03,-322.38,23.41,,,,,
