TIME, UY_5, FX_2, FY_3, FY_4,Load,Reaction,Deflection,,,,
2.00E-04,6.22E-06,0.994521895,-5.33E-02,-5.12E-02,0.10,-0.99,0.01,,,,
4.00E-04,1.24E-05,1.98904374,-0.106619032,-0.102437894,0.21,-1.99,0.01,,,,
7.00E-04,2.18E-05,3.48082664,-0.186583307,-0.179266314,0.37,-3.48,0.02,,,,
1.15E-03,3.58E-05,5.71850088,-0.306529717,-0.294508944,0.60,-5.72,0.04,,,,
1.83E-03,5.69E-05,9.07501212,-0.486449327,-0.467372883,0.95,-9.08,0.06,,,,
2.84E-03,8.86E-05,14.1097784,-0.756328717,-0.726668765,1.48,-14.11,0.09,,,,
4.36E-03,1.36E-04,21.6619247,-1.16114766,-1.11561245,2.28,-21.66,0.14,,,,
6.36E-03,1.99E-04,31.6071303,-1.69424224,-1.62780134,3.32,-31.61,0.20,,,,
8.36E-03,2.63E-04,41.5523438,-2.22733717,-2.13999056,4.37,-41.55,0.26,,,,
1.04E-02,3.27E-04,51.497563,-2.76043234,-2.65218002,5.41,-51.50,0.33,,,,
1.24E-02,3.91E-04,61.4427823,-3.29352752,-3.16436948,6.46,-61.44,0.39,,,,
1.44E-02,4.56E-04,71.3880016,-3.8266227,-3.67655894,7.50,-71.39,0.46,,,,
1.64E-02,5.21E-04,81.3332208,-4.35971789,-4.18874838,8.55,-81.33,0.52,,,,
1.84E-02,5.86E-04,91.2784401,-4.89281308,-4.70093782,9.59,-91.28,0.59,,,,
2.04E-02,6.52E-04,101.223659,-5.42590828,-5.21312725,10.64,-101.22,0.65,,,,
2.24E-02,7.18E-04,111.168879,-5.95900349,-5.72531667,11.68,-111.17,0.72,,,,
2.44E-02,7.84E-04,121.114098,-6.49209871,-6.23750609,12.73,-121.11,0.78,,,,
2.64E-02,8.51E-04,131.059317,-7.02519395,-6.74969548,13.77,-131.06,0.85,,,,
2.84E-02,9.19E-04,141.004537,-7.55828919,-7.26188487,14.82,-141.00,0.92,,,,
3.04E-02,9.86E-04,150.949756,-8.09138445,-7.77407425,15.87,-150.95,0.99,,,,
3.24E-02,1.05E-03,160.894975,-8.62447972,-8.28626361,16.91,-160.89,1.05,,,,
3.44E-02,1.12E-03,170.840195,-9.157575,-8.79845295,17.96,-170.84,1.12,,,,
3.64E-02,1.19E-03,180.785414,-9.6906703,-9.31064229,19.00,-180.79,1.19,,,,
3.84E-02,1.26E-03,190.730633,-10.2237656,-9.8228316,20.05,-190.73,1.26,,,,
4.04E-02,1.33E-03,200.675853,-10.756861,-10.3350209,21.09,-200.68,1.33,,,,
4.24E-02,1.40E-03,210.621072,-11.2899563,-10.8472102,22.14,-210.62,1.40,,,,
4.44E-02,1.47E-03,220.566292,-11.8230517,-11.3593994,23.18,-220.57,1.47,,,,
4.64E-02,1.54E-03,230.511511,-12.3561471,-11.8715887,24.23,-230.51,1.54,,,,
4.84E-02,1.61E-03,240.456731,-12.8892425,-12.3837779,25.27,-240.46,1.61,,,,
5.04E-02,1.69E-03,250.40195,-13.422338,-12.8959671,26.32,-250.40,1.69,,,,
5.24E-02,1.76E-03,260.347169,-13.9554334,-13.4081562,27.36,-260.35,1.76,,,,
5.44E-02,1.83E-03,270.292389,-14.4885289,-13.9203453,28.41,-270.29,1.83,,,,
5.64E-02,1.90E-03,280.237608,-15.0216244,-14.4325344,29.45,-280.24,1.90,,,,
5.84E-02,1.98E-03,290.182828,-15.55472,-14.9447235,30.50,-290.18,1.98,,,,
6.04E-02,2.05E-03,300.128047,-16.0878156,-15.4569126,31.54,-300.13,2.05,,,,
6.24E-02,2.13E-03,310.073267,-16.6209112,-15.9691016,32.59,-310.07,2.13,,,,
6.44E-02,2.20E-03,320.018486,-17.1540069,-16.4812906,33.64,-320.02,2.20,,,,
6.64E-02,2.28E-03,329.963706,-17.6871025,-16.9934795,34.68,-329.96,2.28,,,,
6.84E-02,2.35E-03,339.908926,-18.2201983,-17.5056684,35.73,-339.91,2.35,,,,
7.04E-02,2.43E-03,349.854145,-18.753294,-18.0178573,36.77,-349.85,2.43,,,,
7.24E-02,2.51E-03,359.799365,-19.2863898,-18.5300461,37.82,-359.80,2.51,,,,
7.44E-02,2.59E-03,369.744584,-19.8194857,-19.0422349,38.86,-369.74,2.59,,,,
7.64E-02,2.66E-03,379.689804,-20.3525816,-19.5544236,39.91,-379.69,2.66,,,,
7.84E-02,2.74E-03,389.635024,-20.8856775,-20.0666123,40.95,-389.64,2.74,,,,
8.04E-02,2.82E-03,399.580243,-21.4187735,-20.5788009,42.00,-399.58,2.82,,,,
8.24E-02,2.90E-03,409.525463,-21.9518695,-21.0909895,43.04,-409.53,2.90,,,,
8.44E-02,2.98E-03,419.470683,-22.4849656,-21.6031781,44.09,-419.47,2.98,,,,
8.64E-02,3.06E-03,429.415902,-23.0180617,-22.1153665,45.13,-429.42,3.06,,,,
8.84E-02,3.14E-03,439.361122,-23.5511579,-22.627555,46.18,-439.36,3.14,,,,
9.04E-02,3.22E-03,449.306342,-24.0842542,-23.1397434,47.22,-449.31,3.22,,,,
9.24E-02,3.31E-03,459.251562,-24.6173505,-23.6519317,48.27,-459.25,3.31,,,,
9.44E-02,3.39E-03,469.196781,-25.1504468,-24.1641199,49.31,-469.20,3.39,,,,
9.64E-02,3.47E-03,479.142001,-25.6835433,-24.6763081,50.36,-479.14,3.47,,,,
9.84E-02,3.56E-03,489.087221,-26.2166397,-25.1884962,51.41,-489.09,3.56,,,,
0.10035625,3.64E-03,499.032441,-26.7497363,-25.7006843,52.45,-499.03,3.64,,,,
0.10235625,3.73E-03,508.977661,-27.2828329,-26.2128723,53.50,-508.98,3.73,,,,
0.10435625,3.81E-03,518.922881,-27.8159296,-26.7250602,54.54,-518.92,3.81,,,,
0.10635625,3.90E-03,528.868101,-28.3490264,-27.2372481,55.59,-528.87,3.90,,,,
0.10835625,3.98E-03,538.813321,-28.8821232,-27.7494358,56.63,-538.81,3.98,,,,
0.11035625,4.07E-03,548.75854,-29.4152201,-28.2616235,57.68,-548.76,4.07,,,,
0.11235625,4.16E-03,558.70376,-29.9483171,-28.7738111,58.72,-558.70,4.16,,,,
0.11435625,4.25E-03,568.64898,-30.4814142,-29.2859987,59.77,-568.65,4.25,,,,
0.11635625,4.34E-03,578.5942,-31.0145114,-29.7981861,60.81,-578.59,4.34,,,,
0.11835625,4.43E-03,588.53942,-31.5476086,-30.3103735,61.86,-588.54,4.43,,,,
0.12035625,4.52E-03,598.484641,-32.080706,-30.8225607,62.90,-598.48,4.52,,,,
0.12235625,4.61E-03,608.429861,-32.6138034,-31.3347479,63.95,-608.43,4.61,,,,
0.12435625,4.70E-03,618.375081,-33.146901,-31.8469349,64.99,-618.38,4.70,,,,
0.12635625,4.79E-03,628.320301,-33.6799986,-32.3591219,66.04,-628.32,4.79,,,,
0.12835625,4.88E-03,638.265521,-34.2130963,-32.8713087,67.08,-638.27,4.88,,,,
0.13035625,4.98E-03,648.210741,-34.7461942,-33.3834955,68.13,-648.21,4.98,,,,
0.13235625,5.07E-03,658.155961,-35.2792921,-33.8956822,69.17,-658.16,5.07,,,,
0.13435625,5.17E-03,668.101182,-35.8123902,-34.4078687,70.22,-668.10,5.17,,,,
0.13635625,5.26E-03,678.046402,-36.3454884,-34.9200551,71.27,-678.05,5.26,,,,
0.13835625,5.36E-03,687.991622,-36.8785866,-35.4322414,72.31,-687.99,5.36,,,,
0.14035625,5.45E-03,697.936843,-37.4116851,-35.9444275,73.36,-697.94,5.45,,,,
0.14235625,5.55E-03,707.882063,-37.9447836,-36.4566136,74.40,-707.88,5.55,,,,
0.14435625,5.65E-03,717.827283,-38.4778823,-36.9687995,75.45,-717.83,5.65,,,,
0.14635625,5.75E-03,727.772504,-39.010981,-37.4809853,76.49,-727.77,5.75,,,,
0.14835625,5.85E-03,737.717724,-39.54408,-37.993171,77.54,-737.72,5.85,,,,
0.15035625,5.95E-03,747.662945,-40.077179,-38.5053564,78.58,-747.66,5.95,,,,
0.15235625,6.05E-03,757.608165,-40.6102782,-39.0175418,79.63,-757.61,6.05,,,,
0.15435625,6.15E-03,767.553386,-41.1433776,-39.529727,80.67,-767.55,6.15,,,,
0.15635625,6.25E-03,777.498606,-41.6764771,-40.0419121,81.72,-777.50,6.25,,,,
0.15835625,6.36E-03,787.443827,-42.2095768,-40.554097,82.76,-787.44,6.36,,,,
0.16035625,6.46E-03,797.389047,-42.7426766,-41.0662817,83.81,-797.39,6.46,,,,
0.16235625,6.57E-03,807.334268,-43.2757766,-41.5784663,84.85,-807.33,6.57,,,,
0.16435625,6.67E-03,817.279489,-43.8088767,-42.0906507,85.90,-817.28,6.67,,,,
0.16635625,6.78E-03,827.22471,-44.341977,-42.6028349,86.94,-827.22,6.78,,,,
0.16835625,6.89E-03,837.16993,-44.8750775,-43.115019,87.99,-837.17,6.89,,,,
0.17035625,6.99E-03,847.115151,-45.4081782,-43.6272029,89.04,-847.12,6.99,,,,
0.17235625,7.10E-03,857.060372,-45.941279,-44.1393866,90.08,-857.06,7.10,,,,
0.17435625,7.21E-03,867.005593,-46.4743801,-44.65157,91.13,-867.01,7.21,,,,
0.17635625,7.32E-03,876.950814,-47.0074813,-45.1637533,92.17,-876.95,7.32,,,,
0.17835625,7.43E-03,886.896035,-47.5405827,-45.6759364,93.22,-886.90,7.43,,,,
0.18035625,7.55E-03,896.841256,-48.0736844,-46.1881192,94.26,-896.84,7.55,,,,
0.18235625,7.66E-03,906.786477,-48.6067862,-46.7003019,95.31,-906.79,7.66,,,,
0.18435625,7.77E-03,916.731698,-49.1398883,-47.2124844,96.35,-916.73,7.77,,,,
0.18635625,7.89E-03,926.676919,-49.6729906,-47.7246666,97.40,-926.68,7.89,,,,
0.18835625,8.00E-03,936.62214,-50.2060931,-48.2368485,98.44,-936.62,8.00,,,,
0.19035625,8.12E-03,946.567362,-50.7391958,-48.7490303,99.49,-946.57,8.12,,,,
0.19235625,8.24E-03,956.512583,-51.2722988,-49.2612117,100.53,-956.51,8.24,,,,
0.19435625,8.36E-03,966.457804,-51.805402,-49.773393,101.58,-966.46,8.36,,,,
0.19635625,8.48E-03,976.403025,-52.3385055,-50.285574,102.62,-976.40,8.48,,,,
0.19835625,8.60E-03,986.348247,-52.8716093,-50.7977547,103.67,-986.35,8.60,,,,
0.20035625,8.72E-03,996.293468,-53.4047133,-51.3099352,104.71,-996.29,8.72,,,,
0.20235625,8.84E-03,1006.23869,-53.9378175,-51.8221154,105.76,-1006.24,8.84,,,,
0.20435625,8.96E-03,1016.18391,-54.4709221,-52.3342952,106.81,-1016.18,8.96,,,,
0.20635625,9.09E-03,1026.12913,-55.0040269,-52.8464748,107.85,-1026.13,9.09,,,,
0.20835625,9.21E-03,1036.07435,-55.537132,-53.3586541,108.90,-1036.07,9.21,,,,
0.21035625,9.34E-03,1046.01958,-56.0702374,-53.8708331,109.94,-1046.02,9.34,,,,
0.21235625,9.47E-03,1055.9648,-56.6033431,-54.3830118,110.99,-1055.96,9.47,,,,
0.21435625,9.60E-03,1065.91002,-57.1364492,-54.8951902,112.03,-1065.91,9.60,,,,
0.21635625,9.72E-03,1075.85524,-57.6695555,-55.4073682,113.08,-1075.86,9.72,,,,
0.21835625,9.86E-03,1085.80046,-58.2026622,-55.9195458,114.12,-1085.80,9.86,,,,
0.22035625,9.99E-03,1095.74569,-58.7357692,-56.4317232,115.17,-1095.75,9.99,,,,
0.22235625,1.01E-02,1105.69091,-59.2688766,-56.9439001,116.21,-1105.69,10.12,,,-1096.720813,115.2699819
0.22435625,1.03E-02,1115.63613,-59.8019843,-57.4560768,117.26,-1115.64,10.25,,,,
0.22635625,1.04E-02,1125.58135,-60.3350924,-57.9682531,118.30,-1125.58,10.39,,,,
0.22835625,1.05E-02,1135.52657,-60.8682009,-58.4804289,119.35,-1135.53,10.52,,,,
0.23035625,1.07E-02,1145.4718,-61.4013097,-58.9926043,120.39,-1145.47,10.66,,,,
0.23235625,1.08E-02,1155.41702,-61.9344189,-59.5047794,121.44,-1155.42,10.80,,,,
0.23435625,1.09E-02,1165.36224,-62.4675286,-60.016954,122.48,-1165.36,10.94,,,,
0.23635625,1.11E-02,1175.30746,-63.0006386,-60.5291282,123.53,-1175.31,11.08,,,,
0.23835625,1.12E-02,1185.25269,-63.5337491,-61.041302,124.58,-1185.25,11.22,,,,
0.24035625,1.14E-02,1195.19791,-64.06686,-61.5534753,125.62,-1195.20,11.37,,,,
0.24235625,1.15E-02,1205.14313,-64.5999713,-62.0656481,126.67,-1205.14,11.51,,,,
0.24435625,1.17E-02,1215.08835,-65.1330831,-62.5778206,127.71,-1215.09,11.66,,,,
0.24635625,1.18E-02,1225.03358,-65.6661953,-63.0899925,128.76,-1225.03,11.80,,,,
0.24835625,1.20E-02,1234.9788,-66.1993081,-63.6021639,129.80,-1234.98,11.95,,,,
0.25035625,1.21E-02,1244.92402,-66.7324213,-64.1143348,130.85,-1244.92,12.10,,,,
0.25235625,1.23E-02,1254.86924,-67.265535,-64.6265052,131.89,-1254.87,12.25,,,,
0.25435625,1.24E-02,1264.81447,-67.7986492,-65.138675,132.94,-1264.81,12.41,,,,
0.25635625,1.26E-02,1274.75969,-68.331764,-65.6508443,133.98,-1274.76,12.56,,,,
0.25835625,1.27E-02,1284.70491,-68.8648793,-66.1630131,135.03,-1284.70,12.72,,,,
0.26035625,1.29E-02,1294.65014,-69.3979951,-66.6751812,136.07,-1294.65,12.87,,,,
0.26235625,1.30E-02,1304.59536,-69.9311115,-67.1873488,137.12,-1304.60,13.03,,,,
0.26435625,1.32E-02,1314.54058,-70.4642285,-67.6995157,138.16,-1314.54,13.19,,,,
0.26635625,1.34E-02,1324.48581,-70.9973461,-68.2116821,139.21,-1324.49,13.35,,,,
0.26835625,1.35E-02,1334.43103,-71.5304643,-68.7238478,140.25,-1334.43,13.51,,,,
0.27035625,1.37E-02,1344.37625,-72.0635831,-69.2360129,141.30,-1344.38,13.68,,,,
0.27235625,1.38E-02,1354.32148,-72.5967026,-69.7481772,142.34,-1354.32,13.84,,,,
0.27435625,1.40E-02,1364.2667,-73.1298227,-70.2603409,143.39,-1364.27,14.01,,,,
0.27635625,1.42E-02,1374.21192,-73.6629435,-70.7725039,144.44,-1374.21,14.18,,,,
0.27835625,1.43E-02,1384.15715,-74.196065,-71.2846662,145.48,-1384.16,14.35,,,,
0.28035625,1.45E-02,1394.10237,-74.7291872,-71.7968277,146.53,-1394.10,14.52,,,,
0.28235625,1.47E-02,1404.04759,-75.2623101,-72.3089884,147.57,-1404.05,14.69,,,,
0.28435625,1.49E-02,1413.99282,-75.7954337,-72.8211484,148.62,-1413.99,14.87,,,,
0.28635625,1.50E-02,1423.93804,-76.3285581,-73.3333076,149.66,-1423.94,15.05,,,,
0.28835625,1.52E-02,1433.88327,-76.8616833,-73.845466,150.71,-1433.88,15.22,,,,
0.29035625,1.54E-02,1443.82849,-77.3948094,-74.3576234,151.75,-1443.83,15.40,,,,
0.29235625,1.56E-02,1453.77371,-77.9279362,-74.86978,152.80,-1453.77,15.59,,,,
0.29435625,1.58E-02,1463.71894,-78.4610638,-75.3819359,153.84,-1463.72,15.77,,,,
0.29635625,1.60E-02,1473.66416,-78.9941924,-75.8940907,154.89,-1473.66,15.96,,,,
0.29835625,1.61E-02,1483.60939,-79.5273218,-76.4062445,155.93,-1483.61,16.14,,,,
