TIME, UY_5, FX_2, FY_3, FY_4,Load,Reaction,Deflection
2.00E-04,1.84E-05,-0.951056624,-0.157598667,-0.151418327,0.31,0.95,0.02
4.00E-04,3.67E-05,-1.90211307,-0.315197338,-0.302836658,0.62,1.90,0.04
7.00E-04,6.43E-05,-3.32869792,-0.551595347,-0.529964157,1.08,3.33,0.06
1.15E-03,1.06E-04,-5.46857547,-0.906192396,-0.870655438,1.78,5.47,0.11
1.83E-03,1.67E-04,-8.67839307,-1.43808812,-1.38169251,2.82,8.68,0.17
2.84E-03,2.60E-04,-13.4931254,-2.23593247,-2.14824885,4.38,13.49,0.26
4.36E-03,3.98E-04,-20.7152525,-3.43270268,-3.29808695,6.73,20.72,0.40
6.36E-03,5.79E-04,-30.2259355,-5.0087046,-4.81228503,9.82,30.23,0.58
8.36E-03,7.60E-04,-39.7365513,-6.58469776,-6.32647438,12.91,39.74,0.76
1.04E-02,9.39E-04,-49.2471185,-8.1606847,-7.84065746,16.00,49.25,0.94
1.24E-02,1.12E-03,-58.7576855,-9.73667172,-9.35484044,19.09,58.76,1.12
1.44E-02,1.29E-03,-68.2682527,-11.3126589,-10.8690233,22.18,68.27,1.29
1.64E-02,1.47E-03,-77.7788199,-12.8886462,-12.3832061,25.27,77.78,1.47
1.84E-02,1.65E-03,-87.289387,-14.4646336,-13.8973887,28.36,87.29,1.65
2.04E-02,1.82E-03,-96.799954,-16.0406212,-15.4115711,31.45,96.80,1.82
2.24E-02,1.99E-03,-106.310521,-17.616609,-16.9257533,34.54,106.31,1.99
2.44E-02,2.17E-03,-115.821088,-19.192597,-18.4399354,37.63,115.82,2.17
2.64E-02,2.34E-03,-125.331655,-20.7685852,-19.9541172,40.72,125.33,2.34
2.84E-02,2.51E-03,-134.842222,-22.3445737,-21.4682988,43.81,134.84,2.51
3.04E-02,2.68E-03,-144.352788,-23.9205624,-22.9824801,46.90,144.35,2.68
3.24E-02,2.85E-03,-153.863355,-25.4965513,-24.4966612,49.99,153.86,2.85
3.44E-02,3.02E-03,-163.373922,-27.0725406,-26.010842,53.08,163.37,3.02
3.64E-02,3.18E-03,-172.884488,-28.6485301,-27.5250225,56.17,172.88,3.18
3.84E-02,3.35E-03,-182.395055,-30.2245199,-29.0392027,59.26,182.40,3.35
4.04E-02,3.52E-03,-191.905622,-31.80051,-30.5533826,62.35,191.91,3.52
4.24E-02,3.68E-03,-201.416188,-33.3765005,-32.0675622,65.44,201.42,3.68
4.44E-02,3.85E-03,-210.926755,-34.9524913,-33.5817413,68.53,210.93,3.85
4.64E-02,4.01E-03,-220.437321,-36.5284825,-35.0959202,71.62,220.44,4.01
4.84E-02,4.17E-03,-229.947887,-38.104474,-36.6100987,74.71,229.95,4.17
5.04E-02,4.33E-03,-239.458454,-39.680466,-38.1242767,77.80,239.46,4.33
5.24E-02,4.49E-03,-248.96902,-41.2564583,-39.6384544,80.89,248.97,4.49
5.44E-02,4.65E-03,-258.479586,-42.832451,-41.1526317,83.99,258.48,4.65
