TIME, UY_5, FY_3, FY_4, FX_2,Reaction,Load,Deflection,,,,,,
2.00E-04,2.42E-05,-0.207435688,-0.199300955,-0.913545463,0.91,0.41,0.02,,,,,,
4.00E-04,4.84E-05,-0.414871385,-0.398601919,-1.82709096,1.83,0.81,0.05,,,,,,
7.00E-04,8.46E-05,-0.726024938,-0.697553371,-3.1974093,3.20,1.42,0.08,,,,,,
1.15E-03,1.39E-04,-1.19275534,-1.14598062,-5.2528872,5.25,2.34,0.14,,,,,,
1.83E-03,2.20E-04,-1.89285129,-1.81862183,-8.33610614,8.34,3.71,0.22,,,,,,
2.84E-03,3.42E-04,-2.94299688,-2.82758524,-12.9609441,12.96,5.77,0.34,,,,,,
4.36E-03,5.24E-04,-4.51822336,-4.34103825,-19.8982473,19.90,8.86,0.52,,,,,,
6.36E-03,7.63E-04,-6.59261375,-6.33408032,-29.0338924,29.03,12.93,0.76,,,,,,
8.36E-03,1.00E-03,-8.66698504,-8.32710337,-38.1694302,38.17,16.99,1.00,,,,,,
1.04E-02,1.24E-03,-10.7413426,-10.3201126,-47.3048885,47.30,21.06,1.24,,,,,,
1.24E-02,1.47E-03,-12.8157004,-12.3131215,-56.4403463,56.44,25.13,1.47,,,,,,
1.44E-02,1.71E-03,-14.8900584,-14.3061302,-65.5758047,65.58,29.20,1.71,,,,,,
1.64E-02,1.94E-03,-16.9644168,-16.2991387,-74.711263,74.71,33.26,1.94,,,,,,
1.84E-02,2.17E-03,-19.0387755,-18.2921468,-83.8467212,83.85,37.33,2.17,,,,,,
2.04E-02,2.40E-03,-21.1131347,-20.2851544,-92.9821793,92.98,41.40,2.40,,,,,,
2.24E-02,2.63E-03,-23.1874942,-22.2781617,-102.117637,102.12,45.47,2.63,,,,,,
2.44E-02,2.86E-03,-25.2618542,-24.2711685,-111.253095,111.25,49.53,2.86,,,,,,
2.64E-02,3.08E-03,-27.3362147,-26.2641748,-120.388553,120.39,53.60,3.08,,,,,,
2.84E-02,3.31E-03,-29.4105757,-28.2571806,-129.524011,129.52,57.67,3.31,,,,,,
3.04E-02,3.53E-03,-31.4849372,-30.2501858,-138.659468,138.66,61.74,3.53,,,,,,
3.24E-02,3.76E-03,-33.5592994,-32.2431904,-147.794926,147.79,65.80,3.76,,,,,,
3.44E-02,3.98E-03,-35.6336622,-34.2361944,-156.930383,156.93,69.87,3.98,,,,,,
3.64E-02,4.20E-03,-37.7080257,-36.2291977,-166.065841,166.07,73.94,4.20,,,,,,
3.84E-02,4.42E-03,-39.7823898,-38.2222002,-175.201298,175.20,78.00,4.42,,,,,,
4.04E-02,4.64E-03,-41.8567547,-40.2152021,-184.336755,184.34,82.07,4.64,,,,,,
4.24E-02,4.86E-03,-43.9311204,-42.2082032,-193.472213,193.47,86.14,4.86,,,,,,
4.44E-02,5.07E-03,-46.0054868,-44.2012035,-202.60767,202.61,90.21,5.07,,,,,,
4.64E-02,5.29E-03,-48.0798541,-46.1942029,-211.743127,211.74,94.27,5.29,,,,,,
4.84E-02,5.50E-03,-50.1542222,-48.1872016,-220.878583,220.88,98.34,5.50,,,,,,
5.04E-02,5.72E-03,-52.2285912,-50.1801992,-230.01404,230.01,102.41,5.72,,,,,,
5.24E-02,5.93E-03,-54.3029611,-52.1731961,-239.149497,239.15,106.48,5.93,,,,,,
5.44E-02,6.14E-03,-56.377332,-54.1661919,-248.284954,248.28,110.54,6.14,,,,,,
5.64E-02,6.35E-03,-58.4517038,-56.1591868,-257.42041,257.42,114.61,6.35,,,,,,
5.84E-02,6.56E-03,-60.5260766,-58.1521807,-266.555867,266.56,118.68,6.56,,,,,,
6.04E-02,6.77E-03,-62.6004504,-60.1451736,-275.691323,275.69,122.75,6.77,,,,,,
6.24E-02,6.98E-03,-64.6748252,-62.1381654,-284.82678,284.83,126.81,6.98,,,,,,
6.44E-02,7.18E-03,-66.7492011,-64.1311562,-293.962236,293.96,130.88,7.18,,,,,,
6.64E-02,7.39E-03,-68.8235781,-66.1241458,-303.097693,303.10,134.95,7.39,,,,,,
6.84E-02,7.59E-03,-70.8979562,-68.1171344,-312.233149,312.23,139.02,7.59,,,,,,
7.04E-02,7.80E-03,-72.9723355,-70.1101218,-321.368605,321.37,143.08,7.80,,,,,,
7.24E-02,8.00E-03,-75.0467159,-72.103108,-330.504061,330.50,147.15,8.00,,,,,,
7.44E-02,8.20E-03,-77.1210975,-74.0960931,-339.639517,339.64,151.22,8.20,,,,,,
7.64E-02,8.40E-03,-79.1954803,-76.0890769,-348.774973,348.77,155.28,8.40,,,,,,
7.84E-02,8.60E-03,-81.2698644,-78.0820595,-357.910429,357.91,159.35,8.60,,,,,,
8.04E-02,8.80E-03,-83.3442497,-80.0750409,-367.045885,367.05,163.42,8.80,,,,,,
8.24E-02,9.00E-03,-85.4186362,-82.0680209,-376.181341,376.18,167.49,9.00,,,,,,
8.44E-02,9.19E-03,-87.4930241,-84.0609997,-385.316797,385.32,171.55,9.19,,,,,,
8.64E-02,9.39E-03,-89.5674132,-86.0539771,-394.452252,394.45,175.62,9.39,,,,,,
8.84E-02,9.58E-03,-91.6418037,-88.0469533,-403.587708,403.59,179.69,9.58,,,,,,
9.04E-02,9.78E-03,-93.7161955,-90.039928,-412.723164,412.72,183.76,9.78,,,,,,
9.24E-02,9.97E-03,-95.7905888,-92.0329014,-421.858619,421.86,187.82,9.97,,,,,423.2714141,188.45
9.44E-02,1.02E-02,-97.8649833,-94.0258734,-430.994075,430.99,191.89,10.16,,,,,,
9.64E-02,1.04E-02,-99.9393793,-96.018844,-440.12953,440.13,195.96,10.35,,,,,,
9.84E-02,1.05E-02,-102.013777,-98.0118132,-449.264986,449.26,200.03,10.54,,,,,,
0.10035625,1.07E-02,-104.088176,-100.004781,-458.400441,458.40,204.09,10.73,,,,,,
0.10235625,1.09E-02,-106.162576,-101.997747,-467.535896,467.54,208.16,10.92,,,,,,
0.10435625,1.11E-02,-108.236978,-103.990712,-476.671352,476.67,212.23,11.11,,,,,,
0.10635625,1.13E-02,-110.311381,-105.983675,-485.806807,485.81,216.30,11.30,,,,,,
0.10835625,1.15E-02,-112.385786,-107.976637,-494.942262,494.94,220.36,11.48,,,,,,
0.11035625,1.17E-02,-114.460192,-109.969597,-504.077717,504.08,224.43,11.67,,,,,,
0.11235625,1.19E-02,-116.5346,-111.962556,-513.213172,513.21,228.50,11.85,,,,,,
0.11435625,1.20E-02,-118.609009,-113.955513,-522.348628,522.35,232.56,12.04,,,,,,
0.11635625,1.22E-02,-120.68342,-115.948468,-531.484083,531.48,236.63,12.22,,,,,,
0.11835625,1.24E-02,-122.757833,-117.941422,-540.619538,540.62,240.70,12.40,,,,,,
0.12035625,1.26E-02,-124.832247,-119.934375,-549.754993,549.75,244.77,12.58,,,,,,
0.12235625,1.28E-02,-126.906663,-121.927326,-558.890448,558.89,248.83,12.76,,,,,,
0.12435625,1.29E-02,-128.98108,-123.920275,-568.025903,568.03,252.90,12.94,,,,,,
0.12635625,1.31E-02,-131.055499,-125.913222,-577.161357,577.16,256.97,13.12,,,,,,
0.12835625,1.33E-02,-133.12992,-127.906168,-586.296812,586.30,261.04,13.30,,,,,,
0.13035625,1.35E-02,-135.204342,-129.899112,-595.432267,595.43,265.10,13.47,,,,,,
0.13235625,1.36E-02,-137.278766,-131.892055,-604.567722,604.57,269.17,13.65,,,,,,
0.13435625,1.38E-02,-139.353192,-133.884995,-613.703177,613.70,273.24,13.83,,,,,,
0.13635625,1.40E-02,-141.427619,-135.877935,-622.838631,622.84,277.31,14.00,,,,,,
0.13835625,1.42E-02,-143.502048,-137.870872,-631.974086,631.97,281.37,14.17,,,,,,
0.14035625,1.43E-02,-145.576479,-139.863808,-641.109541,641.11,285.44,14.35,,,,,,
0.14235625,1.45E-02,-147.650912,-141.856742,-650.244995,650.24,289.51,14.52,,,,,,
0.14435625,1.47E-02,-149.725346,-143.849674,-659.38045,659.38,293.58,14.69,,,,,,
0.14635625,1.49E-02,-151.799782,-145.842604,-668.515904,668.52,297.64,14.86,,,,,,
0.14835625,1.50E-02,-153.87422,-147.835533,-677.651359,677.65,301.71,15.03,,,,,,
0.15035625,1.52E-02,-155.948659,-149.82846,-686.786814,686.79,305.78,15.20,,,,,,
