TIME, UY_5, FY_4, FY_3, FX_2,Reaction,Load,Deflection,,,,
2.00E-04,2.97E-05,-0.244999999,-0.255,-0.866025417,0.87,0.50,0.03,,,,
4.00E-04,5.95E-05,-0.490000014,-0.510000015,-1.73205088,1.73,1.00,0.06,,,,
7.00E-04,1.04E-04,-0.857500049,-0.892500051,-3.03108917,3.03,1.75,0.10,,,,
1.15E-03,1.71E-04,-1.40875023,-1.46625024,-4.97964722,4.98,2.88,0.17,,,,
1.83E-03,2.71E-04,-2.23562608,-2.32687613,-7.90248711,7.90,4.56,0.27,,,,
2.84E-03,4.21E-04,-3.4759427,-3.6178179,-12.2867603,12.29,7.09,0.42,,,,
4.36E-03,6.44E-04,-5.33643156,-5.55424489,-18.8632338,18.86,10.89,0.64,,,,
6.36E-03,9.38E-04,-7.78648904,-8.10430415,-27.5237508,27.52,15.89,0.94,,,,
8.36E-03,1.23E-03,-10.2365132,-10.65433,-36.1841218,36.18,20.89,1.23,,,,
1.04E-02,1.52E-03,-12.6865127,-13.2043314,-44.8443817,44.84,25.89,1.52,,,,
1.24E-02,1.81E-03,-15.1365116,-15.7543331,-53.5046406,53.50,30.89,1.81,,,,
1.44E-02,2.10E-03,-17.5865103,-18.3043355,-62.1649008,62.16,35.89,2.10,,,,
1.64E-02,2.38E-03,-20.0365083,-20.8543385,-70.8251609,70.83,40.89,2.38,,,,
1.84E-02,2.67E-03,-22.4865057,-23.4043421,-79.4854209,79.49,45.89,2.67,,,,
2.04E-02,2.95E-03,-24.9365024,-25.9543464,-88.1456807,88.15,50.89,2.95,,,,
2.24E-02,3.24E-03,-27.3864983,-28.5043515,-96.8059403,96.81,55.89,3.24,,,,
2.44E-02,3.52E-03,-29.8364934,-31.0543574,-105.4662,105.47,60.89,3.52,,,,
2.64E-02,3.80E-03,-32.2864874,-33.6043642,-114.126459,114.13,65.89,3.80,,,,
2.84E-02,4.07E-03,-34.7364805,-36.1543721,-122.786718,122.79,70.89,4.07,,,,
3.04E-02,4.35E-03,-37.1864725,-38.704381,-131.446978,131.45,75.89,4.35,,,,
3.24E-02,4.63E-03,-39.6364634,-41.254391,-140.107236,140.11,80.89,4.63,,,,
3.44E-02,4.90E-03,-42.0864531,-43.8044022,-148.767495,148.77,85.89,4.90,,,,
3.64E-02,5.17E-03,-44.5364416,-46.3544146,-157.427754,157.43,90.89,5.17,,,,
3.84E-02,5.45E-03,-46.9864287,-48.9044284,-166.088013,166.09,95.89,5.45,,,,
4.04E-02,5.72E-03,-49.4364144,-51.4544435,-174.748271,174.75,100.89,5.72,,,,
4.24E-02,5.99E-03,-51.8863987,-54.00446,-183.408529,183.41,105.89,5.99,,,,
4.44E-02,6.25E-03,-54.3363815,-56.554478,-192.068788,192.07,110.89,6.25,,,,
4.64E-02,6.52E-03,-56.7863628,-59.1044976,-200.729046,200.73,115.89,6.52,,,,
4.84E-02,6.79E-03,-59.2363424,-61.6545187,-209.389304,209.39,120.89,6.79,,,,
5.04E-02,7.05E-03,-61.6863204,-64.2045415,-218.049562,218.05,125.89,7.05,,,,
5.24E-02,7.31E-03,-64.1362966,-66.754566,-226.709819,226.71,130.89,7.31,,,,
5.44E-02,7.57E-03,-66.586271,-69.3045923,-235.370077,235.37,135.89,7.57,,,,
5.64E-02,7.83E-03,-69.0362437,-71.8546203,-244.030335,244.03,140.89,7.83,,,,
5.84E-02,8.09E-03,-71.4862145,-74.4046503,-252.690592,252.69,145.89,8.09,,,,
6.04E-02,8.35E-03,-73.9361833,-76.9546821,-261.350849,261.35,150.89,8.35,,,,
6.24E-02,8.61E-03,-76.3861503,-79.5047159,-270.011107,270.01,155.89,8.61,,,,
6.44E-02,8.86E-03,-78.8361151,-82.0547517,-278.671364,278.67,160.89,8.86,,,,
6.64E-02,9.12E-03,-81.2860779,-84.6047896,-287.331621,287.33,165.89,9.12,,,,
6.84E-02,9.37E-03,-83.7360385,-87.1548295,-295.991878,295.99,170.89,9.37,,,,
7.04E-02,9.62E-03,-86.185997,-89.7048716,-304.652135,304.65,175.89,9.62,,,,
7.24E-02,9.87E-03,-88.6359533,-92.2549159,-313.312392,313.31,180.89,9.87,,,317.6478648,183.3939553
7.44E-02,1.01E-02,-91.0859074,-94.8049624,-321.972648,321.97,185.89,10.12,,,,
7.64E-02,1.04E-02,-93.5358592,-97.3550112,-330.632905,330.63,190.89,10.37,,,,
7.84E-02,1.06E-02,-95.9858087,-99.9050624,-339.293161,339.29,195.89,10.62,,,,
8.04E-02,1.09E-02,-98.4357557,-102.455116,-347.953418,347.95,200.89,10.87,,,,
8.24E-02,1.11E-02,-100.8857,-105.005172,-356.613674,356.61,205.89,11.11,,,,
8.44E-02,1.14E-02,-103.335643,-107.55523,-365.27393,365.27,210.89,11.36,,,,
8.64E-02,1.16E-02,-105.785582,-110.105291,-373.934187,373.93,215.89,11.60,,,,
8.84E-02,1.18E-02,-108.235519,-112.655354,-382.594443,382.59,220.89,11.84,,,,
9.04E-02,1.21E-02,-110.685454,-115.20542,-391.254699,391.25,225.89,12.08,,,,
9.24E-02,1.23E-02,-113.135386,-117.755488,-399.914955,399.91,230.89,12.32,,,,
9.44E-02,1.26E-02,-115.585315,-120.30556,-408.575211,408.58,235.89,12.56,,,,
9.64E-02,1.28E-02,-118.035242,-122.855633,-417.235466,417.24,240.89,12.80,,,,
9.84E-02,1.30E-02,-120.485166,-125.40571,-425.895722,425.90,245.89,13.04,,,,
0.10035625,1.33E-02,-122.935087,-127.955789,-434.555978,434.56,250.89,13.27,,,,
0.10235625,1.35E-02,-125.385006,-130.505871,-443.216233,443.22,255.89,13.51,,,,
0.10435625,1.37E-02,-127.834921,-133.055956,-451.876489,451.88,260.89,13.74,,,,
0.10635625,1.40E-02,-130.284834,-135.606043,-460.536744,460.54,265.89,13.97,,,,
0.10835625,1.42E-02,-132.734744,-138.156134,-469.197,469.20,270.89,14.20,,,,
0.11035625,1.44E-02,-135.184651,-140.706227,-477.857255,477.86,275.89,14.43,,,,
0.11235625,1.47E-02,-137.634555,-143.256323,-486.51751,486.52,280.89,14.66,,,,
0.11435625,1.49E-02,-140.084456,-145.806422,-495.177766,495.18,285.89,14.89,,,,
0.11635625,1.51E-02,-142.534355,-148.356525,-503.838021,503.84,290.89,15.12,,,,
0.11835625,1.53E-02,-144.98425,-150.90663,-512.498276,512.50,295.89,15.34,,,,
0.12035625,1.56E-02,-147.434142,-153.456738,-521.158531,521.16,300.89,15.57,,,,
0.12235625,1.58E-02,-149.884031,-156.006849,-529.818786,529.82,305.89,15.79,,,,
0.12435625,1.60E-02,-152.333917,-158.556964,-538.479041,538.48,310.89,16.02,,,,
0.12635625,1.62E-02,-154.783799,-161.107081,-547.139296,547.14,315.89,16.24,,,,
0.12835625,1.65E-02,-157.233679,-163.657202,-555.799551,555.80,320.89,16.46,,,,
0.13035625,1.67E-02,-159.683556,-166.207326,-564.459805,564.46,325.89,16.68,,,,
0.13235625,1.69E-02,-162.133429,-168.757452,-573.12006,573.12,330.89,16.90,,,,
0.13435625,1.71E-02,-164.583299,-171.307583,-581.780315,581.78,335.89,17.12,,,,
0.13635625,1.73E-02,-167.033166,-173.857716,-590.440569,590.44,340.89,17.34,,,,
0.13835625,1.76E-02,-169.483029,-176.407853,-599.100824,599.10,345.89,17.56,,,,
0.14035625,1.78E-02,-171.932889,-178.957993,-607.761078,607.76,350.89,17.77,,,,
0.14235625,1.80E-02,-174.382746,-181.508136,-616.421333,616.42,355.89,17.99,,,,
0.14435625,1.82E-02,-176.8326,-184.058283,-625.081587,625.08,360.89,18.20,,,,
0.14635625,1.84E-02,-179.28245,-186.608433,-633.741842,633.74,365.89,18.41,,,,
0.14835625,1.86E-02,-181.732297,-189.158586,-642.402096,642.40,370.89,18.63,,,,
0.15035625,1.88E-02,-184.18214,-191.708743,-651.06235,651.06,375.89,18.84,,,,
0.15235625,1.90E-02,-186.63198,-194.258903,-659.722605,659.72,380.89,19.05,,,,
0.15435625,1.93E-02,-189.081817,-196.809066,-668.382859,668.38,385.89,19.26,,,,
0.15635625,1.95E-02,-191.53165,-199.359233,-677.043113,677.04,390.89,19.47,,,,
0.15835625,1.97E-02,-193.98148,-201.909404,-685.703367,685.70,395.89,19.67,,,,
0.16035625,1.99E-02,-196.431306,-204.459578,-694.363621,694.36,400.89,19.88,,,,
0.16235625,2.01E-02,-198.881128,-207.009755,-703.023875,703.02,405.89,20.09,,,,
0.16435625,2.03E-02,-201.330947,-209.559936,-711.684129,711.68,410.89,20.29,,,,
0.16635625,2.05E-02,-203.780763,-212.11012,-720.344383,720.34,415.89,20.50,,,,
0.16835625,2.07E-02,-206.230575,-214.660308,-729.004637,729.00,420.89,20.70,,,,
0.17035625,2.09E-02,-208.680384,-217.2105,-737.664891,737.66,425.89,20.90,,,,
0.17235625,2.11E-02,-211.130189,-219.760695,-746.325145,746.33,430.89,21.10,,,,
0.17435625,2.13E-02,-213.57999,-222.310894,-754.985399,754.99,435.89,21.30,,,,
0.17635625,2.15E-02,-216.029787,-224.861096,-763.645652,763.65,440.89,21.50,,,,
0.17835625,2.17E-02,-218.479581,-227.411302,-772.305906,772.31,445.89,21.70,,,,
0.18035625,2.19E-02,-220.929372,-229.961512,-780.96616,780.97,450.89,21.90,,,,
0.18235625,2.21E-02,-223.379158,-232.511725,-789.626414,789.63,455.89,22.10,,,,
0.18435625,2.23E-02,-225.828941,-235.061942,-798.286667,798.29,460.89,22.30,,,,
0.18635625,2.25E-02,-228.278721,-237.612163,-806.946921,806.95,465.89,22.49,,,,
0.18835625,2.27E-02,-230.728496,-240.162387,-815.607175,815.61,470.89,22.69,,,,
0.19035625,2.29E-02,-233.178268,-242.712615,-824.267428,824.27,475.89,22.88,,,,
0.19235625,2.31E-02,-235.628036,-245.262847,-832.927682,832.93,480.89,23.08,,,,
0.19435625,2.33E-02,-238.077801,-247.813082,-841.587935,841.59,485.89,23.27,,,,
0.19635625,2.35E-02,-240.527562,-250.363322,-850.248189,850.25,490.89,23.46,,,,
0.19835625,2.37E-02,-242.977319,-252.913565,-858.908442,858.91,495.89,23.65,,,,
0.20035625,2.38E-02,-245.427072,-255.463811,-867.568696,867.57,500.89,23.84,,,,
0.20235625,2.40E-02,-247.876821,-258.014062,-876.228949,876.23,505.89,24.03,,,,
0.20435625,2.42E-02,-250.326567,-260.564316,-884.889202,884.89,510.89,24.22,,,,
0.20635625,2.44E-02,-252.776308,-263.114574,-893.549456,893.55,515.89,24.41,,,,
0.20835625,2.46E-02,-255.226047,-265.664836,-902.209709,902.21,520.89,24.60,,,,
0.21035625,2.48E-02,-257.675781,-268.215102,-910.869963,910.87,525.89,24.78,,,,
0.21235625,2.50E-02,-260.125511,-270.765371,-919.530216,919.53,530.89,24.97,,,,
0.21435625,2.52E-02,-262.575238,-273.315645,-928.190469,928.19,535.89,25.16,,,,
0.21635625,2.53E-02,-265.02496,-275.865922,-936.850722,936.85,540.89,25.34,,,,
0.21835625,2.55E-02,-267.474679,-278.416203,-945.510976,945.51,545.89,25.52,,,,
0.22035625,2.57E-02,-269.924394,-280.966488,-954.171229,954.17,550.89,25.71,,,,
0.22235625,2.59E-02,-272.374105,-283.516777,-962.831482,962.83,555.89,25.89,,,,
0.22435625,2.61E-02,-274.823812,-286.067069,-971.491735,971.49,560.89,26.07,,,,
0.22635625,2.63E-02,-277.273515,-288.617366,-980.151988,980.15,565.89,26.25,,,,
0.22835625,2.64E-02,-279.723215,-291.167666,-988.812241,988.81,570.89,26.43,,,,
0.23035625,2.66E-02,-282.17291,-293.71797,-997.472495,997.47,575.89,26.61,,,,
