TIME, UY_5, FX_2, FY_3, FY_4,Reaction,Load,deflection,,,
2.00E-04,3.50E-05,-0.809017007,-0.299770478,-0.288014773,0.81,0.59,0.03,,,
4.00E-04,6.99E-05,-1.61803408,-0.59954098,-0.576029569,1.62,1.18,0.07,,,
7.00E-04,1.22E-04,-2.8315598,-1.04919675,-1.00805178,2.83,2.06,0.12,,,
1.15E-03,2.01E-04,-4.65184915,-1.72368062,-1.6560853,4.65,3.38,0.20,,,
1.83E-03,3.18E-04,-7.38228665,-2.73540735,-2.62813647,7.38,5.36,0.32,,,
2.84E-03,4.95E-04,-11.4779594,-4.25300194,-4.08621756,11.48,8.34,0.49,,,
4.36E-03,7.58E-04,-17.6215471,-6.52941567,-6.27336041,17.62,12.80,0.76,,,
6.36E-03,1.10E-03,-25.7120415,-9.52721092,-9.15359582,25.71,18.68,1.10,,,
8.36E-03,1.45E-03,-33.8023588,-12.5249558,-12.0337809,33.80,24.56,1.45,,,
1.04E-02,1.79E-03,-41.8925372,-15.5226631,-14.9139281,41.89,30.44,1.79,,,
1.24E-02,2.13E-03,-49.9827139,-18.5203709,-17.7940743,49.98,36.31,2.13,,,
1.44E-02,2.47E-03,-58.0728928,-21.5180799,-20.6742201,58.07,42.19,2.47,,,
1.64E-02,2.81E-03,-66.1630716,-24.5157899,-23.554365,66.16,48.07,2.81,,,
1.84E-02,3.14E-03,-74.2532502,-27.5135008,-26.4345089,74.25,53.95,3.14,,,
2.04E-02,3.48E-03,-82.3434286,-30.5112129,-29.3146515,82.34,59.83,3.48,,,
2.24E-02,3.81E-03,-90.4336068,-33.5089263,-32.1947928,90.43,65.70,3.81,,,
2.44E-02,4.14E-03,-98.5237849,-36.506641,-35.0749327,98.52,71.58,4.14,,,
2.64E-02,4.47E-03,-106.613963,-39.5043573,-37.9550711,106.61,77.46,4.47,,,
2.84E-02,4.80E-03,-114.70414,-42.5020752,-40.8352078,114.70,83.34,4.80,,,
3.04E-02,5.13E-03,-122.794318,-45.4997948,-43.7153428,122.79,89.22,5.13,,,
3.24E-02,5.45E-03,-130.884495,-48.4975162,-46.5954759,130.88,95.09,5.45,,,
3.44E-02,5.78E-03,-138.974672,-51.4952395,-49.475607,138.97,100.97,5.78,,,
3.64E-02,6.10E-03,-147.064849,-54.4929649,-52.3557361,147.06,106.85,6.10,,,
3.84E-02,6.42E-03,-155.155026,-57.4906924,-55.235863,155.16,112.73,6.42,,,
4.04E-02,6.74E-03,-163.245203,-60.4884222,-58.1159876,163.25,118.60,6.74,,,
4.24E-02,7.06E-03,-171.335379,-63.4861543,-60.9961099,171.34,124.48,7.06,,,
4.44E-02,7.38E-03,-179.425555,-66.4838888,-63.8762297,179.43,130.36,7.38,,,
4.64E-02,7.69E-03,-187.515732,-69.4816259,-66.7563469,187.52,136.24,7.69,,,
4.84E-02,8.01E-03,-195.605908,-72.4793656,-69.6364615,195.61,142.12,8.01,,,
5.04E-02,8.32E-03,-203.696083,-75.477108,-72.5165734,203.70,147.99,8.32,,,
5.24E-02,8.63E-03,-211.786259,-78.4748532,-75.3966824,211.79,153.87,8.63,,,
5.44E-02,8.94E-03,-219.876435,-81.4726013,-78.2767884,219.88,159.75,8.94,,,
5.64E-02,9.25E-03,-227.96661,-84.4703524,-81.1568915,227.97,165.63,9.25,,,
5.84E-02,9.56E-03,-236.056785,-87.4681065,-84.0369915,236.06,171.51,9.56,,,
6.04E-02,9.86E-03,-244.146961,-90.4658638,-86.9170883,244.15,177.38,9.86,,247.8134631,180.0468208
6.24E-02,1.02E-02,-252.237136,-93.4636243,-89.7971818,252.24,183.26,10.17,,,
6.44E-02,1.05E-02,-260.32731,-96.4613882,-92.6772721,260.33,189.14,10.47,,,
6.64E-02,1.08E-02,-268.417485,-99.4591554,-95.5573588,268.42,195.02,10.77,,,
6.84E-02,1.11E-02,-276.50766,-102.456926,-98.437442,276.51,200.89,11.07,,,
7.04E-02,1.14E-02,-284.597834,-105.4547,-101.317522,284.60,206.77,11.37,,,
7.24E-02,1.17E-02,-292.688009,-108.452478,-104.197598,292.69,212.65,11.67,,,
7.44E-02,1.20E-02,-300.778183,-111.45026,-107.07767,300.78,218.53,11.97,,,
7.64E-02,1.23E-02,-308.868357,-114.448045,-109.957739,308.87,224.41,12.26,,,
7.84E-02,1.26E-02,-316.958531,-117.445834,-112.837803,316.96,230.28,12.56,,,
8.04E-02,1.28E-02,-325.048705,-120.443627,-115.717864,325.05,236.16,12.85,,,
8.24E-02,1.31E-02,-333.138878,-123.441425,-118.597921,333.14,242.04,13.14,,,
8.44E-02,1.34E-02,-341.229052,-126.439226,-121.477973,341.23,247.92,13.43,,,
8.64E-02,1.37E-02,-349.319226,-129.437031,-124.358022,349.32,253.80,13.72,,,
8.84E-02,1.40E-02,-357.409399,-132.43484,-127.238066,357.41,259.67,14.01,,,
9.04E-02,1.43E-02,-365.499572,-135.432654,-130.118106,365.50,265.55,14.30,,,
9.24E-02,1.46E-02,-373.589746,-138.430472,-132.998142,373.59,271.43,14.58,,,
9.44E-02,1.49E-02,-381.679919,-141.428294,-135.878173,381.68,277.31,14.87,,,
9.64E-02,1.51E-02,-389.770092,-144.426121,-138.7582,389.77,283.18,15.15,,,
9.84E-02,1.54E-02,-397.860265,-147.423952,-141.638222,397.86,289.06,15.43,,,
0.10035625,1.57E-02,-405.950437,-150.421788,-144.51824,405.95,294.94,15.71,,,
0.10235625,1.60E-02,-414.04061,-153.419629,-147.398253,414.04,300.82,15.99,,,
0.10435625,1.63E-02,-422.130783,-156.417474,-150.278261,422.13,306.70,16.27,,,
0.10635625,1.65E-02,-430.220955,-159.415324,-153.158265,430.22,312.57,16.55,,,
0.10835625,1.68E-02,-438.311128,-162.413178,-156.038264,438.31,318.45,16.82,,,
0.11035625,1.71E-02,-446.4013,-165.411038,-158.918258,446.40,324.33,17.10,,,
0.11235625,1.74E-02,-454.491472,-168.408902,-161.798247,454.49,330.21,17.37,,,
0.11435625,1.76E-02,-462.581644,-171.406771,-164.678231,462.58,336.09,17.64,,,
0.11635625,1.79E-02,-470.671816,-174.404645,-167.558211,470.67,341.96,17.91,,,
0.11835625,1.82E-02,-478.761988,-177.402524,-170.438185,478.76,347.84,18.18,,,
0.12035625,1.85E-02,-486.85216,-180.400409,-173.318154,486.85,353.72,18.45,,,
0.12235625,1.87E-02,-494.942332,-183.398298,-176.198117,494.94,359.60,18.72,,,
0.12435625,1.90E-02,-503.032504,-186.396193,-179.078076,503.03,365.47,18.99,,,
0.12635625,1.93E-02,-511.122676,-189.394093,-181.95803,511.12,371.35,19.25,,,
0.12835625,1.95E-02,-519.212847,-192.391998,-184.837978,519.21,377.23,19.52,,,
0.13035625,1.98E-02,-527.303019,-195.389908,-187.71792,527.30,383.11,19.78,,,
0.13235625,2.00E-02,-535.39319,-198.387824,-190.597858,535.39,388.99,20.05,,,
0.13435625,2.03E-02,-543.483362,-201.385745,-193.47779,543.48,394.86,20.31,,,
0.13635625,2.06E-02,-551.573533,-204.383671,-196.357717,551.57,400.74,20.57,,,
0.13835625,2.08E-02,-559.663704,-207.381604,-199.237638,559.66,406.62,20.83,,,
0.14035625,2.11E-02,-567.753875,-210.379541,-202.117553,567.75,412.50,21.09,,,
0.14235625,2.13E-02,-575.844046,-213.377484,-204.997463,575.84,418.37,21.34,,,
0.14435625,2.16E-02,-583.934217,-216.375433,-207.877368,583.93,424.25,21.60,,,
0.14635625,2.19E-02,-592.024388,-219.373387,-210.757266,592.02,430.13,21.85,,,
0.14835625,2.21E-02,-600.114559,-222.371347,-213.637159,600.11,436.01,22.11,,,
0.15035625,2.24E-02,-608.20473,-225.369313,-216.517047,608.20,441.89,22.36,,,
0.15235625,2.26E-02,-616.294901,-228.367284,-219.396928,616.29,447.76,22.61,,,
0.15435625,2.29E-02,-624.385072,-231.365261,-222.276804,624.39,453.64,22.86,,,
0.15635625,2.31E-02,-632.475242,-234.363244,-225.156674,632.48,459.52,23.11,,,
0.15835625,2.34E-02,-640.565413,-237.361233,-228.036538,640.57,465.40,23.36,,,
0.16035625,2.36E-02,-648.655583,-240.359228,-230.916396,648.66,471.28,23.61,,,
0.16235625,2.39E-02,-656.745754,-243.357229,-233.796248,656.75,477.15,23.86,,,
0.16435625,2.41E-02,-664.835924,-246.355235,-236.676095,664.84,483.03,24.10,,,
0.16635625,2.44E-02,-672.926095,-249.353248,-239.555935,672.93,488.91,24.35,,,
0.16835625,2.46E-02,-681.016265,-252.351266,-242.435769,681.02,494.79,24.59,,,
0.17035625,2.48E-02,-689.106435,-255.349291,-245.315598,689.11,500.66,24.84,,,
0.17235625,2.51E-02,-697.196606,-258.347321,-248.19542,697.20,506.54,25.08,,,
0.17435625,2.53E-02,-705.286776,-261.345358,-251.075236,705.29,512.42,25.32,,,
0.17635625,2.56E-02,-713.376946,-264.343401,-253.955046,713.38,518.30,25.56,,,
0.17835625,2.58E-02,-721.467116,-267.34145,-256.83485,721.47,524.18,25.80,,,
0.18035625,2.60E-02,-729.557286,-270.339505,-259.714647,729.56,530.05,26.04,,,
0.18235625,2.63E-02,-737.647456,-273.337566,-262.594439,737.65,535.93,26.28,,,
0.18435625,2.65E-02,-745.737626,-276.335633,-265.474224,745.74,541.81,26.51,,,
0.18635625,2.67E-02,-753.827796,-279.333707,-268.354003,753.83,547.69,26.75,,,
