TIME, UY_5, FX_2, FY_3, FY_4,Load,Reaction,Deflection,,,
2.00E-04,4.42E-05,-0.669130663,-0.379003859,-0.364140962,0.74,0.67,0.04,,,
4.00E-04,8.84E-05,-1.33826133,-0.758007763,-0.728281968,1.49,1.34,0.09,,,
7.00E-04,1.55E-04,-2.34195751,-1.32651365,-1.27449351,2.60,2.34,0.15,,,
1.15E-03,2.54E-04,-3.84750272,-2.17927285,-2.09381116,4.27,3.85,0.25,,,
1.83E-03,4.03E-04,-6.1058247,-3.45841324,-3.32278916,6.78,6.11,0.40,,,
2.84E-03,6.26E-04,-9.49332714,-5.37713151,-5.16626356,10.54,9.49,0.63,,,
4.36E-03,9.59E-04,-14.5746734,-8.255246,-7.93151111,16.19,14.57,0.96,,,
6.36E-03,1.40E-03,-21.2663626,-12.0454385,-11.5730695,23.62,21.27,1.40,,,
8.36E-03,1.83E-03,-27.95785,-15.835548,-15.2145446,31.05,27.96,1.83,,,
1.04E-02,2.27E-03,-34.6491702,-19.6255932,-18.8559545,38.48,34.65,2.27,,,
1.24E-02,2.70E-03,-41.3404871,-23.4156391,-22.4973623,45.91,41.34,2.70,,,
1.44E-02,3.13E-03,-48.0318081,-27.2056877,-26.1387694,53.34,48.03,3.13,,,
1.64E-02,3.56E-03,-54.7231291,-30.9957381,-29.7801746,60.78,54.72,3.56,,,
1.84E-02,3.99E-03,-61.4144498,-34.7857906,-33.4215776,68.21,61.41,3.99,,,
2.04E-02,4.41E-03,-68.1057702,-38.5758455,-37.0629781,75.64,68.11,4.41,,,
2.24E-02,4.84E-03,-74.7970903,-42.365903,-40.7043759,83.07,74.80,4.84,,,
2.44E-02,5.26E-03,-81.4884102,-46.1559633,-44.3457709,90.50,81.49,5.26,,,
2.64E-02,5.68E-03,-88.1797299,-49.9460266,-47.9871627,97.93,88.18,5.68,,,
2.84E-02,6.10E-03,-94.8710493,-53.7360933,-51.628551,105.36,94.87,6.10,,,
3.04E-02,6.52E-03,-101.562369,-57.5261635,-55.2699357,112.80,101.56,6.52,,,
3.24E-02,6.94E-03,-108.253687,-61.3162375,-58.9113166,120.23,108.25,6.94,,,
3.44E-02,7.35E-03,-114.945006,-65.1063155,-62.5526934,127.66,114.95,7.35,,,
3.64E-02,7.77E-03,-121.636325,-68.8963976,-66.1940659,135.09,121.64,7.77,,,
3.84E-02,8.18E-03,-128.327643,-72.6864842,-69.8354339,142.52,128.33,8.18,,,
4.04E-02,8.59E-03,-135.018961,-76.4765755,-73.4767972,149.95,135.02,8.59,,,
4.24E-02,9.00E-03,-141.710279,-80.2666715,-77.1181555,157.38,141.71,9.00,,,
4.44E-02,9.40E-03,-148.401596,-84.0567727,-80.7595088,164.82,148.40,9.40,,,
4.64E-02,9.81E-03,-155.092914,-87.8468791,-84.4008566,172.25,155.09,9.81,,175.7515898,158.2478011
4.84E-02,1.02E-02,-161.784231,-91.6369909,-88.0421989,179.68,161.78,10.21,,,
5.04E-02,1.06E-02,-168.475548,-95.4271084,-91.6835355,187.11,168.48,10.62,,,
5.24E-02,1.10E-02,-175.166865,-99.2172318,-95.3248661,194.54,175.17,11.02,,,
5.44E-02,1.14E-02,-181.858181,-103.007361,-98.9661906,201.97,181.86,11.42,,,
5.64E-02,1.18E-02,-188.549498,-106.797497,-102.607509,209.41,188.55,11.82,,,
5.84E-02,1.22E-02,-195.240814,-110.587639,-106.24882,216.84,195.24,12.21,,,
6.04E-02,1.26E-02,-201.93213,-114.377788,-109.890125,224.27,201.93,12.61,,,
6.24E-02,1.30E-02,-208.623445,-118.167943,-113.531423,231.70,208.62,13.00,,,
6.44E-02,1.34E-02,-215.314761,-121.958106,-117.172714,239.13,215.31,13.39,,,
6.64E-02,1.38E-02,-222.006076,-125.748275,-120.813998,246.56,222.01,13.78,,,
6.84E-02,1.42E-02,-228.697392,-129.538452,-124.455275,253.99,228.70,14.17,,,
7.04E-02,1.46E-02,-235.388707,-133.328637,-128.096544,261.43,235.39,14.56,,,
7.24E-02,1.49E-02,-242.080022,-137.118829,-131.737805,268.86,242.08,14.95,,,
7.44E-02,1.53E-02,-248.771336,-140.909029,-135.379058,276.29,248.77,15.33,,,
7.64E-02,1.57E-02,-255.462651,-144.699237,-139.020303,283.72,255.46,15.72,,,
7.84E-02,1.61E-02,-262.153965,-148.489453,-142.66154,291.15,262.15,16.10,,,
8.04E-02,1.65E-02,-268.845279,-152.279677,-146.302768,298.58,268.85,16.48,,,
8.24E-02,1.69E-02,-275.536593,-156.06991,-149.943988,306.01,275.54,16.86,,,
8.44E-02,1.72E-02,-282.227907,-159.860152,-153.585199,313.45,282.23,17.24,,,
8.64E-02,1.76E-02,-288.919221,-163.650402,-157.226402,320.88,288.92,17.61,,,
8.84E-02,1.80E-02,-295.610534,-167.440661,-160.867595,328.31,295.61,17.99,,,
9.04E-02,1.84E-02,-302.301847,-171.23093,-164.508779,335.74,302.30,18.36,,,
9.24E-02,1.87E-02,-308.993161,-175.021207,-168.149954,343.17,308.99,18.74,,,
9.44E-02,1.91E-02,-315.684474,-178.811494,-171.79112,350.60,315.68,19.11,,,
9.64E-02,1.95E-02,-322.375786,-182.601791,-175.432276,358.03,322.38,19.48,,,
9.84E-02,1.98E-02,-329.067099,-186.392097,-179.073422,365.47,329.07,19.85,,,
0.10035625,2.02E-02,-335.758412,-190.182413,-182.714558,372.90,335.76,20.21,,,
0.10235625,2.06E-02,-342.449724,-193.972738,-186.355684,380.33,342.45,20.58,,,
0.10435625,2.09E-02,-349.141036,-197.763074,-189.996801,387.76,349.14,20.94,,,
0.10635625,2.13E-02,-355.832349,-201.55342,-193.637907,395.19,355.83,21.31,,,
0.10835625,2.17E-02,-362.52366,-205.343777,-197.279002,402.62,362.52,21.67,,,
