TIME, UY_5, FY_3, FY_4, FX_2,Reaction,Load,Deflection,,,
2.00E-04,4.81E-05,-0.412598664,-0.396418324,-0.587785284,0.59,0.81,0.05,,,
4.00E-04,9.62E-05,-0.825197382,-0.792836699,-1.17557062,1.18,1.62,0.10,,,
7.00E-04,1.68E-04,-1.4440955,-1.3874643,-2.05724877,2.06,2.83,0.17,,,
1.15E-03,2.76E-04,-2.37244309,-2.2794061,-3.37976692,3.38,4.65,0.28,,,
1.83E-03,4.39E-04,-3.76496634,-3.61732056,-5.36354822,5.36,7.38,0.44,,,
2.84E-03,6.81E-04,-5.85376006,-5.62420075,-8.3392392,8.34,11.48,0.68,,,
4.36E-03,1.04E-03,-8.98699322,-8.63456221,-12.8028659,12.80,17.62,1.04,,,
6.36E-03,1.52E-03,-13.1131568,-12.5989161,-18.681092,18.68,25.71,1.52,,,
8.36E-03,2.00E-03,-17.2392266,-16.5631758,-24.5591249,24.56,33.80,2.00,,,
1.04E-02,2.47E-03,-21.3652229,-20.5273603,-30.4369939,30.44,41.89,2.47,,,
1.24E-02,2.94E-03,-25.4912198,-24.491542,-36.314859,36.31,49.98,2.94,,,
1.44E-02,3.41E-03,-29.6172202,-28.4557228,-42.1927288,42.19,58.07,3.41,,,
1.64E-02,3.88E-03,-33.7432231,-32.4199012,-48.0705986,48.07,66.16,3.88,,,
1.84E-02,4.35E-03,-37.8692287,-36.3840767,-53.9484681,53.95,74.25,4.35,,,
2.04E-02,4.82E-03,-41.9952373,-40.348249,-59.8263373,59.83,82.34,4.82,,,
2.24E-02,5.28E-03,-46.1212494,-44.3124178,-65.7042063,65.70,90.43,5.28,,,
2.44E-02,5.74E-03,-50.2472651,-48.2765829,-71.582075,71.58,98.52,5.74,,,
2.64E-02,6.20E-03,-54.3732848,-52.2407437,-77.4599435,77.46,106.61,6.20,,,
2.84E-02,6.66E-03,-58.4993088,-56.2049002,-83.3378117,83.34,114.70,6.66,,,
3.04E-02,7.12E-03,-62.6253374,-60.1690518,-89.2156797,89.22,122.79,7.12,,,
3.24E-02,7.58E-03,-66.751371,-64.1331986,-95.0935475,95.09,130.88,7.58,,,
3.44E-02,8.03E-03,-70.8774097,-68.0973399,-100.971415,100.97,138.97,8.03,,,
3.64E-02,8.49E-03,-75.003454,-72.0614755,-106.849282,106.85,147.06,8.49,,,
3.84E-02,8.94E-03,-79.129504,-76.0256054,-112.727149,112.73,155.16,8.94,,,
4.04E-02,9.39E-03,-83.2555601,-79.989729,-118.605016,118.61,163.25,9.39,,,
4.24E-02,9.84E-03,-87.3816226,-83.9538461,-124.482883,124.48,171.34,9.84,,126.5875031,174.2322265
4.44E-02,1.03E-02,-91.5076917,-87.9179565,-130.360749,130.36,179.43,10.29,,,
4.64E-02,1.07E-02,-95.6337677,-91.8820598,-136.238615,136.24,187.52,10.73,,,
4.84E-02,1.12E-02,-99.7598509,-95.8461559,-142.116481,142.12,195.61,11.18,,,
5.04E-02,1.16E-02,-103.885942,-99.8102444,-147.994347,147.99,203.70,11.62,,,
5.24E-02,1.21E-02,-108.01204,-103.774325,-153.872213,153.87,211.79,12.06,,,
5.44E-02,1.25E-02,-112.138146,-107.738398,-159.750078,159.75,219.88,12.50,,,
5.64E-02,1.29E-02,-116.264261,-111.702462,-165.627943,165.63,227.97,12.94,,,
5.84E-02,1.34E-02,-120.390384,-115.666517,-171.505808,171.51,236.06,13.38,,,
6.04E-02,1.38E-02,-124.516515,-119.630564,-177.383673,177.38,244.15,13.81,,,
6.24E-02,1.42E-02,-128.642656,-123.594602,-183.261537,183.26,252.24,14.25,,,
6.44E-02,1.47E-02,-132.768806,-127.558631,-189.139402,189.14,260.33,14.68,,,
