TIME, UY_3
2.E-04, 4.899028923E-05
4.E-04, 9.729155843E-05
7.E-04, 1.684833653E-04
1.15E-03, 2.72529491E-04
1.825E-03, 4.227284928E-04
2.825E-03, 6.331913303E-04
3.825E-03, 8.30490351E-04
4.825E-03, 1.01583748E-03
5.825E-03, 1.190308365E-03
6.825E-03, 1.354833985E-03
7.825E-03, 1.510261048E-03
8.825E-03, 1.657336238E-03
9.825E-03, 1.796726497E-03
1.0825E-02, 1.929029473E-03
1.1825E-02, 2.054782285E-03
1.2825E-02, 2.174468993E-03
1.3825E-02, 2.288526993E-03
1.4825E-02, 2.397352513E-03
1.5825E-02, 2.501305341E-03
1.6825E-02, 2.600712926E-03
1.7825E-02, 2.695873932E-03
1.8825E-02, 2.787061332E-03
1.9825E-02, 2.874525115E-03
2.0825E-02, 2.958494657E-03
2.1825E-02, 3.039180805E-03
2.2825E-02, 3.116777708E-03
2.3825E-02, 3.191464442E-03
2.4825E-02, 3.263406448E-03
2.5825E-02, 3.3327568E-03
2.6825E-02, 3.399657347E-03
2.7825E-02, 3.464239722E-03
2.8825E-02, 3.526626243E-03
2.9825E-02, 3.586930728E-03
3.0825E-02, 3.64525922E-03
3.1825E-02, 3.70171064E-03
3.2825E-02, 3.756377375E-03
3.3825E-02, 3.809345811E-03
3.4825E-02, 3.860696812E-03
3.5825E-02, 3.910506156E-03
3.6825E-02, 3.958844928E-03
3.7825E-02, 4.005779878E-03
3.8825E-02, 4.051373748E-03
3.9825E-02, 4.095685569E-03
4.0825E-02, 4.138770931E-03
4.1825E-02, 4.180682231E-03
4.2825E-02, 4.221468899E-03
4.3825E-02, 4.261177606E-03
4.4825E-02, 4.299852454E-03
4.5825E-02, 4.33753515E-03
4.6825E-02, 4.374265169E-03
4.7825E-02, 4.410079898E-03
4.8825E-02, 4.445014777E-03
4.9825E-02, 4.479103419E-03
5.0825E-02, 4.512377733E-03
5.1825E-02, 4.544868025E-03
5.2825E-02, 4.5766031E-03
5.3825E-02, 4.607610356E-03
5.4825E-02, 4.637915865E-03
5.5825E-02, 4.667544457E-03
5.6825E-02, 4.696519789E-03
5.7825E-02, 4.724864416E-03
5.8825E-02, 4.752599856E-03
5.9825E-02, 4.779746645E-03
6.0825E-02, 4.806324397E-03
6.1825E-02, 4.832351851E-03
6.2825E-02, 4.857846925E-03
6.3825E-02, 4.882826753E-03
6.4825E-02, 4.907307736E-03
6.5825E-02, 4.931305575E-03
6.6825E-02, 4.954835309E-03
6.7825E-02, 4.977911352E-03
6.8825E-02, 5.000547524E-03
6.9825E-02, 5.02275708E-03
7.0825E-02, 5.044552741E-03
7.1825E-02, 5.065946719E-03
7.2825E-02, 5.086950743E-03
7.3825E-02, 5.107576084E-03
7.4825E-02, 5.127833574E-03
7.5825E-02, 5.147733631E-03
7.6825E-02, 5.167286275E-03
7.7825E-02, 5.186501151E-03
