TIME, UY_6, UX_5, FY_3, FY_4,Displacement,Deflection,lOad,Reaction, FX_2,,,
2.00E-04,1.32E-03,4.35E-05,-17.8014553,-17.103355,0.04,1.32,34.90,1999.70,-1999.70238,,,
4.00E-04,1.95E-03,8.63E-05,-35.613959,-34.2174672,0.09,1.95,69.83,3999.85,-3999.84868,,,
7.00E-04,2.46E-03,1.53E-04,-62.3059536,-59.8625238,0.15,2.46,122.17,6998.96,-6998.96063,,,
1.15E-03,2.85E-03,2.55E-04,-102.358682,-98.3444822,0.26,2.85,200.70,11498.26,-11498.2629,,,
1.83E-03,3.16E-03,4.12E-04,-162.438514,-156.068119,0.41,3.16,318.51,18247.23,-18247.2316,,,
2.84E-03,3.40E-03,6.51E-04,-252.558435,-242.653722,0.65,3.40,495.21,28370.69,-28370.686,,,
4.36E-03,3.59E-03,1.01E-03,-387.738364,-372.532153,1.01,3.59,760.27,43555.87,-43555.8692,,,
6.36E-03,3.72E-03,1.49E-03,-565.753109,-543.565485,1.49,3.72,1109.32,63552.82,-63552.82,,,
8.36E-03,3.81E-03,1.96E-03,-743.766688,-714.597657,1.96,3.81,1458.36,83549.68,-83549.6788,,,
1.04E-02,3.87E-03,2.44E-03,-921.781242,-885.630829,2.44,3.87,1807.41,103546.58,-103546.584,,,
1.24E-02,3.91E-03,2.92E-03,-1099.79587,-1056.66402,2.92,3.91,2156.46,123543.51,-123543.511,,,
1.44E-02,3.95E-03,3.40E-03,-1277.81045,-1227.69716,3.40,3.95,2505.51,143540.44,-143540.437,,,
1.64E-02,3.98E-03,3.88E-03,-1455.825,-1398.73027,3.88,3.98,2854.56,163537.36,-163537.363,,,
1.84E-02,4.00E-03,4.37E-03,-1633.83954,-1569.76337,4.37,4.00,3203.60,183534.29,-183534.289,,,
2.04E-02,4.02E-03,4.85E-03,-1811.85408,-1740.79647,4.85,4.02,3552.65,203531.21,-203531.214,,,
2.24E-02,4.04E-03,5.33E-03,-1989.86862,-1911.82956,5.33,4.04,3901.70,223528.14,-223528.14,,,
2.44E-02,4.06E-03,5.82E-03,-2167.88316,-2082.86266,5.82,4.06,4250.75,243525.07,-243525.065,,,
2.64E-02,4.07E-03,6.30E-03,-2345.8977,-2253.89575,6.30,4.07,4599.79,263521.99,-263521.991,,,
2.84E-02,4.09E-03,6.79E-03,-2523.91223,-2424.92884,6.79,4.09,4948.84,283518.92,-283518.916,,,
3.04E-02,4.10E-03,7.27E-03,-2701.92677,-2595.96193,7.27,4.10,5297.89,303515.84,-303515.841,,,
3.24E-02,4.11E-03,7.76E-03,-2879.9413,-2766.99502,7.76,4.11,5646.94,323512.77,-323512.766,,,
3.44E-02,4.12E-03,8.25E-03,-3057.95584,-2938.02811,8.25,4.12,5995.98,343509.69,-343509.691,,,
3.64E-02,4.13E-03,8.73E-03,-3235.97037,-3109.06119,8.73,4.13,6345.03,363506.62,-363506.615,,,
3.84E-02,4.14E-03,9.22E-03,-3413.9849,-3280.09428,9.22,4.14,6694.08,383503.54,-383503.54,,,
4.04E-02,4.15E-03,9.71E-03,-3591.99943,-3451.12736,9.71,4.15,7043.13,403500.46,-403500.464,,415189.941,7247.167361
4.24E-02,4.16E-03,1.02E-02,-3770.01396,-3622.16044,10.20,4.16,7392.17,423497.39,-423497.389,,,
4.44E-02,4.17E-03,1.07E-02,-3948.02849,-3793.19352,10.69,4.17,7741.22,443494.31,-443494.313,,,
4.64E-02,4.18E-03,1.12E-02,-4126.04302,-3964.2266,11.19,4.18,8090.27,463491.24,-463491.237,,,
4.84E-02,4.18E-03,1.17E-02,-4304.05755,-4135.25968,11.68,4.18,8439.32,483488.16,-483488.161,,,
5.04E-02,4.19E-03,1.22E-02,-4482.07207,-4306.29276,12.17,4.19,8788.36,503485.09,-503485.085,,,
5.24E-02,4.20E-03,1.27E-02,-4660.0866,-4477.32583,12.67,4.20,9137.41,523482.01,-523482.009,,,
5.44E-02,4.20E-03,1.32E-02,-4838.10112,-4648.35891,13.16,4.20,9486.46,543478.93,-543478.932,,,
5.64E-02,4.21E-03,1.37E-02,-5016.11564,-4819.39198,13.66,4.21,9835.51,563475.86,-563475.856,,,
5.84E-02,4.21E-03,1.42E-02,-5194.13016,-4990.42506,14.15,4.21,10184.56,583472.78,-583472.779,,,
6.04E-02,4.22E-03,1.47E-02,-5372.14468,-5161.45813,14.65,4.22,10533.60,603469.70,-603469.702,,,
6.24E-02,4.23E-03,1.51E-02,-5550.1592,-5332.4912,15.15,4.23,10882.65,623466.63,-623466.625,,,
6.44E-02,4.23E-03,1.56E-02,-5728.17372,-5503.52427,15.65,4.23,11231.70,643463.55,-643463.548,,,
6.64E-02,4.24E-03,1.61E-02,-5906.18823,-5674.55734,16.15,4.24,11580.75,663460.47,-663460.471,,,
6.84E-02,4.24E-03,1.66E-02,-6084.20275,-5845.59041,16.65,4.24,11929.79,683457.39,-683457.394,,,
7.04E-02,4.25E-03,1.71E-02,-6262.21726,-6016.62348,17.15,4.25,12278.84,703454.32,-703454.316,,,
7.24E-02,4.25E-03,1.76E-02,-6440.23177,-6187.65654,17.65,4.25,12627.89,723451.24,-723451.238,,,
7.44E-02,4.26E-03,1.82E-02,-6618.24628,-6358.68961,18.15,4.26,12976.94,743448.16,-743448.161,,,
7.64E-02,4.26E-03,1.87E-02,-6796.26079,-6529.72267,18.65,4.26,13325.98,763445.08,-763445.083,,,
7.84E-02,4.27E-03,1.92E-02,-6974.2753,-6700.75574,19.16,4.27,13675.03,783442.01,-783442.005,,,
8.04E-02,4.27E-03,1.97E-02,-7152.28981,-6871.7888,19.66,4.27,14024.08,803438.93,-803438.927,,,
8.24E-02,4.28E-03,2.02E-02,-7330.30431,-7042.82186,20.17,4.28,14373.13,823435.85,-823435.848,,,
8.44E-02,4.28E-03,2.07E-02,-7508.31882,-7213.85492,20.67,4.28,14722.17,843432.77,-843432.77,,,
8.64E-02,4.28E-03,2.12E-02,-7686.33332,-7384.88798,21.18,4.28,15071.22,863429.69,-863429.692,,,
8.84E-02,4.29E-03,2.17E-02,-7864.34782,-7555.92104,21.69,4.29,15420.27,883426.61,-883426.613,,,
9.04E-02,4.29E-03,2.22E-02,-8042.36232,-7726.95409,22.20,4.29,15769.32,903423.53,-903423.534,,,
9.24E-02,4.30E-03,2.27E-02,-8220.37682,-7897.98715,22.71,4.30,16118.36,923420.46,-923420.455,,,
9.44E-02,4.30E-03,2.32E-02,-8398.39131,-8069.0202,23.21,4.30,16467.41,943417.38,-943417.376,,,
9.64E-02,4.30E-03,2.37E-02,-8576.40581,-8240.05326,23.73,4.30,16816.46,963414.30,-963414.297,,,
9.84E-02,4.31E-03,2.42E-02,-8754.4203,-8411.08631,24.24,4.31,17165.51,983411.22,-983411.217,,,
0.10035625,4.31E-03,2.47E-02,-8932.4348,-8582.11936,24.75,4.31,17514.55,1003408.14,-1003408.14,,,
0.10235625,4.32E-03,2.53E-02,-9110.44929,-8753.15241,25.26,4.32,17863.60,1023405.06,-1023405.06,,,
0.10435625,4.32E-03,2.58E-02,-9288.46378,-8924.18546,25.78,4.32,18212.65,1043401.98,-1043401.98,,,
0.10635625,4.32E-03,2.63E-02,-9466.47826,-9095.21851,26.29,4.32,18561.70,1063398.90,-1063398.9,,,
0.10835625,4.33E-03,2.68E-02,-9644.49275,-9266.25156,26.81,4.33,18910.74,1083395.82,-1083395.82,,,
0.11035625,4.33E-03,2.73E-02,-9822.50724,-9437.28461,27.32,4.33,19259.79,1103392.74,-1103392.74,,,
0.11235625,4.34E-03,2.78E-02,-10000.5217,-9608.31765,27.84,4.34,19608.84,1123389.66,-1123389.66,,,
0.11435625,4.34E-03,2.84E-02,-10178.5362,-9779.3507,28.36,4.34,19957.89,1143386.58,-1143386.58,,,
0.11635625,4.34E-03,2.89E-02,-10356.5507,-9950.38374,28.87,4.34,20306.93,1163383.50,-1163383.5,,,
0.11835625,4.35E-03,2.94E-02,-10534.5652,-10121.4168,29.39,4.35,20655.98,1183380.42,-1183380.42,,,
0.12035625,4.35E-03,2.99E-02,-10712.5796,-10292.4498,29.91,4.35,21005.03,1203377.33,-1203377.33,,,
0.12235625,4.35E-03,3.04E-02,-10890.5941,-10463.4829,30.43,4.35,21354.08,1223374.25,-1223374.25,,,
0.12435625,4.36E-03,3.10E-02,-11068.6086,-10634.5159,30.96,4.36,21703.12,1243371.17,-1243371.17,,,
0.12635625,4.36E-03,3.15E-02,-11246.6231,-10805.5489,31.48,4.36,22052.17,1263368.09,-1263368.09,,,
0.12835625,4.36E-03,3.20E-02,-11424.6375,-10976.582,32.00,4.36,22401.22,1283365.01,-1283365.01,,,
0.13035625,4.37E-03,3.25E-02,-11602.652,-11147.615,32.53,4.37,22750.27,1303361.93,-1303361.93,,,
0.13235625,4.37E-03,3.31E-02,-11780.6665,-11318.648,33.05,4.37,23099.31,1323358.84,-1323358.84,,,
0.13435625,4.37E-03,3.36E-02,-11958.6809,-11489.6811,33.58,4.37,23448.36,1343355.76,-1343355.76,,,
0.13635625,4.38E-03,3.41E-02,-12136.6954,-11660.7141,34.10,4.38,23797.41,1363352.68,-1363352.68,,,
0.13835625,4.38E-03,3.46E-02,-12314.7099,-11831.7471,34.63,4.38,24146.46,1383349.60,-1383349.6,,,
0.14035625,4.38E-03,3.52E-02,-12492.7243,-12002.7802,35.16,4.38,24495.50,1403346.52,-1403346.52,,,
0.14235625,4.39E-03,3.57E-02,-12670.7388,-12173.8132,35.69,4.39,24844.55,1423343.43,-1423343.43,,,
0.14435625,4.39E-03,3.62E-02,-12848.7532,-12344.8462,36.22,4.39,25193.60,1443340.35,-1443340.35,,,
0.14635625,4.39E-03,3.67E-02,-13026.7677,-12515.8793,36.75,4.39,25542.65,1463337.27,-1463337.27,,,
0.14835625,4.40E-03,3.73E-02,-13204.7821,-12686.9123,37.28,4.40,25891.69,1483334.18,-1483334.18,,,
0.15035625,4.40E-03,3.78E-02,-13382.7966,-12857.9453,37.81,4.40,26240.74,1503331.10,-1503331.1,,,
0.15235625,4.40E-03,3.83E-02,-13560.8111,-13028.9783,38.34,4.40,26589.79,1523328.02,-1523328.02,,,
0.15435625,4.41E-03,3.89E-02,-13738.8255,-13200.0114,38.88,4.41,26938.84,1543324.93,-1543324.93,,,
0.15635625,4.41E-03,3.94E-02,-13916.8399,-13371.0444,39.41,4.41,27287.88,1563321.85,-1563321.85,,,
0.15835625,4.41E-03,3.99E-02,-14094.8544,-13542.0774,39.95,4.41,27636.93,1583318.77,-1583318.77,,,
0.16035625,4.42E-03,4.05E-02,-14272.8688,-13713.1104,40.48,4.42,27985.98,1603315.68,-1603315.68,,,
0.16235625,4.42E-03,4.10E-02,-14450.8833,-13884.1434,41.02,4.42,28335.03,1623312.60,-1623312.6,,,
0.16435625,4.42E-03,4.16E-02,-14628.8977,-14055.1765,41.56,4.42,28684.07,1643309.51,-1643309.51,,,
0.16635625,4.43E-03,4.21E-02,-14806.9122,-14226.2095,42.10,4.43,29033.12,1663306.43,-1663306.43,,,
0.16835625,4.43E-03,4.26E-02,-14984.9266,-14397.2425,42.64,4.43,29382.17,1683303.34,-1683303.34,,,
0.17035625,4.43E-03,4.32E-02,-15162.941,-14568.2755,43.18,4.43,29731.22,1703300.26,-1703300.26,,,
0.17235625,4.44E-03,4.37E-02,-15340.9555,-14739.3085,43.72,4.44,30080.26,1723297.17,-1723297.17,,,
0.17435625,4.44E-03,4.43E-02,-15518.9699,-14910.3415,44.26,4.44,30429.31,1743294.09,-1743294.09,,,
0.17635625,4.44E-03,4.48E-02,-15696.9843,-15081.3745,44.81,4.44,30778.36,1763291.00,-1763291,,,
0.17835625,4.45E-03,4.53E-02,-15874.9987,-15252.4075,45.35,4.45,31127.41,1783287.92,-1783287.92,,,
0.18035625,4.45E-03,4.59E-02,-16053.0132,-15423.4405,45.89,4.45,31476.45,1803284.83,-1803284.83,,,
0.18235625,4.45E-03,4.64E-02,-16231.0276,-15594.4735,46.44,4.45,31825.50,1823281.74,-1823281.74,,,
0.18435625,4.45E-03,4.70E-02,-16409.042,-15765.5065,46.99,4.45,32174.55,1843278.66,-1843278.66,,,
0.18635625,4.46E-03,4.75E-02,-16587.0564,-15936.5396,47.53,4.46,32523.60,1863275.57,-1863275.57,,,
0.18835625,4.46E-03,4.81E-02,-16765.0709,-16107.5726,48.08,4.46,32872.64,1883272.48,-1883272.48,,,
0.19035625,4.46E-03,4.86E-02,-16943.0853,-16278.6056,48.63,4.46,33221.69,1903269.40,-1903269.4,,,
