TIME, UY_3, UX_2, FX_4, FY_5, FY_6,Displacement,Deflection,Load,Reaction,,,
2.00E-04,2.66E-03,3.09E-05,-2000.85301,-35.7682849,-34.3712136,0.03,2.66,70.14,2000.85,,,
4.00E-04,3.90E-03,5.95E-05,-3997.58033,-71.1955903,-68.4034613,0.06,3.90,139.60,3997.58,,,
7.00E-04,4.91E-03,1.11E-04,-6996.55847,-124.618982,-119.731146,0.11,4.91,244.35,6996.56,,,
1.15E-03,5.70E-03,2.00E-04,-11493.1446,-204.692592,-196.664187,0.20,5.70,401.36,11493.14,,,
1.83E-03,6.32E-03,3.45E-04,-18238.933,-324.829543,-312.089035,0.35,6.32,636.92,18238.93,,,
2.84E-03,6.79E-03,5.74E-04,-28357.7453,-505.04178,-485.232524,0.57,6.79,990.27,28357.75,,,
4.36E-03,7.17E-03,9.27E-04,-43535.9791,-775.361222,-744.948617,0.93,7.17,1520.31,43535.98,,,
6.36E-03,7.45E-03,1.40E-03,-63523.7836,-1131.3377,-1086.96169,1.40,7.45,2218.30,63523.78,,,
8.36E-03,7.62E-03,1.87E-03,-83511.5887,-1487.31287,-1428.97304,1.87,7.62,2916.29,83511.59,,,
1.04E-02,7.74E-03,2.35E-03,-103499.278,-1843.28838,-1770.98539,2.35,7.74,3614.27,103499.28,,,
1.24E-02,7.83E-03,2.83E-03,-123487.058,-2199.26474,-2112.99816,2.83,7.83,4312.26,123487.06,,,
1.44E-02,7.90E-03,3.30E-03,-143474.848,-2555.24112,-2455.0109,3.30,7.90,5010.25,143474.85,,,
1.64E-02,7.96E-03,3.78E-03,-163462.637,-2911.21745,-2797.02357,3.78,7.96,5708.24,163462.64,,,
1.84E-02,8.01E-03,4.26E-03,-183450.425,-3267.19378,-3139.03622,4.26,8.01,6406.23,183450.43,,,
2.04E-02,8.05E-03,4.75E-03,-203438.214,-3623.1701,-3481.04885,4.75,8.05,7104.22,203438.21,,,
2.24E-02,8.09E-03,5.23E-03,-223426.002,-3979.14642,-3823.06148,5.23,8.09,7802.21,223426.00,,,
2.44E-02,8.12E-03,5.71E-03,-243413.79,-4335.12275,-4165.0741,5.71,8.12,8500.20,243413.79,,,
2.64E-02,8.15E-03,6.20E-03,-263401.578,-4691.09907,-4507.08671,6.20,8.15,9198.19,263401.58,,,
2.84E-02,8.18E-03,6.68E-03,-283389.366,-5047.0754,-4849.09931,6.68,8.18,9896.17,283389.37,,,
3.04E-02,8.20E-03,7.17E-03,-303377.153,-5403.05173,-5191.11191,7.17,8.20,10594.16,303377.15,,,
3.24E-02,8.23E-03,7.65E-03,-323364.941,-5759.02806,-5533.12451,7.65,8.23,11292.15,323364.94,,,
3.44E-02,8.25E-03,8.14E-03,-343352.729,-6115.00438,-5875.1371,8.14,8.25,11990.14,343352.73,,,
3.64E-02,8.27E-03,8.63E-03,-363340.516,-6470.98071,-6217.14969,8.63,8.27,12688.13,363340.52,,,
3.84E-02,8.29E-03,9.12E-03,-383328.303,-6826.95704,-6559.16228,9.12,8.29,13386.12,383328.30,,,
4.04E-02,8.30E-03,9.60E-03,-403316.09,-7182.93336,-6901.17486,9.60,8.30,14084.11,403316.09,,14647.43714,419447.7198
4.24E-02,8.32E-03,1.01E-02,-423303.877,-7538.90968,-7243.18744,10.09,8.32,14782.10,423303.88,,,
4.44E-02,8.34E-03,1.06E-02,-443291.664,-7894.886,-7585.20002,10.59,8.34,15480.09,443291.66,,,
4.64E-02,8.35E-03,1.11E-02,-463279.451,-8250.86232,-7927.21259,11.08,8.35,16178.07,463279.45,,,
4.84E-02,8.37E-03,1.16E-02,-483267.238,-8606.83864,-8269.22516,11.57,8.37,16876.06,483267.24,,,
5.04E-02,8.38E-03,1.21E-02,-503255.024,-8962.81496,-8611.23773,12.06,8.38,17574.05,503255.02,,,
5.24E-02,8.39E-03,1.26E-02,-523242.81,-9318.79127,-8953.2503,12.56,8.39,18272.04,523242.81,,,
5.44E-02,8.41E-03,1.31E-02,-543230.597,-9674.76758,-9295.26287,13.05,8.41,18970.03,543230.60,,,
5.64E-02,8.42E-03,1.35E-02,-563218.383,-10030.7439,-9637.27543,13.55,8.42,19668.02,563218.38,,,
5.84E-02,8.43E-03,1.40E-02,-583206.169,-10386.7202,-9979.28799,14.04,8.43,20366.01,583206.17,,,
6.04E-02,8.44E-03,1.45E-02,-603193.955,-10742.6965,-10321.3006,14.54,8.44,21064.00,603193.96,,,
6.24E-02,8.45E-03,1.50E-02,-623181.74,-11098.6728,-10663.3131,15.04,8.45,21761.99,623181.74,,,
6.44E-02,8.46E-03,1.55E-02,-643169.526,-11454.6491,-11005.3257,15.53,8.46,22459.97,643169.53,,,
6.64E-02,8.48E-03,1.60E-02,-663157.312,-11810.6254,-11347.3382,16.03,8.48,23157.96,663157.31,,,
6.84E-02,8.49E-03,1.65E-02,-683145.097,-12166.6017,-11689.3508,16.53,8.49,23855.95,683145.10,,,
7.04E-02,8.50E-03,1.70E-02,-703132.882,-12522.578,-12031.3633,17.03,8.50,24553.94,703132.88,,,
7.24E-02,8.51E-03,1.75E-02,-723120.667,-12878.5542,-12373.3759,17.53,8.51,25251.93,723120.67,,,
7.44E-02,8.52E-03,1.80E-02,-743108.452,-13234.5305,-12715.3884,18.04,8.52,25949.92,743108.45,,,
7.64E-02,8.52E-03,1.85E-02,-763096.237,-13590.5068,-13057.401,18.54,8.52,26647.91,763096.24,,,
7.84E-02,8.53E-03,1.90E-02,-783084.022,-13946.4831,-13399.4135,19.04,8.53,27345.90,783084.02,,,
8.04E-02,8.54E-03,1.95E-02,-803071.806,-14302.4593,-13741.4261,19.55,8.54,28043.89,803071.81,,,
8.24E-02,8.55E-03,2.01E-02,-823059.591,-14658.4356,-14083.4386,20.05,8.55,28741.87,823059.59,,,
8.44E-02,8.56E-03,2.06E-02,-843047.375,-15014.4119,-14425.4512,20.56,8.56,29439.86,843047.38,,,
8.64E-02,8.57E-03,2.11E-02,-863035.159,-15370.3881,-14767.4637,21.06,8.57,30137.85,863035.16,,,
8.84E-02,8.58E-03,2.16E-02,-883022.943,-15726.3644,-15109.4763,21.57,8.58,30835.84,883022.94,,,
9.04E-02,8.59E-03,2.21E-02,-903010.727,-16082.3406,-15451.4888,22.08,8.59,31533.83,903010.73,,,
9.24E-02,8.60E-03,2.26E-02,-922998.51,-16438.3169,-15793.5013,22.59,8.60,32231.82,922998.51,,,
9.44E-02,8.60E-03,2.31E-02,-942986.294,-16794.2931,-16135.5139,23.10,8.60,32929.81,942986.29,,,
9.64E-02,8.61E-03,2.36E-02,-962974.077,-17150.2694,-16477.5264,23.61,8.61,33627.80,962974.08,,,
9.84E-02,8.62E-03,2.41E-02,-982961.861,-17506.2456,-16819.5389,24.12,8.62,34325.78,982961.86,,,
0.10035625,8.63E-03,2.46E-02,-1002949.64,-17862.2218,-17161.5515,24.63,8.63,35023.77,1002949.64,,,
0.10235625,8.63E-03,2.51E-02,-1022937.43,-18218.1981,-17503.564,25.14,8.63,35721.76,1022937.43,,,
0.10435625,8.64E-03,2.57E-02,-1042925.21,-18574.1743,-17845.5766,25.66,8.64,36419.75,1042925.21,,,
0.10635625,8.65E-03,2.62E-02,-1062912.99,-18930.1505,-18187.5891,26.17,8.65,37117.74,1062912.99,,,
0.10835625,8.66E-03,2.67E-02,-1082900.77,-19286.1267,-18529.6016,26.68,8.66,37815.73,1082900.77,,,
0.11035625,8.67E-03,2.72E-02,-1102888.56,-19642.1029,-18871.6142,27.20,8.67,38513.72,1102888.56,,,
0.11235625,8.67E-03,2.77E-02,-1122876.34,-19998.0791,-19213.6267,27.72,8.67,39211.71,1122876.34,,,
0.11435625,8.68E-03,2.82E-02,-1142864.12,-20354.0553,-19555.6392,28.23,8.68,39909.69,1142864.12,,,
0.11635625,8.69E-03,2.88E-02,-1162851.9,-20710.0315,-19897.6517,28.75,8.69,40607.68,1162851.90,,,
0.11835625,8.69E-03,2.93E-02,-1182839.69,-21066.0077,-20239.6643,29.27,8.69,41305.67,1182839.69,,,
0.12035625,8.70E-03,2.98E-02,-1202827.47,-21421.9839,-20581.6768,29.79,8.70,42003.66,1202827.47,,,
0.12235625,8.71E-03,3.03E-02,-1222815.25,-21777.9601,-20923.6893,30.31,8.71,42701.65,1222815.25,,,
0.12435625,8.72E-03,3.08E-02,-1242803.03,-22133.9363,-21265.7019,30.83,8.72,43399.64,1242803.03,,,
0.12635625,8.72E-03,3.14E-02,-1262790.81,-22489.9125,-21607.7144,31.35,8.72,44097.63,1262790.81,,,
0.12835625,8.73E-03,3.19E-02,-1282778.59,-22845.8886,-21949.7269,31.88,8.73,44795.62,1282778.59,,,
0.13035625,8.74E-03,3.24E-02,-1302766.37,-23201.8648,-22291.7394,32.40,8.74,45493.60,1302766.37,,,
0.13235625,8.74E-03,3.29E-02,-1322754.15,-23557.841,-22633.752,32.93,8.74,46191.59,1322754.15,,,
0.13435625,8.75E-03,3.35E-02,-1342741.93,-23913.8171,-22975.7645,33.45,8.75,46889.58,1342741.93,,,
0.13635625,8.76E-03,3.40E-02,-1362729.71,-24269.7933,-23317.777,33.98,8.76,47587.57,1362729.71,,,
0.13835625,8.76E-03,3.45E-02,-1382717.5,-24625.7694,-23659.7895,34.50,8.76,48285.56,1382717.50,,,
0.14035625,8.77E-03,3.50E-02,-1402705.28,-24981.7455,-24001.802,35.03,8.77,48983.55,1402705.28,,,
0.14235625,8.78E-03,3.56E-02,-1422693.06,-25337.7217,-24343.8146,35.56,8.78,49681.54,1422693.06,,,
0.14435625,8.78E-03,3.61E-02,-1442680.84,-25693.6978,-24685.8271,36.09,8.78,50379.52,1442680.84,,,
0.14635625,8.79E-03,3.66E-02,-1462668.61,-26049.6739,-25027.8396,36.62,8.79,51077.51,1462668.61,,,
0.14835625,8.80E-03,3.72E-02,-1482656.39,-26405.6501,-25369.8521,37.15,8.80,51775.50,1482656.39,,,
0.15035625,8.80E-03,3.77E-02,-1502644.17,-26761.6262,-25711.8646,37.68,8.80,52473.49,1502644.17,,,
0.15235625,8.81E-03,3.82E-02,-1522631.95,-27117.6023,-26053.8771,38.22,8.81,53171.48,1522631.95,,,
0.15435625,8.82E-03,3.87E-02,-1542619.73,-27473.5784,-26395.8897,38.75,8.82,53869.47,1542619.73,,,
0.15635625,8.82E-03,3.93E-02,-1562607.51,-27829.5545,-26737.9022,39.28,8.82,54567.46,1562607.51,,,
0.15835625,8.83E-03,3.98E-02,-1582595.29,-28185.5306,-27079.9147,39.82,8.83,55265.45,1582595.29,,,
