TIME, UX_2
2.E-04, 2.380471389E-06
4.E-04, 4.760184801E-06
7.E-04, 8.328405278E-06
1.1E-03, 1.308367547E-05
1.5E-03, 1.783646216E-05
1.9E-03, 2.258697834E-05
2.3E-03, 2.733542002E-05
2.7E-03, 3.208196725E-05
3.1E-03, 3.682678584E-05
3.5E-03, 4.157002851E-05
3.9E-03, 4.631183607E-05
4.3E-03, 5.105233838E-05
4.7E-03, 5.579165531E-05
5.1E-03, 6.052989751E-05
5.5E-03, 6.52671672E-05
5.9E-03, 7.000355887E-05
6.3E-03, 7.473915987E-05
6.7E-03, 7.947405097E-05
7.1E-03, 8.420830695E-05
7.5E-03, 8.894199699E-05
7.9E-03, 9.367518516E-05
8.3E-03, 9.840793078E-05
8.7E-03, 1.031402888E-04
9.1E-03, 1.078723102E-04
9.5E-03, 1.12604042E-04
9.9E-03, 1.173355281E-04
1.03E-02, 1.22066809E-04
1.07E-02, 1.267979223E-04
1.11E-02, 1.315289028E-04
1.15E-02, 1.362597827E-04
1.19E-02, 1.409905922E-04
1.23E-02, 1.457213588E-04
1.27E-02, 1.504521083E-04
1.31E-02, 1.551828646E-04
1.35E-02, 1.599136498E-04
1.39E-02, 1.646444842E-04
1.43E-02, 1.69375387E-04
1.47E-02, 1.741063755E-04
1.51E-02, 1.788374661E-04
1.55E-02, 1.835686738E-04
1.59E-02, 1.883000124E-04
1.63E-02, 1.930314947E-04
1.67E-02, 1.977631327E-04
1.71E-02, 2.024949372E-04
1.75E-02, 2.072269183E-04
1.79E-02, 2.119590852E-04
1.83E-02, 2.166914466E-04
1.87E-02, 2.214240102E-04
1.91E-02, 2.261567832E-04
1.95E-02, 2.308897723E-04
1.99E-02, 2.356229834E-04
2.03E-02, 2.40356422E-04
2.07E-02, 2.450900932E-04
2.11E-02, 2.498240014E-04
2.15E-02, 2.54558151E-04
2.19E-02, 2.592925454E-04
2.23E-02, 2.640271882E-04
2.27E-02, 2.687620823E-04
2.31E-02, 2.734972304E-04
2.35E-02, 2.782326349E-04
2.39E-02, 2.829682979E-04
2.43E-02, 2.877042212E-04
2.47E-02, 2.924404064E-04
2.51E-02, 2.971768549E-04
2.55E-02, 3.019135679E-04
2.59E-02, 3.066505462E-04
2.63E-02, 3.113877906E-04
2.67E-02, 3.161253018E-04
2.71E-02, 3.208630801E-04
2.75E-02, 3.256011259E-04
2.79E-02, 3.303394392E-04
2.83E-02, 3.350780201E-04
2.87E-02, 3.398168685E-04
2.91E-02, 3.44555984E-04
2.95E-02, 3.492953665E-04
2.99E-02, 3.540350155E-04
3.03E-02, 3.587749304E-04
3.07E-02, 3.635151106E-04
3.11E-02, 3.682555555E-04
3.15E-02, 3.729962644E-04
3.19E-02, 3.777372363E-04
3.23E-02, 3.824784704E-04
3.27E-02, 3.872199658E-04
3.31E-02, 3.919617215E-04
3.35E-02, 3.967037365E-04
3.39E-02, 4.014460096E-04
3.43E-02, 4.061885398E-04
3.47E-02, 4.109313258E-04
3.51E-02, 4.156743666E-04
3.55E-02, 4.204176608E-04
3.59E-02, 4.251612073E-04
3.63E-02, 4.299050048E-04
3.67E-02, 4.346490519E-04
3.71E-02, 4.393933473E-04
3.75E-02, 4.441378898E-04
3.79E-02, 4.48882678E-04
3.83E-02, 4.536277104E-04
