TIME, UX_2, FY_5, FY_6, FX_4,,,,
2.00E-04,2.37E-06,-1.70742088,-1.6080969,-99.9450186,0.00,-3.31551778,,
4.00E-04,4.74E-06,-3.41472462,-3.21631106,-199.890043,0.00,-6.63103568,,
7.00E-04,8.26E-06,-5.97546331,-5.62884913,-349.807576,0.01,-11.60431244,,
1.15E-03,1.35E-05,-9.81609177,-9.2481358,-574.683874,0.01,-19.06422757,,
1.83E-03,2.13E-05,-15.5759832,-14.6781171,-911.998322,0.02,-30.2541003,,
2.83E-03,3.27E-05,-24.1069274,-22.7247621,-1411.72343,0.03,-46.8316895,,
3.83E-03,4.39E-05,-32.6353333,-30.7739454,-1911.44854,0.04,-63.4092787,,
4.83E-03,5.49E-05,-41.1613333,-38.8255346,-2411.17365,0.05,-79.9868679,,
5.83E-03,6.59E-05,-49.6850474,-46.8794096,-2910.89875,0.07,-96.564457,,
6.83E-03,7.68E-05,-58.2065972,-54.935449,-3410.62386,0.08,-113.1420462,,
7.83E-03,8.77E-05,-66.7260867,-62.9935487,-3910.34897,0.09,-129.7196354,,
8.83E-03,9.85E-05,-75.2436167,-71.0536079,-4410.07407,0.10,-146.2972246,,
9.83E-03,1.09E-04,-83.7592818,-79.115532,-4909.79918,0.11,-162.8748138,,
1.08E-02,1.20E-04,-92.2731707,-87.1792323,-5409.52429,0.12,-179.452403,,
1.18E-02,1.31E-04,-100.785367,-95.2446255,-5909.2494,0.13,-196.0299925,,
1.28E-02,1.41E-04,-109.295948,-103.311633,-6408.9745,0.14,-212.607581,,
1.38E-02,1.52E-04,-117.804989,-111.380181,-6908.69961,0.15,-229.18517,,
1.48E-02,1.63E-04,-126.312559,-119.450201,-7408.42472,0.16,-245.76276,,
1.58E-02,1.74E-04,-134.818723,-127.521626,-7908.14983,0.17,-262.340349,,
1.68E-02,1.84E-04,-143.323542,-135.594396,-8407.87494,0.18,-278.917938,,
1.78E-02,1.95E-04,-151.827077,-143.668451,-8907.60004,0.19,-295.495528,,
1.88E-02,2.06E-04,-160.32938,-151.743736,-9407.32515,0.21,-312.073116,,
1.98E-02,2.16E-04,-168.830505,-159.8202,-9907.05026,0.22,-328.650705,,
2.08E-02,2.27E-04,-177.330501,-167.897794,-10406.7754,0.23,-345.228295,,
2.18E-02,2.38E-04,-185.829414,-175.97647,-10906.5005,0.24,-361.805884,,
2.28E-02,2.49E-04,-194.327289,-184.056184,-11406.2256,0.25,-378.383473,,
2.38E-02,2.60E-04,-202.824167,-192.136895,-11905.9507,0.26,-394.961062,,
2.48E-02,2.70E-04,-211.320089,-200.218563,-12405.6758,0.27,-411.538652,,
2.58E-02,2.81E-04,-219.815091,-208.30115,-12905.4009,0.28,-428.116241,,
2.68E-02,2.92E-04,-228.30921,-216.38462,-13405.126,0.29,-444.69383,,
2.78E-02,3.03E-04,-236.80248,-224.468939,-13904.8511,0.30,-461.271419,,
2.88E-02,3.14E-04,-245.294933,-232.554076,-14404.5762,0.31,-477.849009,,
2.98E-02,3.25E-04,-253.786599,-240.639998,-14904.3013,0.32,-494.426597,,
3.08E-02,3.36E-04,-262.277509,-248.726678,-15404.0264,0.34,-511.004187,,
3.18E-02,3.47E-04,-270.76769,-256.814086,-15903.7515,0.35,-527.581776,,
3.28E-02,3.58E-04,-279.257168,-264.902197,-16403.4767,0.36,-544.159365,,
3.38E-02,3.69E-04,-287.745969,-272.990985,-16903.2018,0.37,-560.736954,,
3.48E-02,3.80E-04,-296.234117,-281.080426,-17402.9269,0.38,-577.314543,,
3.58E-02,3.91E-04,-304.721636,-289.170497,-17902.652,0.39,-593.892133,,
3.68E-02,4.02E-04,-313.208546,-297.261176,-18402.3771,0.40,-610.469722,,
3.78E-02,4.13E-04,-321.69487,-305.352442,-18902.1022,0.41,-627.047312,,
3.88E-02,4.24E-04,-330.180626,-313.444274,-19401.8273,0.42,-643.6249,,
3.98E-02,4.35E-04,-338.665835,-321.536654,-19901.5524,0.44,-660.202489,,
4.08E-02,4.46E-04,-347.150515,-329.629564,-20401.2775,0.45,-676.780079,,
4.18E-02,4.57E-04,-355.634683,-337.722985,-20901.0026,0.46,-693.357668,,
4.28E-02,4.68E-04,-364.118357,-345.816901,-21400.7277,0.47,-709.935258,,
4.38E-02,4.80E-04,-372.601551,-353.911295,-21900.4528,0.48,-726.512846,,
4.48E-02,4.91E-04,-381.084282,-362.006153,-22400.1779,0.49,-743.090435,,
