TIME, UX_5, FX_2, FY_3, FY_4,,,,,
2.00E-04,2.37E-06,-99.9420874,-1.75233589,-1.65039911,0.00,-3.402735,,,
4.00E-04,4.74E-06,-199.88418,-3.50455156,-3.30091856,0.00,-6.80547012,,,
7.00E-04,8.26E-06,-349.797316,-6.13265244,-5.77692027,0.01,-11.90957271,,,
1.15E-03,1.35E-05,-574.667019,-10.0743116,-9.491415,0.01,-19.5657266,,,
1.83E-03,2.13E-05,-911.971573,-15.9857214,-15.064236,0.02,-31.0499574,,,
2.83E-03,3.26E-05,-1411.68202,-24.7410788,-23.3225539,0.03,-48.0636327,,,
3.83E-03,4.38E-05,-1911.39248,-33.4938312,-31.5834768,0.04,-65.077308,,,
4.83E-03,5.48E-05,-2411.10293,-42.2441146,-39.8468688,0.05,-82.0909834,,,
5.83E-03,6.58E-05,-2910.81337,-50.9920518,-48.1126067,0.07,-99.1046585,,,
6.83E-03,7.66E-05,-3410.52383,-59.7377681,-56.3805658,0.08,-116.1183339,,,
7.83E-03,8.74E-05,-3910.23428,-68.48137,-64.6506392,0.09,-133.1320092,,,
8.83E-03,9.81E-05,-4409.94473,-77.2229608,-72.9227236,0.10,-150.1456844,,,
9.83E-03,1.09E-04,-4909.65518,-85.9626378,-81.1967219,0.11,-167.1593597,,,
1.08E-02,1.20E-04,-5409.36563,-94.7004919,-89.4725431,0.12,-184.173035,,,
1.18E-02,1.30E-04,-5909.07608,-103.436609,-97.7501016,0.13,-201.1867106,,,
1.28E-02,1.41E-04,-6408.78653,-112.171069,-106.029317,0.14,-218.200386,,,
1.38E-02,1.51E-04,-6908.49698,-120.903947,-114.310113,0.15,-235.21406,,,
1.48E-02,1.62E-04,-7408.20743,-129.635316,-122.59242,0.16,-252.227736,,,
1.58E-02,1.73E-04,-7907.91788,-138.365243,-130.876169,0.17,-269.241412,,,
1.68E-02,1.83E-04,-8407.62833,-147.093789,-139.161297,0.18,-286.255086,,,
1.78E-02,1.94E-04,-8907.33878,-155.821017,-147.447745,0.19,-303.268762,,,
1.88E-02,2.05E-04,-9407.04923,-164.546982,-155.735456,0.20,-320.282438,,,
1.98E-02,2.15E-04,-9906.75968,-173.271737,-164.024376,0.22,-337.296113,,,
2.08E-02,2.26E-04,-10406.4701,-181.995333,-172.314455,0.23,-354.309788,,,
2.18E-02,2.37E-04,-10906.1806,-190.717818,-180.605645,0.24,-371.323463,,,
2.28E-02,2.48E-04,-11405.891,-199.439237,-188.897901,0.25,-388.337138,,,
2.38E-02,2.58E-04,-11905.6015,-208.159634,-197.19118,0.26,-405.350814,,,
2.48E-02,2.69E-04,-12405.3119,-216.879049,-205.48544,0.27,-422.364489,,,
2.58E-02,2.80E-04,-12905.0224,-225.59752,-213.780644,0.28,-439.378164,,,
2.68E-02,2.91E-04,-13404.7328,-234.315085,-222.076754,0.29,-456.391839,,,
2.78E-02,3.02E-04,-13904.4433,-243.031779,-230.373736,0.30,-473.405515,,,
2.88E-02,3.12E-04,-14404.1537,-251.747634,-238.671557,0.31,-490.419191,,,
2.98E-02,3.23E-04,-14903.8642,-260.462682,-246.970184,0.32,-507.432866,,,
3.08E-02,3.34E-04,-15403.5746,-269.176953,-255.269588,0.33,-524.446541,,,
3.18E-02,3.45E-04,-15903.2851,-277.890476,-263.56974,0.35,-541.460216,,,
3.28E-02,3.56E-04,-16402.9955,-286.603279,-271.870613,0.36,-558.473892,,,
3.38E-02,3.67E-04,-16902.706,-295.315386,-280.172181,0.37,-575.487567,,,
3.48E-02,3.78E-04,-17402.4164,-304.026824,-288.474419,0.38,-592.501243,,,
3.58E-02,3.89E-04,-17902.1269,-312.737614,-296.777303,0.39,-609.514917,,,
3.68E-02,4.00E-04,-18401.8373,-321.447781,-305.080811,0.40,-626.528592,,,
3.78E-02,4.11E-04,-18901.5478,-330.157346,-313.384922,0.41,-643.542268,,,
3.88E-02,4.22E-04,-19401.2582,-338.866329,-321.689614,0.42,-660.555943,,,
3.98E-02,4.33E-04,-19900.9687,-347.57475,-329.994868,0.43,-677.569618,,,
4.08E-02,4.44E-04,-20400.6791,-356.282628,-338.300666,0.44,-694.583294,,,
4.18E-02,4.55E-04,-20900.3896,-364.989981,-346.606989,0.46,-711.59697,,,
4.28E-02,4.66E-04,-21400.1,-373.696825,-354.913819,0.47,-728.610644,,,
4.38E-02,4.77E-04,-21899.8105,-382.403179,-363.221141,0.48,-745.62432,,,
4.48E-02,4.89E-04,-22399.5209,-391.109057,-371.528938,0.49,-762.637995,,,
4.58E-02,5.00E-04,-22899.2314,-399.814474,-379.837196,0.50,-779.65167,,,
4.68E-02,5.11E-04,-23398.9418,-408.519446,-388.1459,0.51,-796.665346,,,
4.78E-02,5.22E-04,-23898.6523,-417.223986,-396.455035,0.52,-813.679021,,,
4.88E-02,5.33E-04,-24398.3627,-425.928107,-404.764589,0.53,-830.692696,,,
4.98E-02,5.44E-04,-24898.0732,-434.631822,-413.074549,0.54,-847.706371,,,
5.08E-02,5.56E-04,-25397.7837,-443.335144,-421.384902,0.56,-864.720046,,,
5.18E-02,5.67E-04,-25897.4941,-452.038085,-429.695637,0.57,-881.733722,,,
5.28E-02,5.78E-04,-26397.2046,-460.740655,-438.006742,0.58,-898.747397,,,
5.38E-02,5.89E-04,-26896.915,-469.442867,-446.318206,0.59,-915.761073,,,
5.48E-02,6.01E-04,-27396.6255,-478.144729,-454.630019,0.60,-932.774748,,,
5.58E-02,6.12E-04,-27896.3359,-486.846253,-462.94217,0.61,-949.788423,,,
5.68E-02,6.23E-04,-28396.0464,-495.547448,-471.254651,0.62,-966.802099,,,
5.78E-02,6.34E-04,-28895.7568,-504.248323,-479.567451,0.63,-983.815774,,,
5.88E-02,6.46E-04,-29395.4673,-512.948888,-487.880561,0.65,-1000.829449,,,
5.98E-02,6.57E-04,-29895.1777,-521.649151,-496.193973,0.66,-1017.843124,,,
6.08E-02,6.68E-04,-30394.8882,-530.34912,-504.507679,0.67,-1034.856799,,,
6.18E-02,6.80E-04,-30894.5986,-539.048804,-512.821671,0.68,-1051.870475,,,
6.28E-02,6.91E-04,-31394.3091,-547.748211,-521.13594,0.69,-1068.884151,,,
6.38E-02,7.02E-04,-31894.0195,-556.447347,-529.450479,0.70,-1085.897826,,,
6.48E-02,7.14E-04,-32393.73,-565.14622,-537.765281,0.71,-1102.911501,,,
6.58E-02,7.25E-04,-32893.4404,-573.844837,-546.08034,0.73,-1119.925177,,,
6.68E-02,7.37E-04,-33393.1509,-582.543204,-554.395647,0.74,-1136.938851,,,
6.78E-02,7.48E-04,-33892.8613,-591.241329,-562.711198,0.75,-1153.952527,,,
6.88E-02,7.59E-04,-34392.5718,-599.939217,-571.026985,0.76,-1170.966202,,,
