TIME, FY_4
2.E-04, -5.121894698E-02
4.E-04, -0.102437894
7.E-04, -0.179266315
1.15E-03, -0.294508947
1.825E-03, -0.467372902
2.8375E-03, -0.726668864
4.35625E-03, -1.11561295
6.35625E-03, -1.62780302
8.35625E-03, -2.13999273
1.035625E-02, -2.65218219
1.235625E-02, -3.16437165
1.435625E-02, -3.6765611
1.635625E-02, -4.18875055
1.835625E-02, -4.70093999
2.035625E-02, -5.21312943
2.235625E-02, -5.72531886
2.435625E-02, -6.23750827
2.635625E-02, -6.74969769
2.835625E-02, -7.26188709
3.035625E-02, -7.77407649
3.235625E-02, -8.28626587
3.435625E-02, -8.79845524
3.635625E-02, -9.31064461
3.835625E-02, -9.82283396
4.035625E-02, -10.3350233
4.235625E-02, -10.8472126
4.435625E-02, -11.3594019
4.635625E-02, -11.8715912
4.835625E-02, -12.3837805
5.035625E-02, -12.8959698
5.235625E-02, -13.408159
5.435625E-02, -13.9203483
5.635625E-02, -14.4325375
5.835625E-02, -14.9447267
6.035625E-02, -15.4569159
6.235625E-02, -15.9691051
6.435625E-02, -16.4812942
6.635625E-02, -16.9934834
6.835625E-02, -17.5056725
7.035625E-02, -18.0178616
7.235625E-02, -18.5300507
7.435625E-02, -19.0422397
7.635625E-02, -19.5544287
7.835625E-02, -20.0666178
8.035625E-02, -20.5788068
8.235625E-02, -21.0909958
8.435625E-02, -21.6031847
8.635625E-02, -22.1153736
8.835625E-02, -22.6275626
9.035625E-02, -23.1397514
9.235625E-02, -23.6519403
9.435625E-02, -24.1641292
9.635625E-02, -24.676318
9.835625E-02, -25.1885068
0.10035625, -25.7006956
0.10235625, -26.2128843
0.10435625, -26.725073
0.10635625, -27.2372617
0.10835625, -27.7494504
0.11035625, -28.2616391
0.11235625, -28.7738277
0.11435625, -29.2860163
0.11635625, -29.7982049
0.11835625, -30.3103934
0.12035625, -30.8225819
0.12235625, -31.3347704
0.12435625, -31.8469589
0.12635625, -32.3591474
0.12835625, -32.8713358
0.13035625, -33.3835242
0.13235625, -33.8957125
0.13435625, -34.4079008
0.13635625, -34.9200892
0.13835625, -35.4322775
0.14035625, -35.9444657
0.14235625, -36.4566539
0.14435625, -36.9688421
0.14635625, -37.4810303
0.14835625, -37.9932184
0.15035625, -38.5054066
0.15235625, -39.0175946
0.15435625, -39.5297827
0.15635625, -40.0419707
0.15835625, -40.5541587
0.16035625, -41.0663467
0.16235625, -41.5785346
0.16435625, -42.0907225
0.16635625, -42.6029104
0.16835625, -43.1150982
0.17035625, -43.6272861
0.17235625, -44.1394738
0.17435625, -44.6516616
0.17635625, -45.1638493
0.17835625, -45.6760371
0.18035625, -46.1882247
0.18235625, -46.7004123
0.18435625, -47.2125999
0.18635625, -47.7247875
0.18835625, -48.2369751
0.19035625, -48.7491626
0.19235625, -49.2613501
0.19435625, -49.7735375
0.19635625, -50.2857249
0.19835625, -50.7979123
0.20035625, -51.3100997
0.20235625, -51.822287
0.20435625, -52.3344743
0.20635625, -52.8466616
0.20835625, -53.3588488
0.21035625, -53.871036
0.21235625, -54.3832232
0.21435625, -54.8954103
0.21635625, -55.4075974
0.21835625, -55.9197845
0.22035625, -56.4319715
0.22235625, -56.9441585
0.22435625, -57.4563455
0.22635625, -57.9685325
0.22835625, -58.4807194
0.23035625, -58.9929063
0.23235625, -59.5050931
0.23435625, -60.0172799
0.23635625, -60.5294667
0.23835625, -61.0416535
0.24035625, -61.5538402
0.24235625, -62.0660269
0.24435625, -62.5782136
0.24635625, -63.0904002
0.24835625, -63.6025868
0.25035625, -64.1147733
0.25235625, -64.6269599
0.25435625, -65.1391464
0.25635625, -65.6513328
0.25835625, -66.1635193
0.26035625, -66.6757057
0.26235625, -67.1878921
0.26435625, -67.7000784
0.26635625, -68.2122647
0.26835625, -68.7244509
0.27035625, -69.2366372
0.27235625, -69.7488234
0.27435625, -70.2610096
0.27635625, -70.7731957
0.27835625, -71.2853818
0.28035625, -71.7975679
0.28235625, -72.309754
0.28435625, -72.82194
0.28635625, -73.3341259
0.28835625, -73.8463119
0.29035625, -74.3584978
0.29235625, -74.8706837
0.29435625, -75.3828695
0.29635625, -75.8950554
0.29835625, -76.4072411
0.30035625, -76.9194269
0.30235625, -77.4316127
0.30435625, -77.9437983
0.30635625, -78.455984
0.30835625, -78.9681696
0.31035625, -79.4803552
0.31235625, -79.9925408
0.31435625, -80.5047263
0.31635625, -81.0169118
0.31835625, -81.5290973
0.32035625, -82.0412827
0.32235625, -82.5534681
0.32435625, -83.0656535
0.32635625, -83.5778388
0.32835625, -84.0900241
0.33035625, -84.6022094
0.33235625, -85.1143946
0.33435625, -85.6265798
0.33635625, -86.138765
0.33835625, -86.6509502
0.34035625, -87.1631352
0.34235625, -87.6753203
0.34435625, -88.1875054
0.34635625, -88.6996904
0.34835625, -89.2118754
0.35035625, -89.7240604
0.35235625, -90.2362453
0.35435625, -90.7484302
0.35635625, -91.2606151
0.35835625, -91.7727999
0.36035625, -92.2849847
0.36235625, -92.7971694
0.36435625, -93.3093542
0.36635625, -93.8215389
0.36835625, -94.3337236
0.37035625, -94.8459082
0.37235625, -95.3580928
0.37435625, -95.8702774
0.37635625, -96.3824619
0.37835625, -96.8946464
0.38035625, -97.406831
0.38235625, -97.9190154
0.38435625, -98.4311998
0.38635625, -98.9433842
0.38835625, -99.4555686
0.39035625, -99.9677529
0.39235625, -100.479937
0.39435625, -100.992121
0.39635625, -101.504306
0.39835625, -102.01649
0.40035625, -102.528674
0.40235625, -103.040858
0.40435625, -103.553042
0.40635625, -104.065226
0.40835625, -104.57741
0.41035625, -105.089594
0.41235625, -105.601779
0.41435625, -106.113962
0.41635625, -106.626146
0.41835625, -107.13833
0.42035625, -107.650514
0.42235625, -108.162698
0.42435625, -108.674882
0.42635625, -109.187066
0.42835625, -109.699249
0.43035625, -110.211433
0.43235625, -110.723617
0.43435625, -111.2358
0.43635625, -111.747984
0.43835625, -112.260168
0.44035625, -112.772351
0.44235625, -113.284535
0.44435625, -113.796718
0.44635625, -114.308902
0.44835625, -114.821085
0.45035625, -115.333269
0.45235625, -115.845452
0.45435625, -116.357635
0.45635625, -116.869819
0.45835625, -117.382002
0.46035625, -117.894185
0.46235625, -118.406369
0.46435625, -118.918552
0.46635625, -119.430735
0.46835625, -119.942918
0.47035625, -120.455101
0.47235625, -120.967284
0.47435625, -121.479467
0.47635625, -121.99165
0.47835625, -122.503833
0.48035625, -123.016016
0.48235625, -123.528199
0.48435625, -124.040382
0.48635625, -124.552565
0.48835625, -125.064748
0.49035625, -125.576931
0.49235625, -126.089114
0.49435625, -126.601296
0.49635625, -127.113479
0.49835625, -127.625662
0.50035625, -128.137845
0.50235625, -128.650027
0.50435625, -129.16221
0.50635625, -129.674393
0.50835625, -130.186575
0.51035625, -130.698758
0.51235625, -131.21094
0.51435625, -131.723123
0.51635625, -132.235305
0.51835625, -132.747488
0.52035625, -133.25967
0.52235625, -133.771852
0.52435625, -134.284035
0.52635625, -134.796217
0.52835625, -135.308399
0.53035625, -135.820582
0.53235625, -136.332764
0.53435625, -136.844946
0.53635625, -137.357128
0.53835625, -137.869311
0.54035625, -138.381493
0.54235625, -138.893675
0.54435625, -139.405857
0.54635625, -139.918039
0.54835625, -140.430221
0.55035625, -140.942403
0.55235625, -141.454585
0.55435625, -141.966767
0.55635625, -142.478949
0.55835625, -142.991131
0.56035625, -143.503313
0.56235625, -144.015494
0.56435625, -144.527676
0.56635625, -145.039858
0.56835625, -145.55204
0.57035625, -146.064222
0.57235625, -146.576403
0.57435625, -147.088585
0.57635625, -147.600767
0.57835625, -148.112948
0.58035625, -148.62513
0.58235625, -149.137311
0.58435625, -149.649493
0.58635625, -150.161675
0.58835625, -150.673856
0.59035625, -151.186038
0.59235625, -151.698219
0.59435625, -152.2104
0.59635625, -152.722582
0.59835625, -153.234763
0.60035625, -153.746945
0.60235625, -154.259126
0.60435625, -154.771307
0.60635625, -155.283488
0.60835625, -155.79567
0.61035625, -156.307851
0.61235625, -156.820032
0.61435625, -157.332213
0.61635625, -157.844394
0.61835625, -158.356575
0.62035625, -158.868757
0.62235625, -159.380938
0.62435625, -159.893119
0.62635625, -160.4053
0.62835625, -160.917481
0.63035625, -161.429662
0.63235625, -161.941843
0.63435625, -162.454024
0.63635625, -162.966204
0.63835625, -163.478385
0.64035625, -163.990566
0.64235625, -164.502747
0.64435625, -165.014928
0.64635625, -165.527108
0.64835625, -166.039289
0.65035625, -166.55147
0.65235625, -167.063651
0.65435625, -167.575831
0.65635625, -168.088012
0.65835625, -168.600193
0.66035625, -169.112373
0.66235625, -169.624554
0.66435625, -170.136734
0.66635625, -170.648915
0.66835625, -171.161095
0.67035625, -171.673276
0.67235625, -172.185456
0.67435625, -172.697637
0.67635625, -173.209817
0.67835625, -173.721997
0.68035625, -174.234178
0.68235625, -174.746358
0.68435625, -175.258538
0.68635625, -175.770719
0.68835625, -176.282899
0.69035625, -176.795079
0.69235625, -177.307259
0.69435625, -177.81944
0.69635625, -178.33162
0.69835625, -178.8438
0.70035625, -179.35598
0.70235625, -179.86816
0.70435625, -180.38034
