TIME, FY_4
2.E-04, -0.479292318
4.E-04, -0.958584695
7.E-04, -1.67752329
1.15E-03, -2.75593152
1.825E-03, -4.3735453
2.8375E-03, -6.79997238
4.35625E-03, -10.4396427
6.35625E-03, -15.2326895
8.35625E-03, -20.0256745
1.035625E-02, -24.8186054
1.235625E-02, -29.6115319
1.435625E-02, -34.4044558
1.635625E-02, -39.1973752
1.835625E-02, -43.9902894
2.035625E-02, -48.7831978
2.235625E-02, -53.5760998
2.435625E-02, -58.3689949
2.635625E-02, -63.1618823
2.835625E-02, -67.9547615
3.035625E-02, -72.7476319
3.235625E-02, -77.5404929
3.435625E-02, -82.3333439
3.635625E-02, -87.1261843
3.835625E-02, -91.9190136
4.035625E-02, -96.7118312
4.235625E-02, -101.504636
4.435625E-02, -106.297429
4.635625E-02, -111.090207
4.835625E-02, -115.882972
5.035625E-02, -120.675722
5.235625E-02, -125.468457
5.435625E-02, -130.261176
5.635625E-02, -135.053879
5.835625E-02, -139.846565
6.035625E-02, -144.639234
6.235625E-02, -149.431884
6.435625E-02, -154.224516
6.635625E-02, -159.017129
6.835625E-02, -163.809722
7.035625E-02, -168.602296
7.235625E-02, -173.394848
7.435625E-02, -178.187379
7.635625E-02, -182.979889
7.835625E-02, -187.772376
8.035625E-02, -192.56484
8.235625E-02, -197.357281
8.435625E-02, -202.149698
8.635625E-02, -206.942091
8.835625E-02, -211.734458
9.035625E-02, -216.526801
9.235625E-02, -221.319117
9.435625E-02, -226.111407
9.635625E-02, -230.90367
9.835625E-02, -235.695906
0.10035625, -240.488113
0.10235625, -245.280292
0.10435625, -250.072442
0.10635625, -254.864563
0.10835625, -259.656654
0.11035625, -264.448714
0.11235625, -269.240744
0.11435625, -274.032742
0.11635625, -278.824708
0.11835625, -283.616642
0.12035625, -288.408544
0.12235625, -293.200411
0.12435625, -297.992246
0.12635625, -302.784046
0.12835625, -307.575811
0.13035625, -312.367541
0.13235625, -317.159236
0.13435625, -321.950895
0.13635625, -326.742517
0.13835625, -331.534102
0.14035625, -336.32565
0.14235625, -341.11716
0.14435625, -345.908632
0.14635625, -350.700065
0.14835625, -355.491459
0.15035625, -360.282814
0.15235625, -365.074128
0.15435625, -369.865402
0.15635625, -374.656635
0.15835625, -379.447828
0.16035625, -384.238978
0.16235625, -389.030086
0.16435625, -393.821152
0.16635625, -398.612174
0.16835625, -403.403154
0.17035625, -408.19409
0.17235625, -412.984981
0.17435625, -417.775829
0.17635625, -422.566631
0.17835625, -427.357388
0.18035625, -432.148099
0.18235625, -436.938764
0.18435625, -441.729382
0.18635625, -446.519954
0.18835625, -451.310478
0.19035625, -456.100955
0.19235625, -460.891384
0.19435625, -465.681764
0.19635625, -470.472096
0.19835625, -475.262378
0.20035625, -480.052611
0.20235625, -484.842794
0.20435625, -489.632926
0.20635625, -494.423009
0.20835625, -499.21304
0.21035625, -504.00302
0.21235625, -508.792948
0.21435625, -513.582824
0.21635625, -518.372648
0.21835625, -523.162418
0.22035625, -527.952136
0.22235625, -532.741801
0.22435625, -537.531412
0.22635625, -542.320968
0.22835625, -547.110471
0.23035625, -551.899918
0.23235625, -556.68931
0.23435625, -561.478647
0.23635625, -566.267929
0.23835625, -571.057154
0.24035625, -575.846323
0.24235625, -580.635434
0.24435625, -585.424489
0.24635625, -590.213487
0.24835625, -595.002427
0.25035625, -599.791309
0.25235625, -604.580133
0.25435625, -609.368898
0.25635625, -614.157604
0.25835625, -618.946251
0.26035625, -623.734839
0.26235625, -628.523367
0.26435625, -633.311834
0.26635625, -638.100242
0.26835625, -642.888588
0.27035625, -647.676874
0.27235625, -652.465098
0.27435625, -657.253261
0.27635625, -662.041363
0.27835625, -666.829401
0.28035625, -671.617378
