TIME, FY_6
2.E-04, -2.66905023
4.E-04, -5.33956142
7.E-04, -9.34196899
1.15E-03, -15.3475247
1.825E-03, -24.3558935
2.8375E-03, -37.8687052
4.35625E-03, -58.1390562
6.35625E-03, -84.8316389
8.35625E-03, -111.520662
1.035625E-02, -138.211612
1.235625E-02, -164.903045
1.435625E-02, -191.594552
1.635625E-02, -218.286082
1.835625E-02, -244.989306
2.035625E-02, -271.676252
2.235625E-02, -298.365033
2.435625E-02, -325.055051
2.635625E-02, -351.745691
2.835625E-02, -378.436688
3.035625E-02, -405.127902
3.235625E-02, -431.819249
3.435625E-02, -458.510681
3.635625E-02, -485.202169
3.835625E-02, -511.893695
4.035625E-02, -538.585247
4.235625E-02, -565.276817
4.435625E-02, -591.968401
4.635625E-02, -618.659995
4.835625E-02, -645.351596
5.035625E-02, -672.043203
5.235625E-02, -698.734815
5.435625E-02, -725.426431
5.635625E-02, -752.11805
5.835625E-02, -778.809671
6.035625E-02, -805.501295
6.235625E-02, -832.19292
6.435625E-02, -858.884548
6.635625E-02, -885.576177
6.835625E-02, -912.267807
7.035625E-02, -938.959438
7.235625E-02, -965.651071
7.435625E-02, -992.342705
7.635625E-02, -1019.03434
7.835625E-02, -1045.72598
8.035625E-02, -1072.41761
8.235625E-02, -1099.10925
8.435625E-02, -1125.80089
8.635625E-02, -1152.49253
8.835625E-02, -1179.18417
9.035625E-02, -1205.87581
9.235625E-02, -1232.56745
9.435625E-02, -1259.25909
9.635625E-02, -1285.95073
9.835625E-02, -1312.64237
0.10035625, -1339.33402
0.10235625, -1366.02566
0.10435625, -1392.7173
0.10635625, -1419.40895
0.10835625, -1446.1006
0.11035625, -1472.79224
0.11235625, -1499.48389
0.11435625, -1526.17553
0.11635625, -1552.86718
0.11835625, -1579.55883
0.12035625, -1606.25048
0.12235625, -1632.94212
0.12435625, -1659.63377
0.12635625, -1686.32542
0.12835625, -1713.01707
0.13035625, -1739.70872
0.13235625, -1766.40037
0.13435625, -1793.09202
0.13635625, -1819.78367
0.13835625, -1846.47532
0.14035625, -1873.16698
0.14235625, -1899.85863
0.14435625, -1926.55028
0.14635625, -1953.24193
0.14835625, -1979.93358
0.15035625, -2006.62524
0.15235625, -2033.31689
0.15435625, -2060.00854
0.15635625, -2086.7002
0.15835625, -2113.39185
0.16035625, -2140.08351
0.16235625, -2166.77516
0.16435625, -2193.46681
0.16635625, -2220.15847
0.16835625, -2246.85013
0.17035625, -2273.54178
0.17235625, -2300.23344
0.17435625, -2326.92509
0.17635625, -2353.61675
0.17835625, -2380.3084
0.18035625, -2407.00006
0.18235625, -2433.69172
0.18435625, -2460.38337
0.18635625, -2487.07503
0.18835625, -2513.76669
0.19035625, -2540.45835
0.19235625, -2567.15
0.19435625, -2593.84166
0.19635625, -2620.53332
0.19835625, -2647.22498
0.20035625, -2673.91664
0.20235625, -2700.60829
0.20435625, -2727.29995
0.20635625, -2753.99161
0.20835625, -2780.68327
0.21035625, -2807.37493
0.21235625, -2834.06659
0.21435625, -2860.75825
0.21635625, -2887.44991
0.21835625, -2914.14157
0.22035625, -2940.83323
0.22235625, -2967.52489
0.22435625, -2994.21655
0.22635625, -3020.90821
0.22835625, -3047.59987
0.23035625, -3074.29153
0.23235625, -3100.98319
0.23435625, -3127.67485
0.23635625, -3154.36651
0.23835625, -3181.05817
0.24035625, -3207.74984
0.24235625, -3234.4415
0.24435625, -3261.13316
0.24635625, -3287.82482
0.24835625, -3314.51648
0.25035625, -3341.20814
0.25235625, -3367.89981
0.25435625, -3394.59147
0.25635625, -3421.28313
0.25835625, -3447.97479
0.26035625, -3474.66646
0.26235625, -3501.35812
0.26435625, -3528.04978
0.26635625, -3554.74144
0.26835625, -3581.43311
0.27035625, -3608.12477
0.27235625, -3634.81643
0.27435625, -3661.5081
0.27635625, -3688.19976
0.27835625, -3714.89142
0.28035625, -3741.58309
0.28235625, -3768.27475
0.28435625, -3794.96641
0.28635625, -3821.65808
0.28835625, -3848.34974
0.29035625, -3875.04141
0.29235625, -3901.73307
0.29435625, -3928.42473
0.29635625, -3955.1164
0.29835625, -3981.80806
0.30035625, -4008.49973
0.30235625, -4035.19139
0.30435625, -4061.88306
0.30635625, -4088.57472
0.30835625, -4115.26639
0.31035625, -4141.95805
0.31235625, -4168.64972
0.31435625, -4195.34138
0.31635625, -4222.03305
0.31835625, -4248.72471
0.32035625, -4275.41638
0.32235625, -4302.10804
0.32435625, -4328.79971
0.32635625, -4355.49137
0.32835625, -4382.18304
