TIME, FY_5,,
2.00E-04,-0.423255608,,
4.00E-04,-0.846542077,,
7.00E-04,-1.48152889,,
1.10E-03,-2.32828283,,
1.50E-03,-3.17515419,,
1.90E-03,-4.02214042,,
2.30E-03,-4.86923903,,
2.70E-03,-5.71644761,,
3.10E-03,-6.56376381,,
3.50E-03,-7.41118535,,
3.90E-03,-8.25871001,,
4.30E-03,-9.10633562,,
4.70E-03,-9.95406009,,
5.10E-03,-10.8018814,,
5.50E-03,-11.6497975,,
5.90E-03,-12.4978064,,
6.30E-03,-13.3459064,,
6.70E-03,-14.1940955,,
7.10E-03,-15.0423719,,
7.50E-03,-15.890734,,
7.90E-03,-16.7391799,,
8.30E-03,-17.5877081,,
8.70E-03,-18.436317,,
9.10E-03,-19.2850049,,
9.50E-03,-20.1337703,,
9.90E-03,-20.9826118,,
1.03E-02,-21.8315278,,
1.07E-02,-22.6805169,,
1.11E-02,-23.5295778,,
1.15E-02,-24.3787092,,
1.19E-02,-25.2279095,,
1.23E-02,-26.0771777,,
1.27E-02,-26.9265124,,
1.31E-02,-27.7759124,,
1.35E-02,-28.6253765,,
1.39E-02,-29.4749035,,
1.43E-02,-30.3244922,,
1.47E-02,-31.1741417,,
1.51E-02,-32.0238507,,
1.55E-02,-32.8736182,,
1.59E-02,-33.7234431,,
1.63E-02,-34.5733245,,
1.67E-02,-35.4232614,,
1.71E-02,-36.2732527,,
1.75E-02,-37.1232975,,
1.79E-02,-37.9733949,,
1.83E-02,-38.8235441,,
1.87E-02,-39.6737439,,
1.91E-02,-40.5239938,,
1.95E-02,-41.3742927,,
1.99E-02,-42.2246398,,
2.03E-02,-43.0750344,,
2.07E-02,-43.9254756,,
2.11E-02,-44.7759626,,
2.15E-02,-45.6264947,,
2.19E-02,-46.4770712,,
2.23E-02,-47.3276913,,
2.27E-02,-48.1783543,,
2.31E-02,-49.0290596,,
2.35E-02,-49.8798063,,
2.39E-02,-50.7305939,,
2.43E-02,-51.5814216,,
2.47E-02,-52.4322889,,
2.51E-02,-53.2831952,,
2.55E-02,-54.1341397,,
2.59E-02,-54.985122,,
2.63E-02,-55.8361413,,
2.67E-02,-56.6871972,,
2.71E-02,-57.538289,,
2.75E-02,-58.3894162,,
2.79E-02,-59.2405783,,
2.83E-02,-60.0917747,,
2.87E-02,-60.9430049,,
2.91E-02,-61.7942684,,
2.95E-02,-62.6455647,,
2.99E-02,-63.4968932,,
3.03E-02,-64.3482535,,
3.07E-02,-65.1996452,,
3.11E-02,-66.0510677,,
3.15E-02,-66.9025207,,
3.19E-02,-67.7540035,,
3.23E-02,-68.6055159,,
3.27E-02,-69.4570574,,
3.31E-02,-70.3086275,,
3.35E-02,-71.1602259,,
3.39E-02,-72.0118521,,
3.43E-02,-72.8635057,,
3.47E-02,-73.7151864,,
3.51E-02,-74.5668938,,
3.55E-02,-75.4186274,,
3.59E-02,-76.2703869,,
3.63E-02,-77.122172,,
3.67E-02,-77.9739822,,
3.71E-02,-78.8258173,,
3.75E-02,-79.6776769,,
3.79E-02,-80.5295606,,
3.83E-02,-81.3814682,,
3.87E-02,-82.2333992,,
3.91E-02,-83.0853534,,
3.95E-02,-83.9373305,,
3.99E-02,-84.7893301,,
4.03E-02,-85.6413519,,
4.07E-02,-86.4933957,,
4.11E-02,-87.3454611,,
4.15E-02,-88.1975479,,
4.19E-02,-89.0496558,,
4.23E-02,-89.9017844,,
4.27E-02,-90.7539336,,
4.31E-02,-91.6061031,,
4.35E-02,-92.4582925,,
4.39E-02,-93.3105017,,
4.43E-02,-94.1627303,,
4.47E-02,-95.0149781,,
4.51E-02,-95.867245,,
4.55E-02,-96.7195305,,
4.59E-02,-97.5718346,,
4.63E-02,-98.4241569,,
4.67E-02,-99.2764972,,
4.71E-02,-100.128855,,
4.75E-02,-100.981231,,
4.79E-02,-101.833624,,
4.83E-02,-102.686034,,
4.87E-02,-103.538462,,
4.91E-02,-104.390905,,
4.95E-02,-105.243366,,
4.99E-02,-106.095842,,
5.03E-02,-106.948335,,
5.07E-02,-107.800844,,
5.11E-02,-108.653368,,
5.15E-02,-109.505908,,
5.19E-02,-110.358464,,
5.23E-02,-111.211034,,
5.27E-02,-112.063619,,
5.31E-02,-112.91622,,
5.35E-02,-113.768835,,
5.39E-02,-114.621464,,
5.43E-02,-115.474107,,
5.47E-02,-116.326765,,
5.51E-02,-117.179437,,
5.55E-02,-118.032122,,
5.59E-02,-118.884821,,
5.63E-02,-119.737534,,
5.67E-02,-120.59026,,
5.71E-02,-121.442999,,
5.75E-02,-122.295751,,
5.79E-02,-123.148516,,
5.83E-02,-124.001293,,
5.87E-02,-124.854084,,
5.91E-02,-125.706886,,
5.95E-02,-126.559701,,
5.99E-02,-127.412528,,
6.03E-02,-128.265367,,
6.07E-02,-129.118218,,
6.11E-02,-129.971081,,
6.15E-02,-130.823955,,
6.19E-02,-131.676841,,
6.23E-02,-132.529739,,
6.27E-02,-133.382647,,
6.31E-02,-134.235567,,
6.35E-02,-135.088497,,
6.39E-02,-135.941439,,
6.43E-02,-136.794391,,
6.47E-02,-137.647354,,
6.51E-02,-138.500328,,
6.55E-02,-139.353312,,
6.59E-02,-140.206306,,
6.63E-02,-141.05931,,
6.67E-02,-141.912325,,
6.71E-02,-142.76535,,
6.75E-02,-143.618384,,
6.79E-02,-144.471428,,
6.83E-02,-145.324482,,
6.87E-02,-146.177546,,
6.91E-02,-147.030619,,
6.95E-02,-147.883702,,
6.99E-02,-148.736793,,
7.03E-02,-149.589894,,
7.07E-02,-150.443004,,
7.11E-02,-151.296123,,
7.15E-02,-152.149251,,
7.19E-02,-153.002388,,
7.23E-02,-153.855534,,
7.27E-02,-154.708688,,
7.31E-02,-155.561851,,
7.35E-02,-156.415023,,
7.39E-02,-157.268202,,
7.43E-02,-158.12139,,
7.47E-02,-158.974587,,
7.51E-02,-159.827791,,
7.55E-02,-160.681004,,
7.59E-02,-161.534225,,
7.63E-02,-162.387453,,
7.67E-02,-163.24069,,
7.71E-02,-164.093934,,
7.75E-02,-164.947186,,
7.79E-02,-165.800445,,
7.83E-02,-166.653712,,
7.87E-02,-167.506987,,
7.91E-02,-168.360269,,
7.95E-02,-169.213558,,
7.99E-02,-170.066855,,
8.03E-02,-170.920159,,
8.07E-02,-171.77347,,
8.11E-02,-172.626788,,
8.15E-02,-173.480113,,
8.19E-02,-174.333445,,
8.23E-02,-175.186784,,
8.27E-02,-176.04013,,
8.31E-02,-176.893482,,
8.35E-02,-177.746842,,
8.39E-02,-178.600207,,
8.43E-02,-179.45358,,
8.47E-02,-180.306959,,
8.51E-02,-181.160344,,
8.55E-02,-182.013736,,
8.59E-02,-182.867134,,
8.63E-02,-183.720539,,
8.67E-02,-184.573949,,
8.71E-02,-185.427366,,
8.75E-02,-186.280789,,
8.79E-02,-187.134218,,
8.83E-02,-187.987654,,
8.87E-02,-188.841095,,
8.91E-02,-189.694542,,
8.95E-02,-190.547995,,
8.99E-02,-191.401453,,
9.03E-02,-192.254918,,
9.07E-02,-193.108388,,
9.11E-02,-193.961864,,
9.15E-02,-194.815345,,
9.19E-02,-195.668832,,
9.23E-02,-196.522325,,
9.27E-02,-197.375823,,
9.31E-02,-198.229326,,
9.35E-02,-199.082835,,
9.39E-02,-199.936349,,
9.43E-02,-200.789869,,
9.47E-02,-201.643394,,
9.51E-02,-202.496924,,
9.55E-02,-203.350459,,
9.59E-02,-204.203999,,
9.63E-02,-205.057544,,
9.67E-02,-205.911095,,
9.71E-02,-206.76465,,
9.75E-02,-207.618211,,
9.79E-02,-208.471776,,
9.83E-02,-209.325346,,
9.87E-02,-210.178921,,
9.91E-02,-211.032501,,
9.95E-02,-211.886086,,
9.99E-02,-212.739675,,
0.1003,-213.593269,,
0.1007,-214.446868,,
0.1011,-215.300471,,
0.1015,-216.154079,,
0.1019,-217.007691,,
0.1023,-217.861308,,
0.1027,-218.71493,,
0.1031,-219.568556,,
0.1035,-220.422186,,
0.1039,-221.275821,,
0.1043,-222.12946,,
0.1047,-222.983103,,
0.1051,-223.836751,,
