TIME, FY_4,
2.00E-05,-0.126959595,
4.00E-05,-0.253920124,
7.00E-05,-0.444362669,
1.15E-04,-0.730030418,
1.83E-04,-1.15854086,
2.84E-04,-1.8013263,
4.36E-04,-2.76554868,
6.36E-04,-4.03538682,
8.36E-04,-5.30531528,
1.04E-03,-6.57533305,
1.24E-03,-7.84543916,
1.44E-03,-9.11563264,
1.64E-03,-10.3859125,
1.84E-03,-11.6562779,
2.04E-03,-12.9267278,
2.24E-03,-14.1972613,
2.44E-03,-15.4678776,
2.64E-03,-16.7385757,
2.84E-03,-18.0093547,
3.04E-03,-19.2802139,
3.24E-03,-20.5511522,
3.44E-03,-21.822169,
3.64E-03,-23.0932633,
3.84E-03,-24.3644344,
4.04E-03,-25.6356814,
4.24E-03,-26.9070035,
4.44E-03,-28.1784,
4.64E-03,-29.4498701,
4.84E-03,-30.721413,
5.04E-03,-31.9930279,
5.24E-03,-33.2647141,
5.44E-03,-34.536471,
5.64E-03,-35.8082976,
5.84E-03,-37.0801934,
6.04E-03,-38.3521576,
6.24E-03,-39.6241896,
6.44E-03,-40.8962886,
6.64E-03,-42.1684539,
6.84E-03,-43.440685,
7.04E-03,-44.7129811,
7.24E-03,-45.9853415,
7.44E-03,-47.2577657,
7.64E-03,-48.530253,
7.84E-03,-49.8028028,
8.04E-03,-51.0754144,
8.24E-03,-52.3480872,
8.44E-03,-53.6208207,
8.64E-03,-54.8936142,
8.84E-03,-56.1664672,
9.04E-03,-57.439379,
9.24E-03,-58.7123491,
9.44E-03,-59.985377,
9.64E-03,-61.258462,
9.84E-03,-62.5316037,
1.00E-02,-63.8048014,
1.02E-02,-65.0780546,
1.04E-02,-66.3513628,
1.06E-02,-67.6247255,
1.08E-02,-68.8981421,
1.10E-02,-70.1716122,
1.12E-02,-71.4451352,
1.14E-02,-72.7187107,
1.16E-02,-73.9923381,
1.18E-02,-75.2660169,
1.20E-02,-76.5397467,
1.22E-02,-77.8135269,
1.24E-02,-79.0873572,
1.26E-02,-80.361237,
1.28E-02,-81.635166,
1.30E-02,-82.9091435,
1.32E-02,-84.1831693,
1.34E-02,-85.4572428,
1.36E-02,-86.7313636,
1.38E-02,-88.0055312,
1.40E-02,-89.2797454,
1.42E-02,-90.5540055,
1.44E-02,-91.8283112,
1.46E-02,-93.1026621,
