TIME, FY_6
2.E-04, -1.6080969
4.E-04, -3.21631106
7.E-04, -5.62884913
1.15E-03, -9.2481358
1.825E-03, -14.6781171
2.825E-03, -22.7247621
3.825E-03, -30.7739454
4.825E-03, -38.8255346
5.825E-03, -46.8794096
6.825E-03, -54.935449
7.825E-03, -62.9935487
8.825E-03, -71.0536079
9.825E-03, -79.115532
1.0825E-02, -87.1792323
1.1825E-02, -95.2446255
1.2825E-02, -103.311633
1.3825E-02, -111.380181
1.4825E-02, -119.450201
1.5825E-02, -127.521626
1.6825E-02, -135.594396
1.7825E-02, -143.668451
1.8825E-02, -151.743736
1.9825E-02, -159.8202
2.0825E-02, -167.897794
2.1825E-02, -175.97647
2.2825E-02, -184.056184
2.3825E-02, -192.136895
2.4825E-02, -200.218563
2.5825E-02, -208.30115
2.6825E-02, -216.38462
2.7825E-02, -224.468939
2.8825E-02, -232.554076
2.9825E-02, -240.639998
3.0825E-02, -248.726678
3.1825E-02, -256.814086
3.2825E-02, -264.902197
3.3825E-02, -272.990985
3.4825E-02, -281.080426
3.5825E-02, -289.170497
3.6825E-02, -297.261176
3.7825E-02, -305.352442
3.8825E-02, -313.444274
3.9825E-02, -321.536654
4.0825E-02, -329.629564
4.1825E-02, -337.722985
4.2825E-02, -345.816901
4.3825E-02, -353.911295
4.4825E-02, -362.006153
4.5825E-02, -370.10146
4.6825E-02, -378.197201
4.7825E-02, -386.293363
4.8825E-02, -394.389933
4.9825E-02, -402.486898
5.0825E-02, -410.584246
5.1825E-02, -418.681967
5.2825E-02, -426.780048
5.3825E-02, -434.878478
5.4825E-02, -442.977249
5.5825E-02, -451.07635
5.6825E-02, -459.175771
5.7825E-02, -467.275503
5.8825E-02, -475.375538
5.9825E-02, -483.475868
6.0825E-02, -491.576483
6.1825E-02, -499.677376
6.2825E-02, -507.77854
6.3825E-02, -515.879967
6.4825E-02, -523.981651
6.5825E-02, -532.083584
6.6825E-02, -540.18576
6.7825E-02, -548.288173
6.8825E-02, -556.390816
6.9825E-02, -564.493684
7.0825E-02, -572.596771
7.1825E-02, -580.700071
7.2825E-02, -588.80358
7.3825E-02, -596.907292
7.4825E-02, -605.011202
7.5825E-02, -613.115305
7.6825E-02, -621.219597
7.7825E-02, -629.324073
7.8825E-02, -637.428728
7.9825E-02, -645.53356
8.0825E-02, -653.638563
8.1825E-02, -661.743733
8.2825E-02, -669.849068
8.3825E-02, -677.954562
8.4825E-02, -686.060213
8.5825E-02, -694.166017
8.6825E-02, -702.27197
8.7825E-02, -710.37807
8.8825E-02, -718.484314
8.9825E-02, -726.590697
9.0825E-02, -734.697217
9.1825E-02, -742.803872
9.2825E-02, -750.910658
9.3825E-02, -759.017573
9.4825E-02, -767.124614
9.5825E-02, -775.231778
9.6825E-02, -783.339063
9.7825E-02, -791.446467
9.8825E-02, -799.553987
9.9825E-02, -807.66162
0.100825, -815.769366
0.101825, -823.877221
0.102825, -831.985183
0.103825, -840.093251
0.104825, -848.201421
0.105825, -856.309694
0.106825, -864.418065
0.107825, -872.526535
0.108825, -880.6351
0.109825, -888.743759
0.110825, -896.85251
0.111825, -904.961353
0.112825, -913.070284
0.113825, -921.179303
0.114825, -929.288408
0.115825, -937.397597
0.116825, -945.50687
0.117825, -953.616224
0.118825, -961.725658
0.119825, -969.835172
0.120825, -977.944762
0.121825, -986.05443
0.122825, -994.164172
0.123825, -1002.27399
0.124825, -1010.38388
0.125825, -1018.49384
0.126825, -1026.60387
0.127825, -1034.71397
0.128825, -1042.82413
0.129825, -1050.93437
0.130825, -1059.04467
0.131825, -1067.15504
0.132825, -1075.26547
0.133825, -1083.37596
0.134825, -1091.48651
0.135825, -1099.59713
0.136825, -1107.70781
0.137825, -1115.81854
0.138825, -1123.92934
0.139825, -1132.04019
0.140825, -1140.1511
0.141825, -1148.26207
0.142825, -1156.37309
0.143825, -1164.48416
0.144825, -1172.59529
0.145825, -1180.70647
0.146825, -1188.81771
0.147825, -1196.92899
0.148825, -1205.04033
0.149825, -1213.15172
0.150825, -1221.26315
0.151825, -1229.37464
0.152825, -1237.48617
0.153825, -1245.59776
0.154825, -1253.70938
0.155825, -1261.82106
0.156825, -1269.93278
0.157825, -1278.04455
0.158825, -1286.15636
0.159825, -1294.26821
0.160825, -1302.38011
0.161825, -1310.49205
0.162825, -1318.60404
0.163825, -1326.71606
0.164825, -1334.82813
0.165825, -1342.94024
0.166825, -1351.05239
0.167825, -1359.16458
0.168825, -1367.27681
0.169825, -1375.38908
0.170825, -1383.50139
0.171825, -1391.61373
0.172825, -1399.72612
0.173825, -1407.83854
0.174825, -1415.95099
0.175825, -1424.06349
0.176825, -1432.17602
0.177825, -1440.28859
0.178825, -1448.40119
0.179825, -1456.51382
0.180825, -1464.6265
0.181825, -1472.7392
0.182825, -1480.85194
0.183825, -1488.96472
0.184825, -1497.07752
0.185825, -1505.19036
0.186825, -1513.30323
0.187825, -1521.41614
0.188825, -1529.52908
0.189825, -1537.64204
0.190825, -1545.75504
0.191825, -1553.86807
0.192825, -1561.98113
0.193825, -1570.09423
0.194825, -1578.20735
0.195825, -1586.3205
0.196825, -1594.43368
0.197825, -1602.54689
0.198825, -1610.66013
0.199825, -1618.77339
0.200825, -1626.88669
0.201825, -1635.00001
0.202825, -1643.11337
0.203825, -1651.22675
0.204825, -1659.34015
0.205825, -1667.45359
0.206825, -1675.56705
0.207825, -1683.68053
0.208825, -1691.79405
0.209825, -1699.90759
0.210825, -1708.02115
0.211825, -1716.13475
0.212825, -1724.24836
0.213825, -1732.36201
0.214825, -1740.47567
0.215825, -1748.58937
0.216825, -1756.70308
0.217825, -1764.81682
0.218825, -1772.93059
0.219825, -1781.04438
0.220825, -1789.15819
0.221825, -1797.27203
0.222825, -1805.38589
0.223825, -1813.49978
0.224825, -1821.61368
0.225825, -1829.72761
0.226825, -1837.84157
0.227825, -1845.95554
0.228825, -1854.06954
0.229825, -1862.18356
0.230825, -1870.2976
0.231825, -1878.41166
0.232825, -1886.52575
0.233825, -1894.63985
0.234825, -1902.75398
0.235825, -1910.86813
0.236825, -1918.9823
0.237825, -1927.09649
0.238825, -1935.2107
0.239825, -1943.32494
0.240825, -1951.43919
0.241825, -1959.55346
0.242825, -1967.66776
0.243825, -1975.78207
0.244825, -1983.8964
0.245825, -1992.01075
0.246825, -2000.12513
0.247825, -2008.23952
0.248825, -2016.35393
0.249825, -2024.46836
0.250825, -2032.58281
0.251825, -2040.69728
0.252825, -2048.81176
0.253825, -2056.92627
0.254825, -2065.04079
0.255825, -2073.15533
0.256825, -2081.26989
0.257825, -2089.38447
0.258825, -2097.49907
0.259825, -2105.61368
0.260825, -2113.72831
0.261825, -2121.84296
0.262825, -2129.95763
0.263825, -2138.07232
0.264825, -2146.18702
0.265825, -2154.30174
0.266825, -2162.41647
0.267825, -2170.53123
0.268825, -2178.646
0.269825, -2186.76078
0.270825, -2194.87559
0.271825, -2202.99041
0.272825, -2211.10524
0.273825, -2219.2201
0.274825, -2227.33496
0.275825, -2235.44985
0.276825, -2243.56475
0.277825, -2251.67967
0.278825, -2259.7946
0.279825, -2267.90955
0.280825, -2276.02451
0.281825, -2284.1395
0.282825, -2292.25449
0.283825, -2300.3695
0.284825, -2308.48453
0.285825, -2316.59957
0.286825, -2324.71463
0.287825, -2332.8297
0.288825, -2340.94478
0.289825, -2349.05989
0.290825, -2357.175
0.291825, -2365.29013
0.292825, -2373.40528
0.293825, -2381.52044
0.294825, -2389.63561
0.295825, -2397.7508
0.296825, -2405.86601
0.297825, -2413.98122
0.298825, -2422.09646
0.299825, -2430.2117
0.300825, -2438.32696
0.301825, -2446.44223
0.302825, -2454.55752
0.303825, -2462.67282
0.304825, -2470.78814
0.305825, -2478.90347
0.306825, -2487.01881
0.307825, -2495.13416
0.308825, -2503.24953
0.309825, -2511.36492
0.310825, -2519.48031
0.311825, -2527.59572
0.312825, -2535.71114
0.313825, -2543.82658
0.314825, -2551.94202
0.315825, -2560.05749
0.316825, -2568.17296
0.317825, -2576.28845
0.318825, -2584.40394
0.319825, -2592.51946
0.320825, -2600.63498
0.321825, -2608.75052
0.322825, -2616.86607
0.323825, -2624.98163
0.324825, -2633.0972
0.325825, -2641.21279
0.326825, -2649.32839
0.327825, -2657.444
0.328825, -2665.55962
0.329825, -2673.67526
0.330825, -2681.79091
0.331825, -2689.90656
0.332825, -2698.02224
0.333825, -2706.13792
0.334825, -2714.25361
0.335825, -2722.36932
0.336825, -2730.48504
0.337825, -2738.60077
0.338825, -2746.71651
0.339825, -2754.83226
0.340825, -2762.94802
0.341825, -2771.0638
0.342825, -2779.17959
0.343825, -2787.29538
0.344825, -2795.41119
0.345825, -2803.52701
