TIME, FY_5,,
2.00E-05,-8.55E-02,,
4.00E-05,-0.171033588,,
7.00E-05,-0.299308788,,
1.15E-04,-0.49172164,,
1.83E-04,-0.780341155,,
2.84E-04,-1.21327157,,
4.36E-04,-1.86267249,,
6.36E-04,-2.71786047,,
8.36E-04,-3.57303224,,
1.04E-03,-4.42819536,,
1.24E-03,-5.28335925,,
1.44E-03,-6.13852377,,
1.64E-03,-6.99368879,,
1.84E-03,-7.84885422,,
2.04E-03,-8.70402,,
2.24E-03,-9.55918605,,
2.44E-03,-10.4143523,,
2.64E-03,-11.2695188,,
2.84E-03,-12.1246855,,
3.04E-03,-12.9798522,,
3.24E-03,-13.8350191,,
3.44E-03,-14.6901861,,
3.64E-03,-15.5453532,,
3.84E-03,-16.4005203,,
4.04E-03,-17.2556875,,
4.24E-03,-18.1108547,,
4.44E-03,-18.9660219,,
4.64E-03,-19.8211892,,
4.84E-03,-20.6763565,,
5.04E-03,-21.5315239,,
5.24E-03,-22.3866912,,
5.44E-03,-23.2418586,,
5.64E-03,-24.097026,,
5.84E-03,-24.9521933,,
6.04E-03,-25.8073607,,
6.24E-03,-26.6625281,,
6.44E-03,-27.5176955,,
6.64E-03,-28.3728629,,
6.84E-03,-29.2280303,,
7.04E-03,-30.0831977,,
7.24E-03,-30.9383651,,
7.44E-03,-31.7935325,,
7.64E-03,-32.6486998,,
7.84E-03,-33.5038672,,
8.04E-03,-34.3590346,,
8.24E-03,-35.214202,,
8.44E-03,-36.0693693,,
8.64E-03,-36.9245367,,
8.84E-03,-37.7797041,,
9.04E-03,-38.6348714,,
9.24E-03,-39.4900387,,
9.44E-03,-40.3452061,,
9.64E-03,-41.2003734,,
9.84E-03,-42.0555407,,
1.00E-02,-42.9107081,,
1.02E-02,-43.7658754,,
1.04E-02,-44.6210427,,
1.06E-02,-45.47621,,
1.08E-02,-46.3313773,,
1.10E-02,-47.1865446,,
1.12E-02,-48.0417119,,
1.14E-02,-48.8968791,,
1.16E-02,-49.7520464,,
1.18E-02,-50.6072137,,
1.20E-02,-51.462381,,
1.22E-02,-52.3175482,,
1.24E-02,-53.1727154,,
1.26E-02,-54.0278827,,
1.28E-02,-54.8830499,,
1.30E-02,-55.7382172,,
1.32E-02,-56.5933844,,
1.34E-02,-57.4485516,,
1.36E-02,-58.3037188,,
1.38E-02,-59.1588861,,
1.40E-02,-60.0140533,,
1.42E-02,-60.8692205,,
1.44E-02,-61.7243877,,
1.46E-02,-62.5795549,,
1.48E-02,-63.4347221,,
1.50E-02,-64.2898892,,
1.52E-02,-65.1450564,,
1.54E-02,-66.0002236,,
1.56E-02,-66.8553908,,
1.58E-02,-67.7105579,,
1.60E-02,-68.5657251,,
1.62E-02,-69.4208923,,
1.64E-02,-70.2760594,,
1.66E-02,-71.1312266,,
1.68E-02,-71.9863937,,
1.70E-02,-72.8415609,,
1.72E-02,-73.696728,,
1.74E-02,-74.5518951,,
1.76E-02,-75.4070623,,
1.78E-02,-76.2622294,,
1.80E-02,-77.1173965,,
1.82E-02,-77.9725636,,
1.84E-02,-78.8277308,,
1.86E-02,-79.6828979,,
1.88E-02,-80.5380649,,
1.90E-02,-81.3932321,,
1.92E-02,-82.2483992,,
1.94E-02,-83.1035663,,
1.96E-02,-83.9587334,,
1.98E-02,-84.8139005,,
2.00E-02,-85.6690675,,
2.02E-02,-86.5242346,,
2.04E-02,-87.3794017,,
2.06E-02,-88.2345688,,
2.08E-02,-89.0897359,,
2.10E-02,-89.9449029,,
2.12E-02,-90.80007,,
2.14E-02,-91.6552371,,
2.16E-02,-92.5104041,,
2.18E-02,-93.3655712,,
2.20E-02,-94.2207383,,
2.22E-02,-95.0759053,,
2.24E-02,-95.9310724,,
2.26E-02,-96.7862394,,
2.28E-02,-97.6414065,,
2.30E-02,-98.4965735,,
2.32E-02,-99.3517406,,
2.34E-02,-100.206908,,
2.36E-02,-101.062075,,
2.38E-02,-101.917242,,
2.40E-02,-102.772409,,
2.42E-02,-103.627576,,
2.44E-02,-104.482743,,
2.46E-02,-105.33791,,
2.48E-02,-106.193077,,
2.50E-02,-107.048244,,
2.52E-02,-107.903411,,
2.54E-02,-108.758578,,
2.56E-02,-109.613745,,
2.58E-02,-110.468912,,
2.60E-02,-111.324079,,
2.62E-02,-112.179246,,
2.64E-02,-113.034413,,
2.66E-02,-113.88958,,
2.68E-02,-114.744747,,
2.70E-02,-115.599914,,
2.72E-02,-116.455081,,
