TIME, FX_2
2.E-04, -0.994521881
4.E-04, -1.9890438
7.E-04, -3.48082665
1.15E-03, -5.71850096
1.825E-03, -9.0750126
2.8375E-03, -14.1097808
4.35625E-03, -21.6619366
6.35625E-03, -31.6071701
8.35625E-03, -41.5523952
1.035625E-02, -51.4976144
1.235625E-02, -61.4428336
1.435625E-02, -71.3880527
1.635625E-02, -81.3332719
1.835625E-02, -91.278491
2.035625E-02, -101.22371
2.235625E-02, -111.168929
2.435625E-02, -121.114148
2.635625E-02, -131.059368
2.835625E-02, -141.004587
3.035625E-02, -150.949806
3.235625E-02, -160.895025
3.435625E-02, -170.840244
3.635625E-02, -180.785463
3.835625E-02, -190.730682
4.035625E-02, -200.675901
4.235625E-02, -210.62112
4.435625E-02, -220.56634
4.635625E-02, -230.511559
4.835625E-02, -240.456778
5.035625E-02, -250.401997
5.235625E-02, -260.347216
5.435625E-02, -270.292435
5.635625E-02, -280.237654
5.835625E-02, -290.182873
6.035625E-02, -300.128092
6.235625E-02, -310.073311
6.435625E-02, -320.01853
6.635625E-02, -329.963749
6.835625E-02, -339.908968
7.035625E-02, -349.854187
7.235625E-02, -359.799406
7.435625E-02, -369.744625
7.635625E-02, -379.689844
7.835625E-02, -389.635063
8.035625E-02, -399.580282
8.235625E-02, -409.525501
8.435625E-02, -419.47072
8.635625E-02, -429.415939
8.835625E-02, -439.361158
9.035625E-02, -449.306377
9.235625E-02, -459.251596
9.435625E-02, -469.196815
9.635625E-02, -479.142034
9.835625E-02, -489.087253
0.10035625, -499.032472
0.10235625, -508.977691
0.10435625, -518.92291
0.10635625, -528.868129
0.10835625, -538.813348
0.11035625, -548.758567
0.11235625, -558.703786
0.11435625, -568.649005
0.11635625, -578.594224
0.11835625, -588.539443
0.12035625, -598.484662
0.12235625, -608.429881
0.12435625, -618.3751
0.12635625, -628.320319
0.12835625, -638.265538
0.13035625, -648.210757
0.13235625, -658.155976
0.13435625, -668.101195
0.13635625, -678.046414
0.13835625, -687.991632
0.14035625, -697.936851
0.14235625, -707.88207
0.14435625, -717.827289
0.14635625, -727.772508
0.14835625, -737.717727
0.15035625, -747.662946
0.15235625, -757.608165
0.15435625, -767.553384
0.15635625, -777.498603
0.15835625, -787.443822
0.16035625, -797.389041
0.16235625, -807.33426
0.16435625, -817.279479
0.16635625, -827.224697
0.16835625, -837.169916
0.17035625, -847.115135
0.17235625, -857.060354
0.17435625, -867.005573
0.17635625, -876.950792
0.17835625, -886.896011
0.18035625, -896.84123
0.18235625, -906.786449
0.18435625, -916.731668
0.18635625, -926.676887
0.18835625, -936.622106
0.19035625, -946.567324
0.19235625, -956.512543
0.19435625, -966.457762
0.19635625, -976.402981
0.19835625, -986.3482
0.20035625, -996.293419
0.20235625, -1006.23864
0.20435625, -1016.18386
0.20635625, -1026.12908
0.20835625, -1036.07429
0.21035625, -1046.01951
0.21235625, -1055.96473
0.21435625, -1065.90995
0.21635625, -1075.85517
