TIME, FX_3
2.E-04, -99.996192
4.E-04, -199.992385
7.E-04, -349.986673
1.1E-03, -549.979058
1.5E-03, -749.971443
1.9E-03, -949.963828
2.3E-03, -1149.95621
2.7E-03, -1349.9486
3.1E-03, -1549.94098
3.5E-03, -1749.93337
3.9E-03, -1949.92575
4.3E-03, -2149.91814
4.7E-03, -2349.91052
5.1E-03, -2549.90291
5.5E-03, -2749.89529
5.9E-03, -2949.88768
6.3E-03, -3149.88006
6.7E-03, -3349.87244
7.1E-03, -3549.86483
7.5E-03, -3749.85721
7.9E-03, -3949.8496
8.3E-03, -4149.84198
8.7E-03, -4349.83437
9.1E-03, -4549.82675
9.5E-03, -4749.81914
9.9E-03, -4949.81152
1.03E-02, -5149.80391
1.07E-02, -5349.79629
1.11E-02, -5549.78868
1.15E-02, -5749.78106
1.19E-02, -5949.77345
1.23E-02, -6149.76583
1.27E-02, -6349.75822
1.31E-02, -6549.7506
1.35E-02, -6749.74299
1.39E-02, -6949.73537
1.43E-02, -7149.72776
1.47E-02, -7349.72014
1.51E-02, -7549.71253
1.55E-02, -7749.70491
1.59E-02, -7949.69729
1.63E-02, -8149.68968
1.67E-02, -8349.68206
1.71E-02, -8549.67445
1.75E-02, -8749.66683
1.79E-02, -8949.65922
1.83E-02, -9149.6516
1.87E-02, -9349.64399
1.91E-02, -9549.63637
1.95E-02, -9749.62876
1.99E-02, -9949.62114
2.03E-02, -10149.6135
2.07E-02, -10349.6059
2.11E-02, -10549.5983
2.15E-02, -10749.5907
2.19E-02, -10949.5831
2.23E-02, -11149.5755
2.27E-02, -11349.5678
2.31E-02, -11549.5602
2.35E-02, -11749.5526
2.39E-02, -11949.545
2.43E-02, -12149.5374
2.47E-02, -12349.5298
2.51E-02, -12549.5221
2.55E-02, -12749.5145
2.59E-02, -12949.5069
2.63E-02, -13149.4993
2.67E-02, -13349.4917
2.71E-02, -13549.4841
2.75E-02, -13749.4765
2.79E-02, -13949.4688
2.83E-02, -14149.4612
